SURVEY:  PS1MD
SNID:  2021hud
otherID: 
IAUC:    UNKNOWN
RA:        240.4721040  deg
DECL:       20.2583360  deg
MWEBV:    0.043 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59309.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021hud.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0009
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.780 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 166
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  39.969 68.986 23.496 1.874 0x00
OBS: 58873.63 g NULL  -89.922 65.469 nan -0.790 0x00
OBS: 58875.63 g NULL  -48.073 89.509 nan -2.022 0x01
OBS: 58878.65 g NULL  -29.487 285.178 nan -10.500 0x00
OBS: 58882.65 g NULL  87.553 92.539 22.644 1.148 0x00
OBS: 58931.51 g NULL  109.272 82.614 22.404 0.821 0x00
OBS: 58955.47 g NULL  -59.535 48.386 nan -0.882 0x00
OBS: 58959.59 g NULL  -56.607 60.761 nan -1.165 0x00
OBS: 58961.57 g NULL  -79.338 50.849 nan -0.696 0x00
OBS: 58966.57 g NULL  62.862 61.473 23.004 1.062 0x00
OBS: 58968.54 g NULL  -16.440 58.352 nan -3.854 0x00
OBS: 58982.51 g NULL  -112.134 75.658 nan -0.733 0x00
OBS: 58984.49 g NULL  -98.203 45.930 nan -0.508 0x00
OBS: 58988.49 g NULL  36.383 52.017 23.598 1.552 0x00
OBS: 58990.38 g NULL  -15.871 50.907 nan -3.483 0x00
OBS: 58994.49 g NULL  62.233 63.760 23.015 1.112 0x00
OBS: 58998.36 g NULL  82.645 47.154 22.707 0.619 0x00
OBS: 59000.50 g NULL  -95.103 51.358 nan -0.586 0x00
OBS: 59015.30 g NULL  -76.234 52.799 nan -0.752 0x00
OBS: 59019.47 g NULL  26.124 133.607 23.957 5.553 0x00
OBS: 59023.38 g NULL  8.010 43.274 25.241 5.866 0x00
OBS: 59027.28 g NULL  -135.616 46.019 nan -0.368 0x00
OBS: 59029.29 g NULL  -41.112 59.576 nan -1.573 0x00
OBS: 59043.35 g NULL  9.032 68.537 25.111 8.239 0x01
OBS: 59047.36 g NULL  50.304 70.236 23.246 1.516 0x00
OBS: 59051.34 g NULL  13.493 35.920 24.675 2.890 0x00
OBS: 59054.34 g NULL  -47.516 46.941 nan -1.073 0x00
OBS: 59071.27 g NULL  9.828 60.371 25.019 6.669 0x00
OBS: 59077.26 g NULL  -111.630 43.095 nan -0.419 0x00
OBS: 59079.26 g NULL  -4.229 56.812 nan -14.586 0x00
OBS: 59082.31 g NULL  48.066 62.988 23.295 1.423 0x00
OBS: 59102.24 g NULL  -48.868 51.641 nan -1.147 0x00
OBS: 59106.24 g NULL  -110.368 48.453 nan -0.477 0x00
OBS: 59108.23 g NULL  10.369 66.589 24.961 6.973 0x00
OBS: 59115.23 g NULL  -104.777 56.090 nan -0.581 0x00
OBS: 59131.22 g NULL  48.833 95.448 23.278 2.122 0x00
OBS: 59136.22 g NULL  22.610 79.824 24.114 3.833 0x00
OBS: 59255.62 g NULL  769.213 85.063 20.285 0.120 0x00
OBS: 59262.63 g NULL  674.794 53.474 20.427 0.086 0x00
OBS: 59292.50 g NULL  391.935 71.489 21.017 0.198 0x00
OBS: 59311.47 g NULL  283.779 64.895 21.368 0.248 0x00
OBS: 59317.50 g NULL  223.468 65.231 21.627 0.317 0x00
OBS: 59321.58 g NULL  236.757 39.335 21.564 0.180 0x00
OBS: 59342.55 g NULL  126.998 61.365 22.241 0.525 0x00
OBS: 59345.55 g NULL  227.552 54.663 21.607 0.261 0x00
OBS: 59353.51 g NULL  216.753 58.739 21.660 0.294 0x00
OBS: 59354.38 g NULL  159.791 78.980 21.991 0.537 0x01
OBS: 59355.38 g NULL  162.203 68.787 21.975 0.460 0x00
OBS: 59367.35 g NULL  62.564 60.651 23.009 1.053 0x00
OBS: 59371.51 g NULL  99.071 90.634 22.510 0.993 0x00
OBS: 59374.47 g NULL  -4.707 91.418 nan -21.087 0x01
OBS: 59378.45 g NULL  -20.645 66.047 nan -3.473 0x00
OBS: 59381.45 g NULL  -119.011 74.993 nan -0.684 0x01
OBS: 58868.65 r NULL  -1.919 58.774 nan -33.253 0x00
OBS: 58873.64 r NULL  -80.986 50.841 nan -0.682 0x00
OBS: 58878.66 r NULL  353.138 340.946 21.130 1.048 0x00
OBS: 58931.52 r NULL  -47.617 48.758 nan -1.112 0x00
OBS: 58942.50 r NULL  -18.712 152.634 nan -8.856 0x00
OBS: 58947.61 r NULL  154.366 169.385 22.029 1.191 0x00
OBS: 58951.47 r NULL  -112.805 136.544 nan -1.314 0x00
OBS: 58961.58 r NULL  -75.081 57.715 nan -0.835 0x09
OBS: 58968.55 r NULL  36.589 37.627 23.592 1.117 0x00
OBS: 58973.58 r NULL  -0.153 71.129 nan -504.754 0x00
OBS: 58974.43 r NULL  24.015 97.003 24.049 4.386 0x00
OBS: 58978.56 r NULL  217.366 115.037 21.657 0.575 0x00
OBS: 58990.38 r NULL  16.735 35.782 24.441 2.321 0x00
OBS: 59006.48 r NULL  200.856 172.906 21.743 0.935 0x00
OBS: 59008.30 r NULL  -19.943 61.347 nan -3.340 0x00
OBS: 59011.52 r NULL  -253.320 133.336 nan -0.571 0x00
OBS: 59023.38 r NULL  -80.846 33.318 nan -0.447 0x00
OBS: 59033.39 r NULL  -53.007 88.942 nan -1.822 0x00
OBS: 59037.37 r NULL  -44.239 80.939 nan -1.986 0x00
OBS: 59040.37 r NULL  -15.837 48.889 nan -3.352 0x00
OBS: 59051.34 r NULL  -82.184 37.477 nan -0.495 0x00
OBS: 59060.36 r NULL  5.133 113.750 25.724 24.060 0x00
OBS: 59063.32 r NULL  318.487 196.625 21.242 0.670 0x00
OBS: 59066.28 r NULL  -98.623 68.298 nan -0.752 0x00
OBS: 59069.34 r NULL  -14.680 44.670 nan -3.304 0x00
OBS: 59077.26 r NULL  -39.898 43.311 nan -1.179 0x00
OBS: 59082.31 r NULL  90.850 69.552 22.604 0.831 0x00
OBS: 59094.26 r NULL  109.508 177.705 22.401 1.762 0x00
OBS: 59096.26 r NULL  -12.520 68.683 nan -5.956 0x00
OBS: 59098.30 r NULL  -123.212 80.341 nan -0.708 0x00
OBS: 59106.24 r NULL  3.782 55.922 26.056 16.054 0x00
OBS: 59119.23 r NULL  -89.498 101.287 nan -1.229 0x00
OBS: 59122.23 r NULL  122.592 155.506 22.279 1.377 0x00
OBS: 59268.59 r NULL  442.530 79.321 20.885 0.195 0x00
OBS: 59292.51 r NULL  642.509 64.179 20.480 0.108 0x01
OBS: 59297.53 r NULL  472.261 99.915 20.815 0.230 0x00
OBS: 59299.55 r NULL  688.253 74.846 20.406 0.118 0x00
OBS: 59300.53 r NULL  723.196 609.377 20.352 0.915 0x00
OBS: 59317.50 r NULL  506.128 63.544 20.739 0.136 0x00
OBS: 59326.47 r NULL  564.306 84.615 20.621 0.163 0x00
OBS: 59327.46 r NULL  574.938 98.758 20.601 0.186 0x00
OBS: 59336.61 r NULL  674.480 135.747 20.428 0.219 0x00
OBS: 59342.56 r NULL  473.581 67.273 20.812 0.154 0x01
OBS: 59349.38 r NULL  462.230 73.306 20.838 0.172 0x00
OBS: 59356.38 r NULL  419.510 60.657 20.943 0.157 0x00
OBS: 59357.38 r NULL  345.700 88.196 21.153 0.277 0x00
OBS: 59363.49 r NULL  353.326 86.348 21.130 0.265 0x00
OBS: 59365.35 r NULL  258.034 41.944 21.471 0.176 0x00
OBS: 59374.47 r NULL  83.776 75.699 22.692 0.981 0x01
OBS: 59381.44 r NULL  47.963 46.703 23.298 1.057 0x00
OBS: 59393.29 r NULL  33.331 41.175 23.693 1.341 0x00
OBS: 59395.41 r NULL  70.852 51.787 22.874 0.794 0x00
OBS: 58875.63 i NULL  -4.151 75.018 nan -19.622 0x01
OBS: 58933.52 i NULL  -20.615 99.834 nan -5.258 0x00
OBS: 58942.49 i NULL  -102.999 129.358 nan -1.364 0x00
OBS: 58951.47 i NULL  89.033 108.645 22.626 1.325 0x00
OBS: 58959.59 i NULL  54.238 48.782 23.164 0.977 0x00
OBS: 58966.57 i NULL  -6.089 73.626 nan -13.128 0x00
OBS: 58974.43 i NULL  9.641 102.251 25.040 11.515 0x00
OBS: 58984.49 i NULL  -40.995 47.263 nan -1.252 0x00
OBS: 58988.50 i NULL  13.735 55.065 24.655 4.353 0x00
OBS: 58994.49 i NULL  -17.555 56.700 nan -3.507 0x00
OBS: 59000.51 i NULL  10.237 44.932 24.975 4.765 0x00
OBS: 59008.30 i NULL  -46.463 54.402 nan -1.271 0x00
OBS: 59019.48 i NULL  112.071 93.234 22.376 0.903 0x00
OBS: 59029.29 i NULL  -26.403 34.142 nan -1.404 0x00
OBS: 59033.39 i NULL  93.942 89.500 22.568 1.034 0x00
OBS: 59040.37 i NULL  -44.219 49.852 nan -1.224 0x00
OBS: 59047.36 i NULL  -80.670 57.520 nan -0.774 0x00
OBS: 59054.34 i NULL  -61.005 45.748 nan -0.814 0x00
OBS: 59063.32 i NULL  -42.393 106.562 nan -2.729 0x00
OBS: 59069.34 i NULL  27.033 48.089 23.920 1.931 0x00
OBS: 59071.27 i NULL  -90.022 56.306 nan -0.679 0x00
OBS: 59074.29 i NULL  19.872 47.227 24.254 2.580 0x00
OBS: 59079.26 i NULL  -21.355 41.898 nan -2.130 0x00
OBS: 59083.26 i NULL  -125.429 80.007 nan -0.693 0x09
OBS: 59094.25 i NULL  225.997 174.568 21.615 0.839 0x00
OBS: 59098.30 i NULL  75.943 79.841 22.799 1.141 0x00
OBS: 59108.24 i NULL  36.922 95.240 23.582 2.801 0x00
OBS: 59115.24 i NULL  16.491 51.295 24.457 3.377 0x00
OBS: 59122.23 i NULL  47.562 84.331 23.307 1.925 0x00
OBS: 59136.22 i NULL  18.366 91.530 24.340 5.411 0x00
OBS: 59255.62 i NULL  600.473 66.677 20.554 0.121 0x00
OBS: 59262.63 i NULL  713.307 50.705 20.367 0.077 0x00
OBS: 59268.59 i NULL  688.184 106.404 20.406 0.168 0x00
OBS: 59297.53 i NULL  727.945 111.170 20.345 0.166 0x00
OBS: 59300.53 i NULL  1344.793 479.233 19.678 0.387 0x00
OBS: 59311.47 i NULL  644.286 65.203 20.477 0.110 0x00
OBS: 59321.58 i NULL  649.676 53.155 20.468 0.089 0x00
OBS: 59327.46 i NULL  653.643 97.205 20.462 0.161 0x00
OBS: 59336.61 i NULL  646.878 62.287 20.473 0.105 0x00
OBS: 59345.55 i NULL  488.220 68.176 20.778 0.152 0x00
OBS: 59353.52 i NULL  569.916 68.471 20.610 0.130 0x01
OBS: 59355.38 i NULL  526.766 55.913 20.696 0.115 0x00
OBS: 59356.38 i NULL  482.307 69.349 20.792 0.156 0x00
OBS: 59363.50 i NULL  343.990 69.076 21.159 0.218 0x00
OBS: 59371.50 i NULL  391.222 101.140 21.019 0.281 0x00
OBS: 59378.45 i NULL  166.781 60.708 21.945 0.395 0x00
OBS: 59395.41 i NULL  127.522 47.974 22.236 0.408 0x00
OBS: 58882.66 z NULL  -192.585 117.465 nan -0.662 0x00
OBS: 58947.62 z NULL  -373.712 229.227 nan -0.666 0x00
OBS: 58955.47 z NULL  -80.135 88.556 nan -1.200 0x00
OBS: 58973.58 z NULL  -272.267 136.108 nan -0.543 0x00
OBS: 58978.56 z NULL  -8.279 160.126 nan -20.999 0x00
OBS: 58982.51 z NULL  -78.688 115.810 nan -1.598 0x00
OBS: 58998.35 z NULL  -61.510 73.381 nan -1.295 0x00
OBS: 59006.47 z NULL  101.916 158.234 22.479 1.686 0x00
OBS: 59011.51 z NULL  42.050 110.674 23.441 2.858 0x00
OBS: 59015.30 z NULL  -20.241 82.940 nan -4.449 0x00
OBS: 59027.29 z NULL  -12.698 76.418 nan -6.534 0x00
OBS: 59037.37 z NULL  27.529 99.727 23.901 3.933 0x00
OBS: 59043.35 z NULL  -67.251 82.848 nan -1.338 0x01
OBS: 59060.37 z NULL  -157.293 175.300 nan -1.210 0x00
OBS: 59066.28 z NULL  15.856 78.543 24.500 5.378 0x00
OBS: 59096.26 z NULL  -35.062 97.852 nan -3.030 0x00
OBS: 59102.25 z NULL  -158.043 106.814 nan -0.734 0x00
OBS: 59119.24 z NULL  -217.847 134.907 nan -0.672 0x00
OBS: 59128.22 z NULL  25.803 214.316 23.971 9.018 0x00
OBS: 59131.22 z NULL  -168.445 139.450 nan -0.899 0x00
OBS: 59299.55 z NULL  479.757 93.938 20.797 0.213 0x00
OBS: 59326.47 z NULL  573.397 141.451 20.604 0.268 0x00
OBS: 59354.38 z NULL  661.714 111.992 20.448 0.184 0x00
OBS: 59357.38 z NULL  457.236 109.231 20.850 0.259 0x00
OBS: 59365.35 z NULL  324.276 73.726 21.223 0.247 0x00
OBS: 59367.34 z NULL  354.072 90.093 21.127 0.276 0x00
OBS: 59393.30 z NULL  56.279 77.132 23.124 1.488 0x00
END:
