SURVEY:  PS1MD
SNID:  2021int
otherID: 
IAUC:    UNKNOWN
RA:        187.9276040  deg
DECL:       23.0649230  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021int.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0017
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.285 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 61
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59288.53 g NULL  -9.846 44.980 nan -4.960 0x00
OBS: 59292.39 g NULL  -155.297 64.763 nan -0.453 0x00
OBS: 59295.54 g NULL  31.647 49.968 23.749 1.714 0x00
OBS: 59307.35 g NULL  459.824 75.671 20.844 0.179 0x01
OBS: 59313.30 g NULL  651.580 57.419 20.465 0.096 0x00
OBS: 59314.30 g NULL  454.131 104.552 20.857 0.250 0x00
OBS: 59316.45 g NULL  672.774 95.847 20.430 0.155 0x00
OBS: 59320.48 g NULL  410.602 45.274 20.966 0.120 0x00
OBS: 59322.42 g NULL  551.447 53.502 20.646 0.105 0x00
OBS: 59337.26 g NULL  23.936 44.443 24.052 2.016 0x00
OBS: 59338.27 g NULL  61.491 67.341 23.028 1.189 0x00
OBS: 59343.26 g NULL  3.875 40.240 26.029 11.275 0x00
OBS: 59345.26 g NULL  40.627 47.630 23.478 1.273 0x00
OBS: 59350.38 g NULL  103.276 74.156 22.465 0.780 0x00
OBS: 59367.32 g NULL  -28.824 57.625 nan -2.171 0x00
OBS: 59374.33 g NULL  43.489 63.245 23.404 1.579 0x00
OBS: 59376.28 g NULL  -10.952 74.865 nan -7.422 0x01
OBS: 59379.32 g NULL  4.505 65.738 25.866 15.843 0x00
OBS: 59397.29 g NULL  22.178 51.202 24.135 2.507 0x00
OBS: 59401.27 g NULL  40.922 55.782 23.470 1.480 0x00
OBS: 59402.28 g NULL  16.311 57.976 24.469 3.859 0x00
OBS: 59403.29 g NULL  -67.756 52.707 nan -0.845 0x00
OBS: 59404.27 g NULL  28.226 56.069 23.873 2.157 0x00
OBS: 59405.29 g NULL  15.341 100.710 24.535 7.128 0x00
OBS: 59288.53 r NULL  -2.625 43.231 nan -17.881 0x00
OBS: 59305.31 r NULL  260.897 63.903 21.459 0.266 0x00
OBS: 59314.31 r NULL  543.803 50.935 20.661 0.102 0x00
OBS: 59318.44 r NULL  645.820 59.126 20.475 0.099 0x00
OBS: 59322.42 r NULL  514.356 49.238 20.722 0.104 0x00
OBS: 59333.42 r NULL  236.869 59.181 21.564 0.271 0x00
OBS: 59335.40 r NULL  368.693 77.519 21.083 0.228 0x00
OBS: 59345.26 r NULL  42.269 47.255 23.435 1.214 0x00
OBS: 59350.39 r NULL  85.290 65.140 22.673 0.829 0x00
OBS: 59359.34 r NULL  -26.010 90.128 nan -3.762 0x00
OBS: 59361.36 r NULL  150.017 67.099 22.060 0.486 0x00
OBS: 59363.32 r NULL  22.356 45.018 24.127 2.186 0x00
OBS: 59374.33 r NULL  45.818 68.315 23.347 1.619 0x00
OBS: 59377.28 r NULL  72.136 41.681 22.855 0.627 0x00
OBS: 59386.27 r NULL  -35.315 150.322 nan -4.622 0x00
OBS: 59392.32 r NULL  128.686 84.796 22.226 0.715 0x09
OBS: 59395.29 r NULL  98.758 50.395 22.514 0.554 0x01
OBS: 59402.27 r NULL  29.606 50.813 23.822 1.863 0x00
OBS: 59404.28 r NULL  70.923 36.617 22.873 0.561 0x00
OBS: 59292.39 i NULL  0.180 87.440 29.362 527.427 0x00
OBS: 59295.53 i NULL  21.113 61.103 24.189 3.142 0x00
OBS: 59313.30 i NULL  441.668 62.099 20.887 0.153 0x00
OBS: 59316.45 i NULL  644.778 93.601 20.476 0.158 0x00
OBS: 59320.47 i NULL  569.170 54.427 20.612 0.104 0x00
OBS: 59335.40 i NULL  306.776 88.631 21.283 0.314 0x00
OBS: 59338.27 i NULL  240.234 81.838 21.548 0.370 0x00
OBS: 59343.26 i NULL  197.125 54.323 21.763 0.299 0x00
OBS: 59361.37 i NULL  129.692 67.557 22.218 0.566 0x00
OBS: 59365.33 i NULL  117.696 41.904 22.323 0.387 0x00
OBS: 59370.29 i NULL  64.249 79.564 22.980 1.345 0x01
OBS: 59372.33 i NULL  137.433 69.599 22.155 0.550 0x01
OBS: 59376.29 i NULL  141.162 73.370 22.126 0.564 0x00
OBS: 59379.32 i NULL  73.194 52.530 22.839 0.779 0x00
OBS: 59392.32 i NULL  37.077 54.852 23.577 1.606 0x00
OBS: 59397.29 i NULL  35.839 46.380 23.614 1.405 0x00
OBS: 59401.27 i NULL  54.048 55.077 23.168 1.106 0x00
OBS: 59403.29 i NULL  29.097 59.876 23.840 2.234 0x00
OBS: 59405.29 i NULL  -30.672 86.918 nan -3.077 0x00
OBS: 59305.31 z NULL  110.176 140.584 22.395 1.385 0x00
OBS: 59307.34 z NULL  371.195 101.181 21.076 0.296 0x00
OBS: 59333.43 z NULL  359.688 102.798 21.110 0.310 0x00
OBS: 59337.26 z NULL  166.538 81.501 21.946 0.531 0x00
OBS: 59363.32 z NULL  413.362 90.688 20.959 0.238 0x00
OBS: 59367.31 z NULL  144.747 99.700 22.098 0.748 0x01
OBS: 59395.29 z NULL  175.242 98.152 21.891 0.608 0x01
END:
