SURVEY:  PS1MD
SNID:  2021ita
otherID: 
IAUC:    UNKNOWN
RA:        186.4950880  deg
DECL:       7.2353030  deg
MWEBV:    0.022 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ita.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0006
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.820 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 382
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58839.62 g NULL  73.544 173.464 22.834 2.561 0x00
OBS: 58844.65 g NULL  -42.790 73.850 nan -1.874 0x01
OBS: 58846.65 g NULL  -69.828 84.390 nan -1.312 0x00
OBS: 58847.66 g NULL  35.074 63.824 23.638 1.976 0x00
OBS: 58849.66 g NULL  99.449 63.942 22.506 0.698 0x00
OBS: 58850.61 g NULL  -83.688 72.980 nan -0.947 0x00
OBS: 58866.57 g NULL  -86.892 83.002 nan -1.037 0x00
OBS: 58867.60 g NULL  -33.737 66.543 nan -2.142 0x00
OBS: 58869.57 g NULL  -61.106 63.358 nan -1.126 0x00
OBS: 58871.57 g NULL  -153.175 62.604 nan -0.444 0x00
OBS: 58874.58 g NULL  2.846 61.041 26.364 23.287 0x00
OBS: 58875.59 g NULL  -54.292 82.824 nan -1.656 0x01
OBS: 58876.52 g NULL  62.598 81.813 23.009 1.419 0x00
OBS: 58877.58 g NULL  -86.161 60.145 nan -0.758 0x00
OBS: 58878.51 g NULL  90.010 69.060 22.614 0.833 0x00
OBS: 58879.50 g NULL  121.444 318.524 22.289 2.848 0x00
OBS: 58882.50 g NULL  -50.363 67.519 nan -1.456 0x00
OBS: 58929.53 g NULL  -38.190 97.570 nan -2.774 0x00
OBS: 58930.51 g NULL  337.447 232.213 21.179 0.747 0x00
OBS: 58931.44 g NULL  -146.801 91.061 nan -0.673 0x00
OBS: 58932.51 g NULL  42.341 85.854 23.433 2.202 0x00
OBS: 58933.51 g NULL  -231.323 179.918 nan -0.844 0x01
OBS: 58941.41 g NULL  -114.563 107.153 nan -1.016 0x00
OBS: 58955.44 g NULL  -17.011 79.146 nan -5.052 0x00
OBS: 58956.44 g NULL  105.436 99.577 22.443 1.025 0x00
OBS: 58957.43 g NULL  65.829 121.569 22.954 2.005 0x01
OBS: 58958.40 g NULL  -53.033 57.616 nan -1.180 0x00
OBS: 58959.35 g NULL  0.171 63.067 29.418 400.433 0x00
OBS: 58960.30 g NULL  -40.285 52.601 nan -1.418 0x00
OBS: 58961.33 g NULL  82.467 65.357 22.709 0.860 0x00
OBS: 58964.42 g NULL  -311.030 286.941 nan -1.002 0x00
OBS: 58965.42 g NULL  -121.709 89.818 nan -0.801 0x00
OBS: 58966.31 g NULL  -8.934 58.881 nan -7.156 0x00
OBS: 58967.31 g NULL  16.360 76.385 24.466 5.069 0x00
OBS: 58969.26 g NULL  -45.947 79.424 nan -1.877 0x00
OBS: 58982.28 g NULL  -83.982 72.636 nan -0.939 0x00
OBS: 58983.28 g NULL  73.958 79.389 22.828 1.165 0x00
OBS: 58987.27 g NULL  -41.820 76.371 nan -1.983 0x00
OBS: 58988.27 g NULL  -2.811 84.979 nan -32.823 0x00
OBS: 58989.26 g NULL  -107.583 57.412 nan -0.579 0x00
OBS: 58990.26 g NULL  -3.608 68.343 nan -20.566 0x00
OBS: 58992.36 g NULL  -3.009 65.160 nan -23.512 0x00
OBS: 58994.32 g NULL  4.872 94.744 25.781 21.114 0x00
OBS: 58995.36 g NULL  -64.501 63.438 nan -1.068 0x00
OBS: 58998.35 g NULL  288.750 78.214 21.349 0.294 0x00
OBS: 59013.28 g NULL  -29.573 100.912 nan -3.705 0x00
OBS: 59014.28 g NULL  77.330 80.818 22.779 1.135 0x00
OBS: 59015.27 g NULL  -83.794 101.701 nan -1.318 0x00
OBS: 59016.28 g NULL  33.669 82.492 23.682 2.660 0x00
OBS: 59017.27 g NULL  -2.911 75.391 nan -28.119 0x00
OBS: 59018.31 g NULL  67.131 136.740 22.933 2.212 0x01
OBS: 59021.27 g NULL  -14.919 56.944 nan -4.144 0x00
OBS: 59022.27 g NULL  15.860 68.497 24.499 4.689 0x00
OBS: 59042.27 g NULL  75.995 81.946 22.798 1.171 0x00
OBS: 59047.28 g NULL  -6.667 93.311 nan -15.196 0x00
OBS: 59048.27 g NULL  -1.968 64.579 nan -35.628 0x00
OBS: 59049.27 g NULL  88.377 190.587 22.634 2.341 0x00
OBS: 59050.27 g NULL  134.134 112.281 22.181 0.909 0x00
OBS: 59052.27 g NULL  76.498 90.179 22.791 1.280 0x00
OBS: 59071.26 g NULL  -33.614 163.298 nan -5.275 0x00
OBS: 59072.26 g NULL  116.229 141.015 22.337 1.317 0x00
OBS: 59195.58 g NULL  -74.174 77.652 nan -1.137 0x00
OBS: 59198.63 g NULL  -34.189 91.769 nan -2.914 0x00
OBS: 59200.64 g NULL  0.926 73.910 27.583 86.660 0x00
OBS: 59204.66 g NULL  67.546 107.325 22.926 1.725 0x00
OBS: 59205.64 g NULL  -98.428 69.934 nan -0.771 0x00
OBS: 59206.64 g NULL  48.404 58.764 23.288 1.318 0x00
OBS: 59222.59 g NULL  -123.287 63.625 nan -0.560 0x00
OBS: 59224.61 g NULL  -313.621 162.183 nan -0.561 0x01
OBS: 59225.60 g NULL  -69.185 92.808 nan -1.456 0x00
OBS: 59226.57 g NULL  -130.942 67.374 nan -0.559 0x00
OBS: 59228.62 g NULL  -103.937 83.125 nan -0.868 0x01
OBS: 59229.58 g NULL  -149.462 83.177 nan -0.604 0x01
OBS: 59231.60 g NULL  -12.584 68.560 nan -5.915 0x00
OBS: 59235.54 g NULL  171.899 119.858 21.912 0.757 0x00
OBS: 59253.50 g NULL  -83.207 76.239 nan -0.995 0x00
OBS: 59257.52 g NULL  -3.660 63.962 nan -18.974 0x00
OBS: 59258.53 g NULL  -37.211 83.873 nan -2.447 0x00
OBS: 59261.46 g NULL  -84.225 71.987 nan -0.928 0x01
OBS: 59262.62 g NULL  111.894 60.189 22.378 0.584 0x00
OBS: 59278.48 g NULL  -261.153 178.364 nan -0.742 0x00
OBS: 59288.41 g NULL  -58.872 74.365 nan -1.371 0x00
OBS: 59291.42 g NULL  -17.362 91.330 nan -5.711 0x00
OBS: 59292.40 g NULL  -40.401 78.353 nan -2.106 0x00
OBS: 59295.42 g NULL  -79.235 118.858 nan -1.629 0x00
OBS: 59296.35 g NULL  -76.085 94.837 nan -1.353 0x00
OBS: 59310.47 g NULL  606.582 72.616 20.543 0.130 0x00
OBS: 59311.34 g NULL  840.437 70.580 20.189 0.091 0x00
OBS: 59313.47 g NULL  934.955 68.294 20.073 0.079 0x00
OBS: 59314.31 g NULL  833.079 80.729 20.198 0.105 0x00
OBS: 59317.37 g NULL  1050.031 88.295 19.947 0.091 0x00
OBS: 59318.44 g NULL  973.890 77.610 20.029 0.087 0x00
OBS: 59319.35 g NULL  693.827 80.068 20.397 0.125 0x00
OBS: 59320.31 g NULL  1064.869 73.672 19.932 0.075 0x00
OBS: 59321.36 g NULL  1046.701 76.290 19.950 0.079 0x00
OBS: 59322.41 g NULL  811.294 72.033 20.227 0.096 0x00
OBS: 59323.30 g NULL  945.499 162.676 20.061 0.187 0x00
OBS: 59337.26 g NULL  225.354 60.550 21.618 0.292 0x00
OBS: 59338.28 g NULL  273.905 83.855 21.406 0.332 0x00
OBS: 59342.26 g NULL  164.709 66.679 21.958 0.440 0x00
OBS: 59343.26 g NULL  287.963 56.979 21.352 0.215 0x00
OBS: 59344.26 g NULL  81.154 64.189 22.727 0.859 0x00
OBS: 59345.27 g NULL  132.980 69.105 22.191 0.564 0x00
OBS: 59346.28 g NULL  105.679 60.153 22.440 0.618 0x00
OBS: 59347.36 g NULL  -75.335 72.036 nan -1.038 0x00
OBS: 59349.37 g NULL  179.617 101.427 21.864 0.613 0x00
OBS: 59351.26 g NULL  21.759 111.116 24.156 5.544 0x00
OBS: 59353.38 g NULL  286.155 98.790 21.358 0.375 0x00
OBS: 59366.40 g NULL  64.123 66.023 22.982 1.118 0x00
OBS: 59367.33 g NULL  155.285 65.884 22.022 0.461 0x00
OBS: 59368.28 g NULL  116.218 58.794 22.337 0.549 0x00
OBS: 59370.28 g NULL  44.946 63.181 23.368 1.526 0x00
OBS: 59371.27 g NULL  195.355 124.883 21.773 0.694 0x00
OBS: 59372.35 g NULL  47.902 96.398 23.299 2.185 0x00
OBS: 59373.27 g NULL  141.598 61.754 22.122 0.474 0x00
OBS: 59374.32 g NULL  -30.957 80.857 nan -2.836 0x00
OBS: 59376.28 g NULL  76.566 107.646 22.790 1.526 0x00
OBS: 59377.28 g NULL  42.530 67.121 23.428 1.714 0x00
OBS: 59378.28 g NULL  -54.294 70.070 nan -1.401 0x00
OBS: 59379.33 g NULL  -14.476 83.438 nan -6.258 0x00
OBS: 59380.28 g NULL  51.175 116.797 23.227 2.478 0x00
OBS: 59396.30 g NULL  -120.841 67.246 nan -0.604 0x00
OBS: 59397.30 g NULL  -88.619 68.600 nan -0.840 0x00
OBS: 59399.29 g NULL  0.531 91.208 28.187 186.493 0x00
OBS: 59400.28 g NULL  -96.138 86.541 nan -0.977 0x00
OBS: 59401.28 g NULL  -6.952 72.448 nan -11.315 0x00
OBS: 59402.29 g NULL  191.260 72.685 21.796 0.413 0x00
OBS: 59403.27 g NULL  -30.551 77.071 nan -2.739 0x00
