SURVEY:  PS1MD
SNID:  2021iwx
otherID: 
IAUC:    UNKNOWN
RA:        195.8167540  deg
DECL:       28.4532410  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021iwx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0033
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.896 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 179
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59206.65 g NULL  76.931 35.800 22.785 0.505 0x00
OBS: 59225.61 g NULL  68.291 91.364 22.914 1.453 0x00
OBS: 59228.62 g NULL  -137.192 87.752 nan -0.694 0x00
OBS: 59229.58 g NULL  97.580 46.738 22.527 0.520 0x01
OBS: 59229.65 g NULL  -14.680 43.477 nan -3.216 0x00
OBS: 59231.60 g NULL  14.361 43.018 24.607 3.252 0x00
OBS: 59231.62 g NULL  93.223 56.049 22.576 0.653 0x00
OBS: 59235.54 g NULL  46.526 128.192 23.331 2.992 0x00
OBS: 59236.58 g NULL  -24.321 113.607 nan -5.072 0x00
OBS: 59252.53 g NULL  56.080 50.060 23.128 0.969 0x00
OBS: 59255.53 g NULL  91.751 58.818 22.593 0.696 0x00
OBS: 59255.54 g NULL  36.028 69.627 23.608 2.098 0x00
OBS: 59257.52 g NULL  19.578 33.010 24.271 1.831 0x00
OBS: 59257.52 g NULL  53.475 43.474 23.180 0.883 0x00
OBS: 59262.62 g NULL  83.143 55.134 22.700 0.720 0x00
OBS: 59278.46 g NULL  71.731 153.827 22.861 2.328 0x00
OBS: 59278.48 g NULL  137.084 154.668 22.158 1.225 0x01
OBS: 59291.43 g NULL  298.709 67.559 21.312 0.246 0x01
OBS: 59295.41 g NULL  506.123 79.893 20.739 0.171 0x00
OBS: 59296.45 g NULL  605.794 65.347 20.544 0.117 0x00
OBS: 59310.36 g NULL  428.473 91.780 20.920 0.233 0x00
OBS: 59312.49 g NULL  754.829 237.887 20.305 0.342 0x00
OBS: 59313.47 g NULL  246.873 53.543 21.519 0.235 0x00
OBS: 59314.31 g NULL  367.748 59.329 21.086 0.175 0x00
OBS: 59315.36 g NULL  281.082 331.614 21.378 1.281 0x00
OBS: 59316.46 g NULL  286.786 133.709 21.356 0.506 0x00
OBS: 59317.37 g NULL  181.383 70.032 21.854 0.419 0x00
OBS: 59319.35 g NULL  277.035 58.723 21.394 0.230 0x01
OBS: 59323.36 g NULL  115.285 57.737 22.346 0.544 0x00
OBS: 59338.28 g NULL  99.291 84.786 22.508 0.927 0x00
OBS: 59342.27 g NULL  -2.829 68.354 nan -26.233 0x00
OBS: 59343.27 g NULL  21.729 34.364 24.157 1.717 0x00
OBS: 59344.27 g NULL  35.225 51.642 23.633 1.592 0x00
OBS: 59345.27 g NULL  33.559 51.375 23.685 1.662 0x00
OBS: 59346.40 g NULL  44.426 53.233 23.381 1.301 0x00
OBS: 59347.37 g NULL  -37.793 60.352 nan -1.734 0x01
OBS: 59350.26 g NULL  -7.685 100.351 nan -14.178 0x00
OBS: 59352.43 g NULL  130.999 74.978 22.207 0.621 0x00
OBS: 59353.37 g NULL  68.278 84.302 22.914 1.341 0x00
OBS: 59367.32 g NULL  76.673 50.229 22.788 0.711 0x00
OBS: 59368.35 g NULL  94.937 77.676 22.556 0.888 0x00
OBS: 59371.33 g NULL  118.342 83.810 22.317 0.769 0x00
OBS: 59371.34 g NULL  -11.739 70.159 nan -6.489 0x00
OBS: 59373.33 g NULL  36.345 39.905 23.599 1.192 0x00
OBS: 59374.32 g NULL  -56.546 78.315 nan -1.504 0x00
OBS: 59375.37 g NULL  59.170 48.082 23.070 0.882 0x00
OBS: 59377.30 g NULL  10.687 47.981 24.928 4.875 0x00
OBS: 59378.39 g NULL  46.578 83.900 23.330 1.956 0x00
OBS: 59379.33 g NULL  -23.121 52.596 nan -2.470 0x00
OBS: 59380.28 g NULL  -4.384 90.612 nan -22.441 0x00
OBS: 59380.34 g NULL  130.219 81.648 22.213 0.681 0x00
OBS: 59396.27 g NULL  48.167 41.817 23.293 0.943 0x00
OBS: 59397.30 g NULL  108.913 47.792 22.407 0.476 0x00
OBS: 59398.29 g NULL  65.168 103.336 22.965 1.722 0x00
OBS: 59399.28 g NULL  82.480 68.759 22.709 0.905 0x00
OBS: 59406.28 g NULL  141.711 55.769 22.121 0.427 0x00
OBS: 59406.29 g NULL  -25.579 58.729 nan -2.493 0x00
OBS: 59208.65 r NULL  3.899 38.942 26.023 10.844 0x00
OBS: 59209.63 r NULL  47.554 60.685 23.307 1.386 0x00
OBS: 59209.64 r NULL  67.764 67.940 22.923 1.089 0x00
OBS: 59214.64 r NULL  -3.281 142.809 nan -47.258 0x00
OBS: 59217.63 r NULL  -46.080 83.453 nan -1.966 0x00
