SURVEY:  PS1MD
SNID:  2021jvt
otherID: 
IAUC:    UNKNOWN
RA:        222.9694000  deg
DECL:       -11.3604120  deg
MWEBV:    0.077 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021jvt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.928 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 110
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -54.439 75.448 nan -1.505 0x00
OBS: 58933.53 g NULL  -163.158 119.855 nan -0.798 0x00
OBS: 58956.46 g NULL  41.164 58.950 23.464 1.555 0x00
OBS: 58964.49 g NULL  -92.351 88.173 nan -1.037 0x00
OBS: 58969.47 g NULL  -144.228 116.008 nan -0.873 0x00
OBS: 58983.47 g NULL  -4.558 42.546 nan -10.135 0x00
OBS: 58985.40 g NULL  -48.590 36.499 nan -0.816 0x00
OBS: 58990.39 g NULL  11.383 43.133 24.859 4.114 0x00
OBS: 58994.37 g NULL  76.643 48.811 22.789 0.691 0x00
OBS: 58997.34 g NULL  139.230 82.522 22.141 0.644 0x00
OBS: 58999.38 g NULL  6.246 50.823 25.511 8.835 0x00
OBS: 59015.29 g NULL  0.255 55.738 28.984 237.321 0x00
OBS: 59019.28 g NULL  -27.377 151.817 nan -6.021 0x00
OBS: 59027.30 g NULL  34.401 67.692 23.659 2.136 0x00
OBS: 59043.28 g NULL  114.597 56.837 22.352 0.538 0x00
OBS: 59047.30 g NULL  -19.568 92.387 nan -5.126 0x00
OBS: 59054.27 g NULL  -124.169 89.135 nan -0.779 0x00
OBS: 59288.54 g NULL  18.640 47.574 24.324 2.771 0x00
OBS: 59293.58 g NULL  -40.879 70.916 nan -1.884 0x00
OBS: 59311.47 g NULL  696.439 62.961 20.393 0.098 0x00
OBS: 59317.48 g NULL  619.095 50.144 20.521 0.088 0x00
OBS: 59320.48 g NULL  524.782 40.978 20.700 0.085 0x00
OBS: 59323.44 g NULL  433.788 67.056 20.907 0.168 0x00
OBS: 59344.45 g NULL  244.000 59.872 21.532 0.266 0x01
OBS: 59366.33 g NULL  142.144 41.110 22.118 0.314 0x00
OBS: 59368.36 g NULL  110.327 83.217 22.393 0.819 0x00
OBS: 59372.34 g NULL  220.936 43.946 21.639 0.216 0x00
OBS: 59381.33 g NULL  45.912 62.801 23.345 1.485 0x00
OBS: 59382.28 g NULL  155.634 53.812 22.020 0.375 0x00
OBS: 59396.31 g NULL  108.434 29.734 22.412 0.298 0x00
