SURVEY:  PS1MD
SNID:  2021jwb
otherID: 
IAUC:    UNKNOWN
RA:        227.2886660  deg
DECL:       0.3072430  deg
MWEBV:    0.048 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021jwb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0013
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.535 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 88
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58959.47 g NULL  256.702 102.063 21.476 0.432 0x00
OBS: 58983.47 g NULL  187.042 136.289 21.820 0.791 0x09
OBS: 58986.47 g NULL  152.978 82.194 22.038 0.583 0x01
OBS: 58990.39 g NULL  169.941 83.658 21.924 0.534 0x00
OBS: 58994.38 g NULL  -9.141 153.905 nan -18.280 0x01
OBS: 58999.38 g NULL  -73.388 80.439 nan -1.190 0x00
OBS: 59052.41 g NULL  292.326 106.869 21.335 0.397 0x00
OBS: 59104.25 g NULL  210.299 169.207 21.693 0.874 0x09
OBS: 59291.54 g NULL  79.744 114.379 22.746 1.557 0x00
OBS: 59295.55 g NULL  -194.595 146.447 nan -0.817 0x00
OBS: 59322.55 g NULL  1530.034 101.810 19.538 0.072 0x00
OBS: 59375.37 g NULL  189.081 100.265 21.808 0.576 0x00
OBS: 59383.28 g NULL  116.794 82.491 22.331 0.767 0x00
OBS: 59402.30 g NULL  150.171 78.840 22.059 0.570 0x00
OBS: 59403.30 g NULL  31.337 70.938 23.760 2.458 0x00
OBS: 59404.30 g NULL  135.841 89.894 22.167 0.718 0x00
OBS: 59405.31 g NULL  152.101 86.770 22.045 0.619 0x00
OBS: 59408.28 g NULL  131.376 73.992 22.204 0.611 0x00
OBS: 59410.27 g NULL  87.478 108.548 22.645 1.347 0x00
OBS: 59426.28 g NULL  28.392 88.236 23.867 3.374 0x01
OBS: 59428.27 g NULL  45.308 102.212 23.360 2.449 0x00
OBS: 59430.27 g NULL  175.851 78.221 21.887 0.483 0x00
OBS: 59437.27 g NULL  62.553 118.679 23.009 2.060 0x00
OBS: 59457.25 g NULL  139.146 67.164 22.141 0.524 0x00
OBS: 59465.25 g NULL  406.693 90.724 20.977 0.242 0x00
OBS: 58918.60 r NULL  560.154 157.283 20.629 0.305 0x00
OBS: 58959.47 r NULL  401.215 97.149 20.992 0.263 0x00
OBS: 58972.45 r NULL  484.423 109.599 20.787 0.246 0x00
OBS: 58994.38 r NULL  412.465 115.688 20.962 0.305 0x00
OBS: 59009.33 r NULL  431.326 156.527 20.913 0.394 0x00
OBS: 59034.28 r NULL  673.178 141.296 20.430 0.228 0x00
OBS: 59038.33 r NULL  477.001 105.182 20.804 0.239 0x00
