SURVEY:  PS1MD
SNID:  2021kbm
otherID: 
IAUC:    UNKNOWN
RA:        224.1075030  deg
DECL:       43.0411440  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kbm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.373 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 160
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.66 g NULL  -51.137 65.054 nan -1.381 0x00
OBS: 58868.66 g NULL  27.491 44.617 23.902 1.762 0x00
OBS: 58873.62 g NULL  -46.470 47.951 nan -1.120 0x01
OBS: 58877.64 g NULL  -137.150 93.823 nan -0.743 0x00
OBS: 58929.54 g NULL  39.827 66.855 23.500 1.823 0x00
OBS: 58933.51 g NULL  -127.834 97.680 nan -0.830 0x00
OBS: 58956.47 g NULL  20.130 44.107 24.240 2.379 0x00
OBS: 58958.52 g NULL  -34.124 32.238 nan -1.026 0x00
OBS: 58960.46 g NULL  -28.265 44.923 nan -1.726 0x00
OBS: 58965.49 g NULL  -181.219 73.681 nan -0.441 0x00
OBS: 58969.38 g NULL  56.258 90.483 23.125 1.746 0x00
OBS: 58971.41 g NULL  123.250 63.993 22.273 0.564 0x00
OBS: 58972.43 g NULL  22.676 108.700 24.111 5.205 0x00
OBS: 58984.29 g NULL  -59.566 43.673 nan -0.796 0x00
OBS: 58987.39 g NULL  23.778 60.347 24.060 2.756 0x00
OBS: 58992.29 g NULL  -28.829 37.601 nan -1.416 0x00
OBS: 58997.32 g NULL  38.974 50.102 23.523 1.396 0x00
OBS: 59014.42 g NULL  -40.479 57.938 nan -1.554 0x00
