SURVEY:  PS1MD
SNID:  2021kbo
otherID: 
IAUC:    UNKNOWN
RA:        220.9376390  deg
DECL:       41.5462360  deg
MWEBV:    0.012 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kbo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0031
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.108 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 147
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  47.788 40.988 23.302 0.931 0x00
OBS: 58877.64 g NULL  -117.700 65.269 nan -0.602 0x00
OBS: 58929.54 g NULL  12.738 55.586 24.737 4.738 0x00
OBS: 58958.52 g NULL  41.987 35.870 23.442 0.928 0x00
OBS: 58960.46 g NULL  39.827 52.690 23.500 1.436 0x00
OBS: 58965.48 g NULL  0.648 89.965 27.971 150.738 0x00
OBS: 58969.38 g NULL  -43.862 123.214 nan -3.050 0x00
OBS: 58971.41 g NULL  75.283 63.335 22.808 0.913 0x00
OBS: 58972.43 g NULL  -50.120 88.111 nan -1.909 0x00
OBS: 58984.29 g NULL  8.662 40.864 25.156 5.122 0x01
OBS: 58987.38 g NULL  43.436 57.795 23.405 1.445 0x00
OBS: 58992.29 g NULL  40.858 34.825 23.472 0.925 0x00
OBS: 58999.37 g NULL  -71.981 62.545 nan -0.943 0x00
OBS: 59014.42 g NULL  -29.456 71.433 nan -2.633 0x00
OBS: 59017.29 g NULL  11.820 44.036 24.818 4.045 0x00
OBS: 59022.29 g NULL  27.245 86.195 23.912 3.435 0x00
OBS: 59026.28 g NULL  174.677 67.249 21.894 0.418 0x00
OBS: 59028.28 g NULL  -40.840 60.215 nan -1.601 0x00
OBS: 59047.27 g NULL  -4.544 141.341 nan -33.772 0x00
OBS: 59053.27 g NULL  26.381 58.835 23.947 2.421 0x00
OBS: 59058.29 g NULL  -45.858 94.913 nan -2.247 0x00
OBS: 59074.28 g NULL  24.617 49.056 24.022 2.164 0x00
OBS: 59081.25 g NULL  -46.196 48.894 nan -1.149 0x00
OBS: 59104.24 g NULL  -12.911 59.182 nan -4.977 0x00
OBS: 59220.66 g NULL  -14.456 44.964 nan -3.377 0x00
OBS: 59226.63 g NULL  128.366 45.909 22.229 0.388 0x00
OBS: 59230.66 g NULL  84.970 55.469 22.677 0.709 0x00
OBS: 59236.66 g NULL  12.398 63.308 24.767 5.544 0x01
OBS: 59255.56 g NULL  -90.891 73.575 nan -0.879 0x00
OBS: 59257.57 g NULL  93.255 72.588 22.576 0.845 0x09
OBS: 59261.63 g NULL  -26.927 34.595 nan -1.395 0x00
OBS: 59296.52 g NULL  253.208 153.402 21.491 0.658 0x00
OBS: 59313.53 g NULL  11.700 47.910 24.830 4.446 0x00
OBS: 59344.33 g NULL  273.462 50.987 21.408 0.202 0x00
OBS: 59349.46 g NULL  312.464 110.466 21.263 0.384 0x01
OBS: 59367.35 g NULL  197.333 45.627 21.762 0.251 0x00
OBS: 59372.34 g NULL  210.926 56.195 21.690 0.289 0x00
OBS: 59376.39 g NULL  262.372 58.351 21.453 0.241 0x00
OBS: 59380.35 g NULL  186.873 126.959 21.821 0.738 0x00
OBS: 59382.27 g NULL  190.361 40.640 21.801 0.232 0x00
OBS: 59383.27 g NULL  278.819 61.889 21.387 0.241 0x00
OBS: 59384.27 g NULL  85.737 100.127 22.667 1.268 0x00
OBS: 59398.30 g NULL  343.700 120.923 21.160 0.382 0x00
OBS: 58868.65 r NULL  35.304 43.349 23.630 1.333 0x00
OBS: 58883.65 r NULL  68.345 46.204 22.913 0.734 0x00
OBS: 58929.54 r NULL  0.481 57.882 28.295 130.654 0x00
OBS: 58933.52 r NULL  -130.042 94.828 nan -0.792 0x00
OBS: 58942.48 r NULL  54.299 130.896 23.163 2.617 0x00
OBS: 58950.58 r NULL  -35.478 190.059 nan -5.816 0x00
OBS: 58960.46 r NULL  -35.236 42.590 nan -1.312 0x00
OBS: 58965.49 r NULL  4.664 93.777 25.828 21.830 0x00
OBS: 58980.38 r NULL  -48.431 37.999 nan -0.852 0x00
OBS: 59003.39 r NULL  -326.637 146.758 nan -0.488 0x00
OBS: 59005.33 r NULL  -1.355 107.387 nan -86.047 0x00
OBS: 59009.36 r NULL  49.400 53.384 23.266 1.173 0x00
OBS: 59017.29 r NULL  -46.470 44.308 nan -1.035 0x00
OBS: 59022.29 r NULL  26.504 59.555 23.942 2.440 0x00
OBS: 59030.28 r NULL  -11.977 51.438 nan -4.663 0x00
OBS: 59033.28 r NULL  -31.650 70.609 nan -2.422 0x00
OBS: 59037.27 r NULL  -21.806 35.628 nan -1.774 0x00
OBS: 59040.27 r NULL  -20.772 45.833 nan -2.396 0x00
OBS: 59047.27 r NULL  -111.923 93.738 nan -0.909 0x00
OBS: 59053.28 r NULL  -22.027 51.722 nan -2.549 0x00
OBS: 59061.28 r NULL  169.519 82.062 21.927 0.526 0x00
OBS: 59066.27 r NULL  -64.319 76.505 nan -1.291 0x01
OBS: 59070.29 r NULL  -21.121 69.422 nan -3.569 0x00
OBS: 59081.25 r NULL  112.528 67.968 22.372 0.656 0x00
OBS: 59097.24 r NULL  5.485 48.714 25.652 9.643 0x00
OBS: 59100.24 r NULL  8.586 52.269 25.166 6.610 0x00
OBS: 59217.64 r NULL  -1.431 82.637 nan -62.699 0x00
OBS: 59226.63 r NULL  -120.190 55.489 nan -0.501 0x00
OBS: 59238.58 r NULL  -119.212 81.592 nan -0.743 0x00
OBS: 59242.64 r NULL  154.020 183.379 22.031 1.293 0x00
OBS: 59245.66 r NULL  120.947 85.376 22.294 0.766 0x00
OBS: 59246.64 r NULL  234.903 90.836 21.573 0.420 0x00
OBS: 59255.57 r NULL  -46.128 79.364 nan -1.868 0x00
OBS: 59261.63 r NULL  -9.407 35.055 nan -4.046 0x00
OBS: 59270.58 r NULL  -178.677 128.018 nan -0.778 0x01
OBS: 59298.51 r NULL  -57.217 86.369 nan -1.639 0x00
OBS: 59303.53 r NULL  -24.877 141.049 nan -6.156 0x00
OBS: 59304.51 r NULL  41.861 95.058 23.445 2.465 0x00
OBS: 59313.53 r NULL  -46.598 50.172 nan -1.169 0x00
OBS: 59321.46 r NULL  340.734 41.132 21.169 0.131 0x00
OBS: 59326.39 r NULL  296.349 99.196 21.320 0.363 0x00
OBS: 59328.46 r NULL  262.377 152.515 21.453 0.631 0x00
OBS: 59333.43 r NULL  428.718 64.786 20.920 0.164 0x00
OBS: 59336.45 r NULL  373.602 84.550 21.069 0.246 0x00
OBS: 59357.37 r NULL  362.215 105.851 21.103 0.317 0x00
OBS: 59359.41 r NULL  137.090 111.832 22.157 0.886 0x00
OBS: 59361.46 r NULL  213.835 70.995 21.675 0.360 0x00
OBS: 59364.40 r NULL  233.057 53.625 21.581 0.250 0x00
OBS: 59372.34 r NULL  328.323 52.534 21.209 0.174 0x00
OBS: 59380.35 r NULL  231.919 116.157 21.587 0.544 0x00
OBS: 59386.33 r NULL  347.413 152.064 21.148 0.475 0x00
OBS: 59388.31 r NULL  163.408 78.190 21.967 0.520 0x00
OBS: 59391.30 r NULL  304.176 66.014 21.292 0.236 0x00
OBS: 58877.64 i NULL  165.319 80.191 21.954 0.527 0x00
OBS: 58942.48 i NULL  -74.404 133.609 nan -1.950 0x00
OBS: 58958.52 i NULL  -13.415 48.297 nan -3.909 0x00
OBS: 58971.42 i NULL  -61.474 55.221 nan -0.975 0x00
OBS: 58980.37 i NULL  -209.162 102.403 nan -0.532 0x09
OBS: 58987.39 i NULL  -39.123 63.830 nan -1.771 0x00
OBS: 58992.29 i NULL  68.745 40.972 22.907 0.647 0x00
OBS: 58999.37 i NULL  52.672 63.144 23.196 1.302 0x00
OBS: 59005.33 i NULL  -201.156 177.987 nan -0.961 0x00
OBS: 59014.42 i NULL  -17.762 59.297 nan -3.625 0x00
OBS: 59026.29 i NULL  -44.257 72.910 nan -1.789 0x00
OBS: 59030.29 i NULL  -89.413 58.835 nan -0.714 0x00
OBS: 59037.27 i NULL  -40.021 39.943 nan -1.084 0x00
OBS: 59058.29 i NULL  91.828 85.553 22.593 1.012 0x00
OBS: 59061.28 i NULL  36.073 82.460 23.607 2.482 0x00
OBS: 59070.28 i NULL  87.135 135.026 22.650 1.682 0x00
OBS: 59074.27 i NULL  3.988 51.159 25.998 13.928 0x00
OBS: 59095.25 i NULL  -10.742 58.305 nan -5.893 0x00
OBS: 59217.64 i NULL  89.918 75.789 22.615 0.915 0x00
OBS: 59230.66 i NULL  -104.327 45.447 nan -0.473 0x00
