SURVEY:  PS1MD
SNID:  2021kbx
otherID: 
IAUC:    UNKNOWN
RA:        221.1877070  deg
DECL:       40.9153570  deg
MWEBV:    0.014 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kbx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0055
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.421 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 98
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.66 g NULL  42.507 47.188 23.429 1.205 0x00
OBS: 58873.62 g NULL  -3.050 57.142 nan -20.341 0x00
OBS: 58929.54 g NULL  57.151 50.816 23.107 0.965 0x00
OBS: 58958.52 g NULL  -52.464 41.145 nan -0.851 0x01
OBS: 58960.46 g NULL  -68.866 47.181 nan -0.744 0x00
OBS: 58965.48 g NULL  117.311 99.895 22.327 0.925 0x00
OBS: 58969.38 g NULL  89.199 117.668 22.624 1.432 0x00
OBS: 58971.41 g NULL  122.912 76.739 22.276 0.678 0x00
OBS: 58987.38 g NULL  0.920 57.272 27.591 67.589 0x00
OBS: 58999.37 g NULL  -16.453 64.584 nan -4.262 0x00
OBS: 59021.29 g NULL  -52.820 39.551 nan -0.813 0x00
OBS: 59022.29 g NULL  203.696 84.677 21.728 0.451 0x00
OBS: 59026.28 g NULL  -26.545 61.185 nan -2.503 0x00
OBS: 59028.28 g NULL  -70.170 55.255 nan -0.855 0x00
OBS: 59047.27 g NULL  264.554 171.005 21.444 0.702 0x00
OBS: 59051.28 g NULL  57.514 62.502 23.101 1.180 0x00
OBS: 59053.27 g NULL  22.323 110.591 24.128 5.379 0x00
OBS: 59072.27 g NULL  -64.854 71.497 nan -1.197 0x00
