SURVEY:  PS1MD
SNID:  2021kdd
otherID: 
IAUC:    UNKNOWN
RA:        221.8852540  deg
DECL:       42.1119030  deg
MWEBV:    0.013 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kdd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0088
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.642 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 158
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.66 g NULL  -43.694 59.884 nan -1.488 0x00
OBS: 58873.62 g NULL  27.012 61.103 23.921 2.456 0x00
OBS: 58877.64 g NULL  -73.120 82.205 nan -1.221 0x00
OBS: 58929.54 g NULL  14.504 63.027 24.596 4.718 0x00
OBS: 58956.47 g NULL  27.328 87.680 23.908 3.484 0x00
OBS: 58958.52 g NULL  -115.697 46.355 nan -0.435 0x00
OBS: 58965.48 g NULL  -116.800 81.321 nan -0.756 0x00
OBS: 58969.38 g NULL  -276.873 144.921 nan -0.568 0x00
OBS: 58971.41 g NULL  24.474 70.746 24.028 3.138 0x00
OBS: 58972.43 g NULL  67.453 103.545 22.927 1.667 0x00
OBS: 58987.38 g NULL  -53.876 60.942 nan -1.228 0x00
OBS: 58997.32 g NULL  36.313 55.872 23.600 1.671 0x00
OBS: 58999.37 g NULL  -78.955 47.323 nan -0.651 0x00
OBS: 59014.42 g NULL  -8.668 64.949 nan -8.135 0x00
OBS: 59028.28 g NULL  30.752 60.161 23.780 2.124 0x00
OBS: 59042.30 g NULL  1.587 41.491 26.999 28.386 0x00
OBS: 59047.27 g NULL  -98.442 148.774 nan -1.641 0x00
OBS: 59051.28 g NULL  -32.659 44.145 nan -1.468 0x00
OBS: 59053.27 g NULL  -21.324 61.916 nan -3.153 0x00
OBS: 59058.29 g NULL  -25.779 88.524 nan -3.728 0x00
OBS: 59072.27 g NULL  -5.046 65.318 nan -14.054 0x00
OBS: 59078.25 g NULL  -16.891 56.003 nan -3.600 0x00
OBS: 59081.25 g NULL  -43.607 55.377 nan -1.379 0x00
OBS: 59220.66 g NULL  46.742 56.866 23.326 1.321 0x00
OBS: 59226.63 g NULL  14.405 55.600 24.604 4.191 0x00
OBS: 59230.66 g NULL  25.752 62.809 23.973 2.648 0x00
OBS: 59236.66 g NULL  -10.145 68.381 nan -7.318 0x01
OBS: 59255.56 g NULL  64.710 88.950 22.973 1.492 0x00
OBS: 59261.63 g NULL  -49.316 40.109 nan -0.883 0x00
OBS: 59292.56 g NULL  -98.605 53.988 nan -0.594 0x00
OBS: 59296.52 g NULL  -54.650 146.593 nan -2.912 0x00
OBS: 59313.53 g NULL  18.953 52.836 24.306 3.027 0x00
OBS: 59317.49 g NULL  295.576 51.292 21.323 0.188 0x00
OBS: 59321.46 g NULL  305.828 45.853 21.286 0.163 0x00
OBS: 59349.46 g NULL  16.452 78.561 24.459 5.185 0x01
OBS: 59367.35 g NULL  26.922 31.258 23.925 1.261 0x00
OBS: 59372.34 g NULL  53.473 41.062 23.180 0.834 0x00
OBS: 59376.39 g NULL  55.741 38.694 23.135 0.754 0x00
OBS: 59380.35 g NULL  23.161 99.526 24.088 4.666 0x00
OBS: 59382.27 g NULL  9.793 51.335 25.023 5.691 0x00
OBS: 59383.27 g NULL  47.571 70.670 23.307 1.613 0x00
OBS: 59384.27 g NULL  -7.053 106.685 nan -16.423 0x00
OBS: 59398.30 g NULL  -117.441 100.197 nan -0.926 0x00
OBS: 58873.62 r NULL  -17.303 51.057 nan -3.204 0x00
OBS: 58883.65 r NULL  8.652 41.469 25.157 5.204 0x00
OBS: 58929.54 r NULL  -171.623 55.609 nan -0.352 0x00
OBS: 58933.52 r NULL  60.128 97.705 23.052 1.764 0x00
OBS: 58942.48 r NULL  3.653 110.889 26.093 32.958 0x00
OBS: 58947.52 r NULL  -104.151 100.828 nan -1.051 0x00
OBS: 58950.58 r NULL  512.798 216.288 20.725 0.458 0x00
OBS: 58956.48 r NULL  -23.358 69.221 nan -3.218 0x00
OBS: 58965.49 r NULL  -82.714 99.749 nan -1.309 0x00
OBS: 58974.42 r NULL  -71.478 121.077 nan -1.839 0x00
OBS: 58975.43 r NULL  0.414 91.472 28.457 239.890 0x00
OBS: 58980.38 r NULL  -22.716 42.607 nan -2.036 0x00
OBS: 59009.36 r NULL  -53.899 52.787 nan -1.063 0x01
OBS: 59033.28 r NULL  68.426 75.672 22.912 1.201 0x00
OBS: 59037.27 r NULL  -1.652 37.840 nan -24.869 0x00
OBS: 59040.27 r NULL  -71.299 50.654 nan -0.771 0x00
OBS: 59047.27 r NULL  -50.031 114.374 nan -2.482 0x00
OBS: 59053.28 r NULL  64.559 63.653 22.975 1.070 0x00
OBS: 59061.28 r NULL  -55.191 79.631 nan -1.567 0x00
OBS: 59064.29 r NULL  101.751 112.294 22.481 1.198 0x00
OBS: 59066.27 r NULL  22.733 72.773 24.108 3.476 0x00
OBS: 59070.29 r NULL  -65.770 80.430 nan -1.328 0x00
OBS: 59081.25 r NULL  47.711 69.408 23.303 1.579 0x00
OBS: 59093.25 r NULL  28.477 95.556 23.864 3.643 0x00
OBS: 59095.25 r NULL  43.411 70.747 23.406 1.769 0x00
OBS: 59097.24 r NULL  12.585 45.361 24.750 3.913 0x00
OBS: 59100.24 r NULL  51.359 66.930 23.223 1.415 0x00
OBS: 59226.63 r NULL  -1.506 62.721 nan -45.218 0x00
OBS: 59238.58 r NULL  -59.779 87.111 nan -1.582 0x00
OBS: 59245.66 r NULL  -53.228 86.674 nan -1.768 0x00
OBS: 59246.64 r NULL  172.767 99.720 21.906 0.627 0x00
OBS: 59255.57 r NULL  -68.883 84.175 nan -1.327 0x00
OBS: 59261.63 r NULL  9.320 37.109 25.076 4.323 0x00
OBS: 59270.58 r NULL  58.561 123.681 23.081 2.293 0x00
OBS: 59298.51 r NULL  43.071 80.970 23.415 2.041 0x00
OBS: 59300.50 r NULL  -231.468 300.061 nan -1.407 0x00
OBS: 59303.53 r NULL  -49.332 133.607 nan -2.941 0x00
OBS: 59304.51 r NULL  -18.008 91.143 nan -5.495 0x00
OBS: 59313.53 r NULL  154.683 59.715 22.026 0.419 0x00
OBS: 59321.46 r NULL  367.731 42.346 21.086 0.125 0x00
OBS: 59326.39 r NULL  218.428 119.951 21.652 0.596 0x00
OBS: 59328.46 r NULL  631.645 151.599 20.499 0.261 0x00
OBS: 59331.40 r NULL  344.117 138.058 21.158 0.436 0x00
OBS: 59336.45 r NULL  89.365 65.502 22.622 0.796 0x00
OBS: 59357.37 r NULL  85.533 96.706 22.670 1.228 0x00
OBS: 59359.41 r NULL  -28.269 105.271 nan -4.043 0x00
OBS: 59361.46 r NULL  149.636 66.935 22.062 0.486 0x00
OBS: 59364.40 r NULL  63.866 51.102 22.987 0.869 0x00
OBS: 59372.34 r NULL  79.410 43.819 22.750 0.599 0x00
OBS: 59380.35 r NULL  10.557 106.247 24.941 10.927 0x00
OBS: 59386.33 r NULL  -158.017 137.648 nan -0.946 0x00
OBS: 59388.31 r NULL  15.091 69.997 24.553 5.036 0x00
OBS: 59391.30 r NULL  -5.646 56.587 nan -10.882 0x00
OBS: 58877.64 i NULL  -29.329 81.039 nan -3.000 0x00
OBS: 58942.48 i NULL  -131.882 148.222 nan -1.220 0x00
OBS: 58958.52 i NULL  -55.541 61.138 nan -1.195 0x00
OBS: 58975.43 i NULL  -52.010 93.245 nan -1.947 0x00
OBS: 58980.37 i NULL  6.749 43.766 25.427 7.041 0x00
OBS: 58987.39 i NULL  141.230 65.362 22.125 0.502 0x00
OBS: 58997.32 i NULL  -21.198 48.583 nan -2.488 0x00
OBS: 58999.37 i NULL  61.723 61.453 23.024 1.081 0x00
OBS: 59014.42 i NULL  27.956 68.388 23.884 2.656 0x00
OBS: 59026.29 i NULL  40.735 77.624 23.475 2.069 0x00
OBS: 59037.27 i NULL  15.921 43.218 24.495 2.947 0x00
OBS: 59042.29 i NULL  39.721 49.370 23.502 1.349 0x00
OBS: 59051.28 i NULL  -60.343 38.331 nan -0.690 0x00
OBS: 59058.29 i NULL  -34.124 93.526 nan -2.976 0x00
OBS: 59061.28 i NULL  -34.382 88.973 nan -2.810 0x00
OBS: 59066.27 i NULL  -48.309 83.041 nan -1.866 0x00
OBS: 59070.28 i NULL  -203.370 144.221 nan -0.770 0x00
OBS: 59078.26 i NULL  93.276 64.858 22.576 0.755 0x00
OBS: 59095.25 i NULL  53.767 61.015 23.174 1.232 0x00
OBS: 59230.66 i NULL  80.430 57.582 22.736 0.777 0x00
OBS: 59236.66 i NULL  -48.428 84.153 nan -1.887 0x01
OBS: 59245.66 i NULL  -21.704 85.329 nan -4.269 0x00
OBS: 59270.58 i NULL  56.231 112.166 23.125 2.166 0x00
OBS: 59292.56 i NULL  -125.080 65.214 nan -0.566 0x01
OBS: 59296.52 i NULL  -76.126 107.613 nan -1.535 0x00
OBS: 59300.50 i NULL  -164.911 499.417 nan -3.288 0x00
OBS: 59303.53 i NULL  57.175 135.853 23.107 2.580 0x00
OBS: 59317.49 i NULL  355.105 62.463 21.124 0.191 0x00
OBS: 59326.40 i NULL  387.955 129.113 21.028 0.361 0x00
OBS: 59331.40 i NULL  197.083 124.806 21.763 0.688 0x00
OBS: 59336.45 i NULL  196.757 92.497 21.765 0.510 0x00
OBS: 59349.45 i NULL  175.254 180.750 21.891 1.120 0x01
OBS: 59351.37 i NULL  -9.097 80.080 nan -9.558 0x00
OBS: 59357.36 i NULL  41.735 133.616 23.449 3.476 0x00
OBS: 59361.46 i NULL  117.744 91.312 22.323 0.842 0x00
OBS: 59367.35 i NULL  104.101 48.883 22.456 0.510 0x00
OBS: 59376.39 i NULL  -46.929 69.690 nan -1.612 0x00
OBS: 59383.27 i NULL  97.450 57.046 22.528 0.636 0x00
OBS: 59386.33 i NULL  173.101 165.793 21.904 1.040 0x00
OBS: 59391.30 i NULL  74.991 58.051 22.812 0.840 0x00
OBS: 59398.30 i NULL  4.029 100.933 25.987 27.199 0x00
OBS: 58866.66 z NULL  58.548 64.392 23.081 1.194 0x00
OBS: 58883.65 z NULL  -159.908 77.996 nan -0.530 0x00
OBS: 58947.52 z NULL  166.524 156.210 21.946 1.018 0x00
OBS: 58950.59 z NULL  1097.640 717.389 19.899 0.710 0x00
OBS: 58969.38 z NULL  30.159 168.119 23.801 6.052 0x00
OBS: 58972.44 z NULL  30.844 107.565 23.777 3.786 0x00
OBS: 58974.42 z NULL  -134.131 182.489 nan -1.477 0x00
OBS: 59009.36 z NULL  -1.130 106.014 nan -101.861 0x00
OBS: 59028.28 z NULL  -121.754 79.859 nan -0.712 0x00
OBS: 59033.28 z NULL  -78.887 109.158 nan -1.502 0x00
OBS: 59040.27 z NULL  36.091 104.495 23.607 3.144 0x00
OBS: 59064.30 z NULL  170.470 121.320 21.921 0.773 0x00
OBS: 59072.27 z NULL  -233.749 112.676 nan -0.523 0x00
OBS: 59093.25 z NULL  167.904 120.594 21.937 0.780 0x00
OBS: 59097.24 z NULL  -86.560 97.179 nan -1.219 0x00
OBS: 59100.24 z NULL  -104.384 126.800 nan -1.319 0x00
OBS: 59220.66 z NULL  -0.077 79.711 nan -1123.963 0x00
OBS: 59238.59 z NULL  58.763 183.379 23.077 3.388 0x00
OBS: 59244.62 z NULL  168.933 199.891 21.931 1.285 0x01
OBS: 59246.65 z NULL  55.374 111.677 23.142 2.190 0x00
OBS: 59298.50 z NULL  -133.195 202.707 nan -1.652 0x00
OBS: 59304.51 z NULL  -67.704 95.044 nan -1.524 0x00
OBS: 59328.46 z NULL  407.740 188.501 20.974 0.502 0x00
OBS: 59359.41 z NULL  88.455 126.847 22.633 1.557 0x00
OBS: 59364.40 z NULL  132.446 75.386 22.195 0.618 0x00
OBS: 59382.27 z NULL  17.495 72.385 24.393 4.492 0x00
OBS: 59384.27 z NULL  -61.326 114.016 nan -2.019 0x00
OBS: 59388.31 z NULL  128.536 97.670 22.227 0.825 0x00
END:
