SURVEY:  PS1MD
SNID:  2021kgg
otherID: 
IAUC:    UNKNOWN
RA:        154.3661250  deg
DECL:       -0.5845190  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59327.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kgg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.023 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 80
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.62 g NULL  272.269 64.697 21.413 0.258 0x00
OBS: 58844.58 g NULL  -114.437 88.117 nan -0.836 0x00
OBS: 58850.55 g NULL  444.263 80.060 20.881 0.196 0x00
OBS: 58865.49 g NULL  702.530 97.589 20.383 0.151 0x01
OBS: 58869.48 g NULL  446.120 65.645 20.876 0.160 0x00
OBS: 58871.57 g NULL  433.498 62.811 20.908 0.157 0x00
OBS: 58878.48 g NULL  -216.586 296.159 nan -1.485 0x00
OBS: 58882.49 g NULL  442.484 72.526 20.885 0.178 0x00
OBS: 58932.35 g NULL  525.311 82.216 20.699 0.170 0x00
OBS: 58937.33 g NULL  499.948 108.588 20.753 0.236 0x00
OBS: 58941.35 g NULL  709.659 120.675 20.372 0.185 0x00
OBS: 58957.38 g NULL  666.573 184.841 20.440 0.301 0x00
OBS: 58961.26 g NULL  535.622 62.529 20.678 0.127 0x00
OBS: 58969.25 g NULL  295.824 89.236 21.322 0.328 0x00
OBS: 58984.26 g NULL  659.892 64.343 20.451 0.106 0x00
OBS: 58987.27 g NULL  502.605 84.426 20.747 0.182 0x00
OBS: 58989.28 g NULL  370.180 73.786 21.079 0.216 0x00
OBS: 58995.27 g NULL  587.483 75.359 20.578 0.139 0x00
OBS: 59205.58 g NULL  884.254 72.249 20.134 0.089 0x00
OBS: 59221.55 g NULL  743.256 86.466 20.322 0.126 0x00
OBS: 59235.53 g NULL  636.473 194.551 20.491 0.332 0x00
OBS: 59253.51 g NULL  1127.066 76.454 19.870 0.074 0x00
OBS: 59261.45 g NULL  1009.804 92.866 19.989 0.100 0x00
OBS: 59291.36 g NULL  1281.559 96.498 19.731 0.082 0x01
OBS: 59313.36 g NULL  1382.813 65.005 19.648 0.051 0x00
OBS: 59317.31 g NULL  1547.581 100.084 19.526 0.070 0x00
OBS: 59322.25 g NULL  782.761 82.381 20.266 0.114 0x00
OBS: 59342.27 g NULL  1343.269 74.665 19.680 0.060 0x00
OBS: 59345.28 g NULL  1279.782 73.935 19.732 0.063 0x00
OBS: 58844.59 r NULL  51.538 77.111 23.220 1.624 0x00
OBS: 58869.48 r NULL  300.455 64.392 21.306 0.233 0x01
OBS: 58920.37 r NULL  208.421 113.012 21.703 0.589 0x00
OBS: 58932.35 r NULL  530.753 71.089 20.688 0.145 0x00
OBS: 58937.41 r NULL  530.092 86.247 20.689 0.177 0x00
OBS: 58947.33 r NULL  373.179 199.627 21.070 0.581 0x00
OBS: 58961.26 r NULL  637.801 54.725 20.488 0.093 0x00
OBS: 58975.32 r NULL  233.741 160.475 21.578 0.745 0x09
OBS: 58987.27 r NULL  392.757 69.421 21.015 0.192 0x00
OBS: 59008.27 r NULL  520.672 70.695 20.709 0.147 0x00
OBS: 59208.55 r NULL  834.835 76.310 20.196 0.099 0x00
OBS: 59212.64 r NULL  1000.920 90.020 19.999 0.098 0x00
OBS: 59214.62 r NULL  516.511 187.690 20.717 0.395 0x01
OBS: 59242.53 r NULL  860.697 203.841 20.163 0.257 0x00
OBS: 59267.46 r NULL  1083.825 86.720 19.913 0.087 0x00
OBS: 59291.36 r NULL  1510.331 116.107 19.552 0.083 0x01
OBS: 59303.36 r NULL  940.581 159.942 20.067 0.185 0x00
OBS: 59304.30 r NULL  1106.677 118.771 19.890 0.117 0x00
OBS: 59306.33 r NULL  1149.774 77.182 19.848 0.073 0x00
OBS: 59313.36 r NULL  1080.874 55.504 19.916 0.056 0x00
OBS: 59317.32 r NULL  1386.358 98.120 19.645 0.077 0x00
OBS: 59322.25 r NULL  1308.071 89.163 19.708 0.074 0x00
OBS: 59333.25 r NULL  1422.427 106.584 19.617 0.081 0x00
OBS: 59335.28 r NULL  953.163 80.994 20.052 0.092 0x00
OBS: 59345.28 r NULL  1227.176 70.007 19.778 0.062 0x00
OBS: 58841.62 i NULL  150.439 72.011 22.057 0.520 0x00
OBS: 58850.56 i NULL  165.227 72.205 21.955 0.474 0x00
OBS: 58871.57 i NULL  514.462 70.560 20.722 0.149 0x00
OBS: 58878.48 i NULL  355.366 138.478 21.123 0.423 0x00
OBS: 58947.33 i NULL  -6.912 0.000 nan -0.000 0x00
OBS: 58957.38 i NULL  391.366 161.852 21.019 0.449 0x00
OBS: 58965.26 i NULL  405.826 120.925 20.979 0.324 0x00
OBS: 58984.27 i NULL  726.815 79.992 20.346 0.119 0x00
OBS: 58989.28 i NULL  643.299 85.863 20.479 0.145 0x00
OBS: 58995.27 i NULL  369.563 78.810 21.081 0.232 0x00
OBS: 59212.64 i NULL  840.760 78.483 20.188 0.101 0x00
OBS: 59221.55 i NULL  791.884 80.259 20.253 0.110 0x00
OBS: 59235.53 i NULL  904.242 174.537 20.109 0.210 0x00
