SURVEY:  PS1MD
SNID:  2021kps
otherID: 
IAUC:    UNKNOWN
RA:        195.3512190  deg
DECL:       -3.9686580  deg
MWEBV:    0.025 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021kps.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0051
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.562 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 66
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58882.60 g NULL  24.980 108.839 24.006 4.731 0x00
OBS: 58960.30 g NULL  45.412 65.895 23.357 1.575 0x00
OBS: 58965.42 g NULL  122.536 61.828 22.279 0.548 0x00
OBS: 59014.27 g NULL  -262.610 60.407 nan -0.250 0x00
OBS: 59016.28 g NULL  -61.992 89.669 nan -1.570 0x00
OBS: 59020.28 g NULL  -171.998 140.478 nan -0.887 0x00
OBS: 59206.64 g NULL  -138.922 87.977 nan -0.688 0x00
OBS: 59229.59 g NULL  -168.895 66.633 nan -0.428 0x00
OBS: 59257.58 g NULL  -14.034 79.170 nan -6.125 0x00
OBS: 59261.57 g NULL  -224.588 55.657 nan -0.269 0x01
OBS: 59293.42 g NULL  69.710 94.560 22.892 1.473 0x00
OBS: 59296.45 g NULL  56.002 76.979 23.129 1.492 0x00
OBS: 59316.43 g NULL  54.738 85.915 23.154 1.704 0x00
OBS: 59322.41 g NULL  543.263 73.309 20.662 0.147 0x00
OBS: 59343.27 g NULL  513.785 85.986 20.723 0.182 0x00
OBS: 59347.36 g NULL  374.530 62.098 21.066 0.180 0x00
OBS: 59350.27 g NULL  97.085 121.422 22.532 1.358 0x00
OBS: 59353.36 g NULL  207.746 84.334 21.706 0.441 0x00
OBS: 59368.27 g NULL  -197.528 60.573 nan -0.333 0x00
