SURVEY:  PS1MD
SNID:  2021lcc
otherID: 
IAUC:    UNKNOWN
RA:        215.8348290  deg
DECL:       42.9978940  deg
MWEBV:    0.008 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lcc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0097
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.041 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 138
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.65 g NULL  -169.522 84.464 nan -0.541 0x00
OBS: 58868.66 g NULL  -6.632 54.213 nan -8.875 0x00
OBS: 58873.62 g NULL  -26.555 52.309 nan -2.139 0x00
OBS: 58877.64 g NULL  -139.222 102.734 nan -0.801 0x00
OBS: 58929.54 g NULL  -119.454 55.280 nan -0.502 0x00
OBS: 58933.51 g NULL  -82.905 83.691 nan -1.096 0x00
OBS: 58956.47 g NULL  -94.854 50.522 nan -0.578 0x00
OBS: 58960.46 g NULL  3.483 40.673 26.145 12.679 0x00
OBS: 58965.48 g NULL  42.489 97.575 23.429 2.493 0x00
OBS: 58969.37 g NULL  62.417 92.596 23.012 1.611 0x00
OBS: 58971.41 g NULL  -47.044 77.159 nan -1.781 0x00
OBS: 58972.43 g NULL  -116.856 92.869 nan -0.863 0x00
OBS: 58984.29 g NULL  -16.195 43.340 nan -2.906 0x00
OBS: 58992.29 g NULL  -38.500 31.681 nan -0.893 0x00
OBS: 58997.32 g NULL  -26.069 55.442 nan -2.309 0x00
OBS: 58999.37 g NULL  52.193 59.298 23.206 1.234 0x00
OBS: 59014.42 g NULL  5.613 246.949 25.627 47.768 0x00
OBS: 59017.29 g NULL  104.382 50.669 22.453 0.527 0x00
OBS: 59021.29 g NULL  -36.656 37.969 nan -1.125 0x00
OBS: 59026.28 g NULL  -33.299 51.953 nan -1.694 0x00
OBS: 59047.27 g NULL  -34.973 106.902 nan -3.319 0x00
OBS: 59058.29 g NULL  44.273 321.743 23.385 7.890 0x00
OBS: 59072.27 g NULL  -85.372 49.489 nan -0.629 0x00
OBS: 59074.27 g NULL  -42.451 56.244 nan -1.439 0x00
OBS: 59081.25 g NULL  -92.169 69.910 nan -0.824 0x00
OBS: 59104.24 g NULL  -177.226 72.912 nan -0.447 0x00
OBS: 59220.66 g NULL  -39.592 60.373 nan -1.656 0x00
OBS: 59230.66 g NULL  -33.962 48.999 nan -1.566 0x00
OBS: 59236.66 g NULL  -37.830 80.694 nan -2.316 0x01
OBS: 59255.56 g NULL  -53.459 73.639 nan -1.496 0x00
OBS: 59257.57 g NULL  -25.150 33.527 nan -1.447 0x00
OBS: 59261.62 g NULL  49.393 65.499 23.266 1.440 0x09
OBS: 59292.56 g NULL  0.393 49.808 28.514 137.604 0x00
