SURVEY:  PS1MD
SNID:  2021lqw
otherID: 
IAUC:    UNKNOWN
RA:        195.9649360  deg
DECL:       28.7279060  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lqw.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.163 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 163
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59225.60 g NULL  -15.218 75.254 nan -5.369 0x01
OBS: 59225.61 g NULL  -200.189 98.850 nan -0.536 0x01
OBS: 59228.62 g NULL  -1.492 71.563 nan -52.077 0x00
OBS: 59229.58 g NULL  54.432 52.181 23.160 1.041 0x00
OBS: 59229.65 g NULL  89.077 49.743 22.626 0.606 0x00
OBS: 59231.62 g NULL  -46.823 48.655 nan -1.128 0x00
OBS: 59235.54 g NULL  121.452 118.674 22.289 1.061 0x00
OBS: 59252.53 g NULL  123.690 52.535 22.269 0.461 0x00
OBS: 59255.53 g NULL  141.008 62.684 22.127 0.483 0x00
OBS: 59255.54 g NULL  -40.553 73.396 nan -1.965 0x00
OBS: 59257.52 g NULL  36.263 37.631 23.601 1.127 0x00
OBS: 59258.53 g NULL  -60.884 99.778 nan -1.779 0x00
OBS: 59262.62 g NULL  117.163 85.119 22.328 0.789 0x00
OBS: 59278.48 g NULL  -263.653 159.601 nan -0.657 0x01
OBS: 59291.42 g NULL  128.470 76.536 22.228 0.647 0x00
OBS: 59291.43 g NULL  -64.558 59.444 nan -1.000 0x00
OBS: 59293.43 g NULL  -390.501 82.946 nan -0.231 0x00
OBS: 59295.41 g NULL  -71.889 81.639 nan -1.233 0x01
OBS: 59296.45 g NULL  151.121 92.969 22.052 0.668 0x00
OBS: 59307.35 g NULL  28.863 63.070 23.849 2.372 0x00
OBS: 59310.36 g NULL  -35.790 69.912 nan -2.121 0x01
OBS: 59312.49 g NULL  38.501 67.754 23.536 1.911 0x00
OBS: 59313.47 g NULL  91.496 51.943 22.596 0.616 0x00
OBS: 59314.31 g NULL  -16.455 47.967 nan -3.165 0x00
OBS: 59315.36 g NULL  389.154 339.924 21.025 0.948 0x00
OBS: 59316.46 g NULL  -116.213 159.737 nan -1.492 0x00
OBS: 59317.37 g NULL  -8.106 66.825 nan -8.951 0x00
OBS: 59319.35 g NULL  -10.462 50.186 nan -5.208 0x00
OBS: 59319.37 g NULL  48.380 52.442 23.288 1.177 0x00
OBS: 59321.45 g NULL  17.735 49.143 24.378 3.009 0x00
OBS: 59322.49 g NULL  -47.295 58.073 nan -1.333 0x00
OBS: 59342.27 g NULL  967.811 93.997 20.036 0.105 0x01
OBS: 59343.27 g NULL  811.379 57.951 20.227 0.078 0x00
OBS: 59345.27 g NULL  949.132 66.224 20.057 0.076 0x00
OBS: 59347.37 g NULL  1062.970 69.224 19.934 0.071 0x00
OBS: 59350.26 g NULL  929.079 130.462 20.080 0.152 0x00
OBS: 59367.32 g NULL  253.785 64.998 21.489 0.278 0x00
OBS: 59371.33 g NULL  -55.457 87.789 nan -1.719 0x01
OBS: 59371.34 g NULL  135.923 63.697 22.167 0.509 0x00
OBS: 59373.33 g NULL  161.874 53.601 21.977 0.360 0x00
OBS: 59375.37 g NULL  170.531 58.466 21.920 0.372 0x00
OBS: 59377.30 g NULL  154.244 59.495 22.029 0.419 0x00
OBS: 59380.28 g NULL  64.154 94.510 22.982 1.599 0x00
OBS: 59380.34 g NULL  159.423 102.665 21.994 0.699 0x00
OBS: 59396.27 g NULL  120.378 59.404 22.299 0.536 0x00
OBS: 59397.30 g NULL  181.287 59.643 21.854 0.357 0x00
OBS: 59398.29 g NULL  -45.578 131.318 nan -3.128 0x00
OBS: 59399.28 g NULL  120.957 93.939 22.293 0.843 0x00
OBS: 59406.28 g NULL  226.211 71.530 21.614 0.343 0x00
OBS: 59406.29 g NULL  90.185 64.181 22.612 0.773 0x00
OBS: 59208.65 r NULL  18.074 50.329 24.357 3.023 0x00
OBS: 59209.63 r NULL  0.572 60.054 28.107 113.991 0x00
OBS: 59209.64 r NULL  102.614 107.683 22.472 1.139 0x01
OBS: 59213.66 r NULL  143.380 102.573 22.109 0.777 0x00
OBS: 59214.63 r NULL  13.361 124.738 24.685 10.136 0x00
OBS: 59214.64 r NULL  69.521 143.075 22.895 2.234 0x00
OBS: 59216.65 r NULL  164.268 187.853 21.961 1.242 0x01
OBS: 59217.63 r NULL  -0.058 81.384 nan -1523.475 0x00
OBS: 59225.61 r NULL  -351.126 96.848 nan -0.299 0x01
OBS: 59228.63 r NULL  -33.460 66.147 nan -2.146 0x00
OBS: 59229.65 r NULL  92.591 51.414 22.584 0.603 0x00
OBS: 59238.58 r NULL  -89.567 93.680 nan -1.136 0x00
OBS: 59242.57 r NULL  -274.041 219.391 nan -0.869 0x00
OBS: 59243.56 r NULL  -68.173 144.080 nan -2.295 0x00
OBS: 59244.57 r NULL  -115.536 202.283 nan -1.901 0x00
OBS: 59255.52 r NULL  95.965 58.058 22.545 0.657 0x00
OBS: 59258.54 r NULL  15.020 68.157 24.558 4.927 0x00
OBS: 59268.46 r NULL  166.052 65.455 21.949 0.428 0x00
OBS: 59268.47 r NULL  97.148 80.847 22.531 0.904 0x00
OBS: 59270.46 r NULL  -167.321 172.288 nan -1.118 0x00
OBS: 59270.47 r NULL  -104.198 189.792 nan -1.978 0x00
OBS: 59277.47 r NULL  179.883 103.094 21.863 0.622 0x00
OBS: 59297.50 r NULL  274.188 119.659 21.405 0.474 0x00
OBS: 59298.45 r NULL  115.128 105.662 22.347 0.996 0x00
OBS: 59298.52 r NULL  34.832 167.148 23.645 5.210 0x00
OBS: 59305.32 r NULL  106.238 54.768 22.434 0.560 0x00
OBS: 59306.40 r NULL  16.308 68.966 24.469 4.592 0x00
OBS: 59312.50 r NULL  141.484 75.241 22.123 0.577 0x00
OBS: 59314.31 r NULL  47.326 48.218 23.312 1.106 0x00
OBS: 59317.38 r NULL  98.514 76.785 22.516 0.846 0x00
OBS: 59319.34 r NULL  13.522 48.934 24.672 3.929 0x00
OBS: 59321.46 r NULL  76.166 46.787 22.796 0.667 0x00
OBS: 59332.44 r NULL  471.886 108.482 20.815 0.250 0x00
OBS: 59334.43 r NULL  575.913 89.925 20.599 0.170 0x00
OBS: 59334.44 r NULL  400.721 84.167 20.993 0.228 0x00
OBS: 59336.43 r NULL  657.578 80.548 20.455 0.133 0x01
OBS: 59336.44 r NULL  608.871 73.063 20.539 0.130 0x00
OBS: 59343.27 r NULL  1034.346 57.580 19.963 0.060 0x00
OBS: 59347.37 r NULL  961.239 66.181 20.043 0.075 0x00
OBS: 59350.26 r NULL  1167.338 91.699 19.832 0.085 0x00
OBS: 59359.35 r NULL  620.678 105.359 20.518 0.184 0x00
OBS: 59362.36 r NULL  670.479 95.330 20.434 0.154 0x00
OBS: 59364.37 r NULL  575.679 51.993 20.600 0.098 0x00
OBS: 59371.34 r NULL  512.196 77.399 20.726 0.164 0x00
OBS: 59375.37 r NULL  406.151 70.894 20.978 0.190 0x00
OBS: 59380.34 r NULL  474.312 123.727 20.810 0.283 0x00
OBS: 59387.27 r NULL  318.812 103.049 21.241 0.351 0x00
OBS: 59387.29 r NULL  244.535 160.473 21.529 0.713 0x00
OBS: 59389.29 r NULL  141.406 107.868 22.124 0.828 0x00
OBS: 59389.30 r NULL  324.941 174.031 21.220 0.581 0x00
OBS: 59391.29 r NULL  55.843 69.257 23.133 1.347 0x00
OBS: 59391.30 r NULL  243.586 77.503 21.533 0.345 0x00
OBS: 59393.27 r NULL  148.937 49.077 22.067 0.358 0x00
OBS: 59394.27 r NULL  291.263 50.996 21.339 0.190 0x00
OBS: 59395.30 r NULL  170.602 54.924 21.920 0.350 0x00
OBS: 59406.28 r NULL  198.286 62.949 21.757 0.345 0x00
OBS: 59406.29 r NULL  278.875 53.188 21.386 0.207 0x00
OBS: 59414.28 r NULL  387.201 117.865 21.030 0.331 0x01
OBS: 59420.27 r NULL  261.776 91.569 21.455 0.380 0x00
OBS: 59209.62 i NULL  148.340 91.836 22.072 0.672 0x00
OBS: 59209.64 i NULL  -12.261 93.548 nan -8.284 0x00
OBS: 59217.63 i NULL  -42.047 82.921 nan -2.141 0x00
OBS: 59224.62 i NULL  41.823 128.413 23.446 3.334 0x00
OBS: 59225.60 i NULL  -51.544 84.738 nan -1.785 0x01
OBS: 59229.58 i NULL  -21.842 73.951 nan -3.676 0x00
OBS: 59231.62 i NULL  38.024 56.523 23.550 1.614 0x00
OBS: 59242.57 i NULL  -177.678 162.926 nan -0.996 0x00
OBS: 59243.55 i NULL  -97.262 133.786 nan -1.493 0x00
OBS: 59252.53 i NULL  -152.158 63.228 nan -0.451 0x00
OBS: 59255.53 i NULL  -235.289 78.107 nan -0.360 0x00
OBS: 59257.51 i NULL  21.037 51.916 24.193 2.679 0x00
OBS: 59262.62 i NULL  -92.756 82.899 nan -0.970 0x00
OBS: 59268.47 i NULL  40.104 75.071 23.492 2.032 0x00
OBS: 59270.47 i NULL  -289.470 176.875 nan -0.663 0x00
OBS: 59277.46 i NULL  -13.920 99.861 nan -7.789 0x00
OBS: 59278.48 i NULL  -20.518 195.115 nan -10.325 0x00
OBS: 59291.42 i NULL  17.208 86.773 24.411 5.475 0x00
OBS: 59291.42 i NULL  64.775 65.564 22.971 1.099 0x00
OBS: 59296.45 i NULL  -38.064 71.168 nan -2.030 0x00
OBS: 59298.53 i NULL  -150.354 207.834 nan -1.501 0x00
OBS: 59306.40 i NULL  60.696 81.292 23.042 1.454 0x00
OBS: 59307.35 i NULL  -100.514 85.416 nan -0.923 0x00
OBS: 59310.36 i NULL  -10.607 92.947 nan -9.514 0x01
OBS: 59313.47 i NULL  -21.086 57.394 nan -2.955 0x00
OBS: 59315.36 i NULL  300.396 119.559 21.306 0.432 0x00
OBS: 59316.45 i NULL  -43.040 126.422 nan -3.189 0x00
OBS: 59319.37 i NULL  -70.565 53.591 nan -0.825 0x00
OBS: 59322.49 i NULL  56.435 62.299 23.121 1.199 0x00
OBS: 59334.42 i NULL  83.838 96.317 22.691 1.247 0x00
OBS: 59336.43 i NULL  314.997 114.882 21.254 0.396 0x00
OBS: 59342.27 i NULL  722.351 90.881 20.353 0.137 0x00
OBS: 59345.27 i NULL  720.036 85.558 20.357 0.129 0x00
OBS: 59362.35 i NULL  355.748 78.808 21.122 0.241 0x00
OBS: 59371.33 i NULL  330.605 85.409 21.202 0.280 0x01
OBS: 59373.33 i NULL  321.717 62.504 21.231 0.211 0x00
OBS: 59377.30 i NULL  156.387 61.764 22.014 0.429 0x00
OBS: 59380.28 i NULL  -46.481 120.777 nan -2.821 0x00
OBS: 59387.28 i NULL  324.342 143.533 21.222 0.480 0x00
OBS: 59387.29 i NULL  -13.694 203.584 nan -16.141 0x00
OBS: 59391.29 i NULL  112.668 65.944 22.370 0.635 0x00
OBS: 59391.30 i NULL  195.977 76.680 21.769 0.425 0x00
OBS: 59394.28 i NULL  103.987 58.067 22.458 0.606 0x00
OBS: 59395.30 i NULL  -1.102 66.673 nan -65.689 0x00
OBS: 59398.29 i NULL  144.004 199.836 22.104 1.507 0x00
OBS: 59399.28 i NULL  185.529 89.485 21.829 0.524 0x00
OBS: 59208.65 z NULL  -22.836 92.154 nan -4.381 0x00
OBS: 59213.66 z NULL  -66.940 127.344 nan -2.065 0x00
OBS: 59214.63 z NULL  30.565 170.388 23.787 6.053 0x00
OBS: 59214.64 z NULL  -18.008 149.674 nan -9.024 0x01
OBS: 59216.64 z NULL  286.685 235.779 21.356 0.893 0x01
OBS: 59235.53 z NULL  -61.894 252.850 nan -4.435 0x00
OBS: 59238.58 z NULL  -212.544 166.285 nan -0.849 0x00
OBS: 59244.57 z NULL  242.693 185.157 21.537 0.828 0x00
OBS: 59268.46 z NULL  172.728 90.075 21.907 0.566 0x00
OBS: 59270.46 z NULL  203.965 196.779 21.726 1.047 0x00
OBS: 59293.42 z NULL  -588.469 96.737 nan -0.178 0x00
OBS: 59295.41 z NULL  59.301 152.669 23.067 2.795 0x00
OBS: 59297.50 z NULL  -169.460 193.119 nan -1.237 0x00
OBS: 59298.45 z NULL  349.584 160.927 21.141 0.500 0x00
OBS: 59305.32 z NULL  57.172 102.471 23.107 1.946 0x00
OBS: 59334.44 z NULL  422.577 130.783 20.935 0.336 0x00
OBS: 59336.44 z NULL  500.744 134.155 20.751 0.291 0x00
OBS: 59359.35 z NULL  433.557 147.721 20.907 0.370 0x00
OBS: 59364.37 z NULL  430.985 98.278 20.914 0.248 0x00
