SURVEY:  PS1MD
SNID:  2021lqx
otherID: 
IAUC:    UNKNOWN
RA:        242.1238710  deg
DECL:       20.2908110  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lqx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0235
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.810 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  -34.128 67.674 nan -2.153 0x00
OBS: 58873.64 g NULL  25.292 57.340 23.993 2.461 0x00
OBS: 58875.63 g NULL  -54.172 47.483 nan -0.952 0x00
OBS: 58878.66 g NULL  -68.999 232.355 nan -3.656 0x00
OBS: 58882.66 g NULL  -88.743 60.656 nan -0.742 0x00
OBS: 58931.51 g NULL  22.517 76.310 24.119 3.680 0x00
OBS: 58933.52 g NULL  -45.424 82.623 nan -1.975 0x00
OBS: 58955.47 g NULL  -27.649 37.258 nan -1.463 0x00
OBS: 58959.59 g NULL  -50.876 46.035 nan -0.982 0x00
OBS: 58961.57 g NULL  -126.154 55.455 nan -0.477 0x00
OBS: 58966.57 g NULL  -125.336 61.008 nan -0.528 0x00
OBS: 58971.40 g NULL  -49.332 85.447 nan -1.881 0x00
OBS: 58982.51 g NULL  107.055 69.545 22.426 0.705 0x00
OBS: 58988.49 g NULL  -115.389 87.832 nan -0.826 0x01
OBS: 58990.38 g NULL  0.906 38.689 27.607 46.364 0x00
OBS: 58994.49 g NULL  -34.444 53.308 nan -1.680 0x00
OBS: 58998.36 g NULL  37.207 42.067 23.573 1.228 0x00
OBS: 59000.50 g NULL  -75.261 51.243 nan -0.739 0x00
OBS: 59015.30 g NULL  -45.095 42.523 nan -1.024 0x00
OBS: 59019.47 g NULL  18.117 110.903 24.355 6.646 0x00
OBS: 59027.28 g NULL  -4.209 56.764 nan -14.643 0x01
OBS: 59043.35 g NULL  116.970 63.149 22.330 0.586 0x00
OBS: 59047.36 g NULL  12.685 56.533 24.742 4.839 0x00
OBS: 59051.34 g NULL  -18.165 53.734 nan -3.212 0x00
OBS: 59255.62 g NULL  -10.048 76.951 nan -8.315 0x00
OBS: 59262.63 g NULL  90.201 44.826 22.612 0.540 0x00
OBS: 59292.51 g NULL  16.899 60.114 24.430 3.862 0x00
OBS: 59310.50 g NULL  234.127 46.607 21.576 0.216 0x00
OBS: 59311.47 g NULL  136.981 66.261 22.158 0.525 0x00
OBS: 59342.55 g NULL  9.806 86.989 25.021 9.632 0x01
OBS: 59345.56 g NULL  99.502 51.107 22.505 0.558 0x00
OBS: 59349.38 g NULL  89.551 121.829 22.620 1.477 0x00
OBS: 59353.52 g NULL  -19.041 63.550 nan -3.624 0x00
OBS: 59354.38 g NULL  62.681 69.256 23.007 1.200 0x00
OBS: 59355.38 g NULL  35.212 62.890 23.633 1.939 0x00
OBS: 59367.35 g NULL  -16.738 45.880 nan -2.976 0x00
OBS: 59371.51 g NULL  97.384 108.023 22.529 1.204 0x01
OBS: 59374.47 g NULL  -167.396 129.094 nan -0.837 0x01
OBS: 59378.45 g NULL  -3.673 71.901 nan -21.254 0x00
OBS: 59381.45 g NULL  -115.063 57.884 nan -0.546 0x00
OBS: 59384.41 g NULL  -87.318 93.719 nan -1.165 0x00
OBS: 59401.36 g NULL  -66.433 48.280 nan -0.789 0x00
OBS: 59408.40 g NULL  -25.356 39.603 nan -1.696 0x00
OBS: 58868.65 r NULL  -31.193 53.583 nan -1.865 0x00
OBS: 58873.64 r NULL  18.818 54.486 24.314 3.144 0x00
OBS: 58878.66 r NULL  -258.665 142.957 nan -0.600 0x00
OBS: 58931.52 r NULL  43.251 49.195 23.410 1.235 0x00
OBS: 58942.50 r NULL  93.317 155.587 22.575 1.810 0x00
OBS: 58947.61 r NULL  150.261 164.726 22.058 1.190 0x00
OBS: 58951.47 r NULL  -156.827 106.489 nan -0.737 0x00
OBS: 58961.58 r NULL  5.399 53.749 25.669 10.809 0x00
OBS: 58973.58 r NULL  -35.204 66.647 nan -2.055 0x00
OBS: 58974.43 r NULL  -56.541 110.067 nan -2.114 0x00
OBS: 58978.56 r NULL  42.382 135.429 23.432 3.469 0x00
OBS: 58990.38 r NULL  44.307 38.350 23.384 0.940 0x00
