SURVEY:  PS1MD
SNID:  2021lrs
otherID: 
IAUC:    UNKNOWN
RA:        314.4803920  deg
DECL:       -1.6069720  deg
MWEBV:    0.084 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lrs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.759 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 137
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59017.51 g NULL  1061.539 55.262 19.935 0.057 0x00
OBS: 59029.45 g NULL  942.237 68.111 20.065 0.078 0x00
OBS: 59050.49 g NULL  962.473 80.646 20.042 0.091 0x00
OBS: 59072.28 g NULL  1356.981 79.849 19.669 0.064 0x00
OBS: 59075.36 g NULL  1318.350 80.857 19.700 0.067 0x01
OBS: 59104.30 g NULL  1345.577 57.478 19.678 0.046 0x01
OBS: 59108.25 g NULL  1319.446 80.701 19.699 0.066 0x00
OBS: 59114.31 g NULL  1430.305 78.363 19.611 0.059 0x00
OBS: 59163.25 g NULL  765.797 116.265 20.290 0.165 0x00
OBS: 59167.21 g NULL  844.876 116.964 20.183 0.150 0x00
OBS: 59319.62 g NULL  1573.030 92.735 19.508 0.064 0x00
OBS: 59323.60 g NULL  1487.826 70.897 19.569 0.052 0x00
OBS: 59342.60 g NULL  1717.649 72.353 19.413 0.046 0x00
OBS: 59345.60 g NULL  2014.440 64.060 19.240 0.035 0x00
OBS: 59351.59 g NULL  1770.558 91.299 19.380 0.056 0x00
OBS: 59370.57 g NULL  1288.891 98.197 19.724 0.083 0x01
OBS: 59373.59 g NULL  1147.174 78.856 19.851 0.075 0x01
