SURVEY:  PS1MD
SNID:  2021lsk
otherID: 
IAUC:    UNKNOWN
RA:        224.5867420  deg
DECL:       41.3505440  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lsk.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0010
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.562 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 159
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.66 g NULL  -32.107 89.784 nan -3.036 0x00
OBS: 58868.66 g NULL  -265.893 65.207 nan -0.266 0x00
OBS: 58873.62 g NULL  79.342 69.567 22.751 0.952 0x00
OBS: 58877.64 g NULL  -193.900 104.689 nan -0.586 0x00
OBS: 58929.54 g NULL  218.213 78.736 21.653 0.392 0x00
OBS: 58933.51 g NULL  -333.950 151.932 nan -0.494 0x00
OBS: 58956.47 g NULL  439.370 66.549 20.893 0.164 0x00
OBS: 58965.49 g NULL  180.046 126.465 21.862 0.763 0x00
OBS: 58969.38 g NULL  222.175 122.104 21.633 0.597 0x00
OBS: 58971.41 g NULL  163.551 79.007 21.966 0.524 0x00
OBS: 58972.43 g NULL  -23.825 108.486 nan -4.944 0x00
OBS: 58982.46 g NULL  -32.146 109.344 nan -3.693 0x00
OBS: 58984.29 g NULL  -191.311 47.882 nan -0.272 0x00
OBS: 58992.29 g NULL  -68.101 59.901 nan -0.955 0x00
OBS: 58997.32 g NULL  -37.022 75.999 nan -2.229 0x00
OBS: 58999.37 g NULL  233.515 59.716 21.579 0.278 0x00
OBS: 59021.29 g NULL  -160.491 52.031 nan -0.352 0x00
OBS: 59022.29 g NULL  -215.295 76.663 nan -0.387 0x00
OBS: 59026.29 g NULL  -249.203 92.471 nan -0.403 0x00
OBS: 59042.30 g NULL  -19.479 67.595 nan -3.768 0x00
OBS: 59051.28 g NULL  -14.218 48.979 nan -3.740 0x00
OBS: 59053.27 g NULL  -321.699 70.152 nan -0.237 0x00
OBS: 59058.30 g NULL  63.374 178.231 22.995 3.053 0x00
OBS: 59074.28 g NULL  204.365 74.573 21.724 0.396 0x00
OBS: 59078.26 g NULL  329.515 78.360 21.205 0.258 0x00
OBS: 59081.26 g NULL  -75.778 68.242 nan -0.978 0x00
OBS: 59226.63 g NULL  -240.329 80.901 nan -0.365 0x00
OBS: 59230.66 g NULL  103.455 69.907 22.463 0.734 0x00
OBS: 59236.66 g NULL  -4.528 86.521 nan -20.746 0x00
OBS: 59257.57 g NULL  324.638 57.771 21.222 0.193 0x00
OBS: 59261.63 g NULL  -58.264 79.987 nan -1.491 0x01
OBS: 59296.53 g NULL  57.458 175.809 23.102 3.322 0x00
OBS: 59313.53 g NULL  455.041 74.619 20.855 0.178 0x00
OBS: 59317.49 g NULL  545.984 75.141 20.657 0.149 0x00
OBS: 59321.46 g NULL  560.015 56.354 20.630 0.109 0x00
OBS: 59344.33 g NULL  631.297 74.471 20.499 0.128 0x00
OBS: 59349.46 g NULL  54.711 72.630 23.155 1.441 0x00
OBS: 59351.37 g NULL  548.184 156.607 20.653 0.310 0x00
OBS: 59367.35 g NULL  188.983 58.784 21.809 0.338 0x00
OBS: 59372.34 g NULL  48.398 57.573 23.288 1.292 0x00
OBS: 59376.39 g NULL  101.744 58.721 22.481 0.627 0x00
OBS: 59380.35 g NULL  -1.031 157.113 nan -165.454 0x00
OBS: 59382.27 g NULL  363.250 70.440 21.099 0.211 0x00
OBS: 59383.27 g NULL  796.249 67.428 20.247 0.092 0x00
OBS: 59384.27 g NULL  605.626 120.923 20.544 0.217 0x00
OBS: 59398.30 g NULL  -1.093 119.089 nan -118.298 0x00
OBS: 58868.66 r NULL  -91.780 86.346 nan -1.021 0x00
OBS: 58873.62 r NULL  28.076 78.387 23.879 3.031 0x00
OBS: 58883.65 r NULL  -265.814 83.913 nan -0.343 0x00
OBS: 58929.54 r NULL  324.469 98.548 21.222 0.330 0x00
OBS: 58933.52 r NULL  -134.519 161.706 nan -1.305 0x00
OBS: 58956.48 r NULL  839.113 90.196 20.190 0.117 0x00
OBS: 58965.49 r NULL  -145.771 99.659 nan -0.742 0x00
OBS: 58974.42 r NULL  771.751 153.407 20.281 0.216 0x00
OBS: 58975.43 r NULL  396.249 99.333 21.005 0.272 0x00
OBS: 59005.33 r NULL  651.726 164.661 20.465 0.274 0x00
OBS: 59022.29 r NULL  31.453 113.355 23.756 3.913 0x00
OBS: 59030.29 r NULL  184.554 74.542 21.835 0.439 0x00
OBS: 59033.28 r NULL  120.127 115.987 22.301 1.048 0x00
OBS: 59037.27 r NULL  532.768 67.116 20.684 0.137 0x01
OBS: 59040.27 r NULL  -420.258 82.302 nan -0.213 0x00
OBS: 59053.28 r NULL  220.319 90.294 21.642 0.445 0x00
OBS: 59064.29 r NULL  212.039 127.588 21.684 0.653 0x00
OBS: 59066.27 r NULL  -40.145 111.420 nan -3.013 0x00
OBS: 59070.29 r NULL  -280.058 116.980 nan -0.454 0x00
OBS: 59081.25 r NULL  276.806 96.438 21.395 0.378 0x00
OBS: 59093.25 r NULL  -135.808 114.994 nan -0.919 0x00
OBS: 59095.25 r NULL  -40.143 97.221 nan -2.630 0x00
OBS: 59097.24 r NULL  308.767 80.446 21.276 0.283 0x00
OBS: 59100.24 r NULL  319.016 84.548 21.240 0.288 0x00
OBS: 59217.64 r NULL  50.189 95.018 23.248 2.056 0x00
OBS: 59226.64 r NULL  -75.690 93.603 nan -1.343 0x00
OBS: 59238.58 r NULL  26.112 135.204 23.958 5.622 0x00
OBS: 59242.64 r NULL  -56.115 260.548 nan -5.041 0x00
OBS: 59244.62 r NULL  234.075 218.258 21.577 1.012 0x00
OBS: 59246.64 r NULL  -214.908 139.386 nan -0.704 0x00
OBS: 59261.63 r NULL  269.361 71.483 21.424 0.288 0x01
OBS: 59298.51 r NULL  725.365 132.344 20.349 0.198 0x01
OBS: 59300.50 r NULL  955.044 341.500 20.050 0.388 0x00
OBS: 59303.53 r NULL  237.660 154.384 21.560 0.705 0x00
OBS: 59304.51 r NULL  336.156 119.399 21.184 0.386 0x00
OBS: 59313.53 r NULL  831.615 85.170 20.200 0.111 0x00
OBS: 59321.46 r NULL  176.385 65.282 21.884 0.402 0x00
OBS: 59326.39 r NULL  813.750 131.214 20.224 0.175 0x00
OBS: 59328.47 r NULL  605.353 209.157 20.545 0.375 0x00
OBS: 59331.40 r NULL  1126.198 177.373 19.871 0.171 0x00
OBS: 59333.44 r NULL  731.350 93.288 20.340 0.138 0x00
OBS: 59336.45 r NULL  499.175 77.114 20.754 0.168 0x00
OBS: 59357.37 r NULL  1311.172 140.276 19.706 0.116 0x00
OBS: 59359.41 r NULL  578.992 105.840 20.593 0.198 0x00
OBS: 59361.46 r NULL  311.488 96.883 21.266 0.338 0x00
OBS: 59364.40 r NULL  529.790 62.209 20.690 0.127 0x00
OBS: 59372.34 r NULL  229.797 72.059 21.597 0.340 0x00
OBS: 59380.35 r NULL  417.563 128.731 20.948 0.335 0x00
OBS: 59386.33 r NULL  52.233 150.621 23.205 3.131 0x00
OBS: 59388.31 r NULL  -188.872 80.803 nan -0.464 0x00
OBS: 59391.30 r NULL  263.248 84.978 21.449 0.350 0x00
OBS: 58877.64 i NULL  -283.327 100.314 nan -0.384 0x00
OBS: 58958.52 i NULL  465.662 96.119 20.830 0.224 0x00
OBS: 58971.42 i NULL  203.669 109.515 21.728 0.584 0x00
OBS: 58975.43 i NULL  138.561 106.327 22.146 0.833 0x00
OBS: 58982.46 i NULL  204.895 87.071 21.721 0.461 0x00
OBS: 58992.29 i NULL  119.321 64.113 22.308 0.583 0x00
OBS: 58997.33 i NULL  301.348 94.071 21.302 0.339 0x00
OBS: 58999.37 i NULL  -3.693 91.743 nan -26.972 0x00
OBS: 59005.33 i NULL  469.863 203.810 20.820 0.471 0x00
OBS: 59021.29 i NULL  41.143 82.002 23.464 2.164 0x00
OBS: 59026.29 i NULL  223.841 105.844 21.625 0.513 0x00
OBS: 59030.29 i NULL  84.611 94.406 22.681 1.211 0x00
OBS: 59037.27 i NULL  287.331 84.050 21.354 0.318 0x00
OBS: 59042.29 i NULL  67.395 87.488 22.928 1.409 0x00
OBS: 59051.28 i NULL  104.977 71.987 22.447 0.745 0x00
OBS: 59058.29 i NULL  315.800 152.455 21.251 0.524 0x00
OBS: 59066.27 i NULL  -137.395 102.399 nan -0.809 0x00
OBS: 59070.28 i NULL  -279.430 135.815 nan -0.528 0x00
OBS: 59074.27 i NULL  195.027 89.961 21.775 0.501 0x00
OBS: 59078.26 i NULL  269.942 105.806 21.422 0.426 0x00
OBS: 59095.25 i NULL  37.534 88.891 23.564 2.571 0x00
OBS: 59217.64 i NULL  230.582 205.934 21.593 0.970 0x00
OBS: 59230.66 i NULL  396.065 92.666 21.006 0.254 0x00
OBS: 59236.66 i NULL  40.156 103.805 23.491 2.807 0x00
OBS: 59242.64 i NULL  541.564 163.963 20.666 0.329 0x00
OBS: 59257.57 i NULL  361.059 71.478 21.106 0.215 0x00
OBS: 59296.52 i NULL  335.501 207.579 21.186 0.672 0x00
OBS: 59300.50 i NULL  487.964 298.897 20.779 0.665 0x00
OBS: 59303.53 i NULL  654.623 156.106 20.460 0.259 0x00
OBS: 59317.49 i NULL  325.198 110.833 21.220 0.370 0x00
OBS: 59326.40 i NULL  660.361 136.881 20.451 0.225 0x00
OBS: 59331.40 i NULL  1184.475 176.386 19.816 0.162 0x00
OBS: 59336.45 i NULL  520.462 116.167 20.709 0.242 0x00
OBS: 59344.33 i NULL  1031.876 95.173 19.966 0.100 0x00
OBS: 59349.45 i NULL  400.287 175.600 20.994 0.476 0x01
OBS: 59351.37 i NULL  325.704 139.751 21.218 0.466 0x00
OBS: 59357.36 i NULL  556.509 123.220 20.636 0.240 0x00
OBS: 59361.46 i NULL  421.345 112.686 20.938 0.290 0x01
OBS: 59367.35 i NULL  508.433 95.471 20.734 0.204 0x00
OBS: 59376.39 i NULL  429.401 76.813 20.918 0.194 0x00
