SURVEY:  PS1MD
SNID:  2021lzd
otherID: 
IAUC:    UNKNOWN
RA:        227.2222210  deg
DECL:       -12.5319280  deg
MWEBV:    0.087 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lzd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0099
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.005 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 126
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -33.905 58.463 nan -1.872 0x00
OBS: 58956.46 g NULL  31.473 70.155 23.755 2.420 0x00
OBS: 58959.47 g NULL  83.154 55.713 22.700 0.727 0x00
OBS: 58964.49 g NULL  -40.799 82.488 nan -2.195 0x00
OBS: 58967.47 g NULL  48.877 44.721 23.277 0.993 0x00
OBS: 58971.39 g NULL  -90.787 80.639 nan -0.964 0x00
OBS: 58972.45 g NULL  -137.872 82.952 nan -0.653 0x00
OBS: 58983.47 g NULL  32.412 72.247 23.723 2.420 0x00
OBS: 58985.40 g NULL  45.949 46.892 23.344 1.108 0x00
OBS: 58988.48 g NULL  -59.891 69.861 nan -1.266 0x01
OBS: 58994.38 g NULL  97.047 60.808 22.533 0.680 0x00
OBS: 58997.34 g NULL  -3.537 53.981 nan -16.570 0x00
OBS: 59015.29 g NULL  -99.041 63.414 nan -0.695 0x00
OBS: 59019.28 g NULL  100.291 252.478 22.497 2.733 0x00
OBS: 59023.28 g NULL  31.803 30.789 23.744 1.051 0x00
OBS: 59027.30 g NULL  41.144 83.059 23.464 2.192 0x00
OBS: 59043.28 g NULL  51.685 47.061 23.217 0.989 0x00
OBS: 59047.30 g NULL  -73.516 48.025 nan -0.709 0x01
OBS: 59051.29 g NULL  10.267 44.523 24.971 4.708 0x00
OBS: 59054.27 g NULL  -39.107 61.811 nan -1.716 0x00
OBS: 59076.28 g NULL  -153.774 526.114 nan -3.715 0x00
OBS: 59288.54 g NULL  47.950 54.584 23.298 1.236 0x00
OBS: 59310.47 g NULL  121.389 56.793 22.290 0.508 0x00
OBS: 59311.47 g NULL  11.356 59.617 24.862 5.700 0x00
OBS: 59320.48 g NULL  151.127 41.458 22.052 0.298 0x00
OBS: 59323.44 g NULL  179.020 76.176 21.868 0.462 0x00
OBS: 59344.45 g NULL  503.508 54.567 20.745 0.118 0x01
OBS: 59352.43 g NULL  217.204 81.312 21.658 0.406 0x00
OBS: 59372.34 g NULL  52.365 51.135 23.202 1.060 0x00
OBS: 59375.36 g NULL  120.094 72.064 22.301 0.652 0x00
OBS: 59378.38 g NULL  -38.439 76.705 nan -2.167 0x01
OBS: 59381.33 g NULL  -49.452 80.514 nan -1.768 0x00
OBS: 59382.28 g NULL  92.893 55.111 22.580 0.644 0x00
OBS: 59396.31 g NULL  76.118 47.301 22.796 0.675 0x00
OBS: 59402.30 g NULL  64.001 53.648 22.985 0.910 0x00
OBS: 59404.29 g NULL  52.625 53.062 23.197 1.095 0x00
OBS: 59405.30 g NULL  35.539 61.302 23.623 1.873 0x00
OBS: 59408.27 g NULL  29.359 47.380 23.831 1.752 0x01
OBS: 59425.27 g NULL  39.158 59.727 23.518 1.656 0x00
OBS: 59426.27 g NULL  -7.583 50.782 nan -7.271 0x00
OBS: 59430.27 g NULL  112.269 63.933 22.374 0.618 0x00
OBS: 59435.26 g NULL  -22.190 42.774 nan -2.093 0x00
OBS: 59455.25 g NULL  -45.824 94.119 nan -2.230 0x00
OBS: 58929.60 r NULL  -110.940 59.976 nan -0.587 0x00
OBS: 58951.46 r NULL  40.460 210.948 23.482 5.661 0x00
OBS: 58956.46 r NULL  20.649 53.989 24.213 2.839 0x00
OBS: 58967.47 r NULL  -134.460 66.197 nan -0.535 0x00
OBS: 58979.34 r NULL  80.473 102.996 22.736 1.390 0x00
OBS: 58997.34 r NULL  22.221 41.900 24.133 2.047 0x00
OBS: 59007.28 r NULL  36.556 91.436 23.593 2.716 0x00
OBS: 59023.29 r NULL  -39.023 31.602 nan -0.879 0x00
OBS: 59038.32 r NULL  21.783 54.746 24.155 2.729 0x00
OBS: 59047.30 r NULL  -3.429 49.246 nan -15.593 0x01
OBS: 59054.27 r NULL  30.113 54.214 23.803 1.955 0x00
OBS: 59061.29 r NULL  -163.136 111.918 nan -0.745 0x00
OBS: 59065.28 r NULL  83.547 57.747 22.695 0.750 0x00
OBS: 59068.27 r NULL  -21.979 51.074 nan -2.523 0x00
OBS: 59070.27 r NULL  -90.413 55.545 nan -0.667 0x00
OBS: 59270.59 r NULL  -41.514 148.556 nan -3.885 0x00
OBS: 59297.51 r NULL  -71.943 134.518 nan -2.030 0x00
