SURVEY:  PS1MD
SNID:  2021lze
otherID: 
IAUC:    UNKNOWN
RA:        186.9399290  deg
DECL:       2.8355720  deg
MWEBV:    0.016 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59388.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lze.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.852 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 85
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59195.59 g NULL  25.451 77.732 23.986 3.316 0x00
OBS: 59204.66 g NULL  82.318 82.345 22.711 1.086 0x01
OBS: 59222.59 g NULL  -27.541 59.913 nan -2.362 0x00
OBS: 59228.63 g NULL  47.936 55.058 23.298 1.247 0x00
OBS: 59231.61 g NULL  58.274 56.704 23.086 1.056 0x00
OBS: 59262.57 g NULL  35.780 35.659 23.616 1.082 0x00
OBS: 59292.40 g NULL  26.917 55.483 23.925 2.238 0x00
OBS: 59295.42 g NULL  -96.920 103.009 nan -1.154 0x00
OBS: 59311.35 g NULL  -38.727 45.471 nan -1.275 0x00
OBS: 59316.43 g NULL  -33.602 72.719 nan -2.350 0x00
OBS: 59319.36 g NULL  -10.239 46.084 nan -4.887 0x00
OBS: 59323.36 g NULL  81.412 65.022 22.723 0.867 0x00
OBS: 59338.28 g NULL  323.794 126.900 21.224 0.426 0x00
OBS: 59344.26 g NULL  531.043 46.429 20.687 0.095 0x00
OBS: 59349.31 g NULL  503.883 52.410 20.744 0.113 0x00
OBS: 59351.26 g NULL  547.850 115.936 20.653 0.230 0x00
OBS: 59353.37 g NULL  404.358 82.849 20.983 0.222 0x00
OBS: 59367.33 g NULL  154.019 50.410 22.031 0.355 0x00
OBS: 59371.33 g NULL  -8.242 78.589 nan -10.353 0x00
OBS: 59374.32 g NULL  156.350 75.075 22.015 0.521 0x01
OBS: 59377.29 g NULL  115.185 47.158 22.347 0.445 0x00
OBS: 59379.34 g NULL  25.677 54.382 23.976 2.300 0x00
OBS: 59396.31 g NULL  91.653 47.045 22.595 0.557 0x00
OBS: 59399.30 g NULL  55.381 101.980 23.142 1.999 0x00
OBS: 59400.29 g NULL  181.925 78.404 21.850 0.468 0x00
OBS: 59401.29 g NULL  -36.820 70.856 nan -2.089 0x00
OBS: 59404.28 g NULL  113.680 61.104 22.361 0.584 0x00
OBS: 59207.65 r NULL  -8.645 47.923 nan -6.019 0x00
OBS: 59211.66 r NULL  6.398 82.118 25.485 13.935 0x00
OBS: 59214.64 r NULL  -21.184 180.969 nan -9.275 0x00
OBS: 59216.65 r NULL  284.442 159.742 21.365 0.610 0x01
OBS: 59222.59 r NULL  65.858 57.125 22.953 0.942 0x00
OBS: 59231.60 r NULL  38.096 56.280 23.548 1.604 0x00
OBS: 59238.57 r NULL  -69.880 132.573 nan -2.060 0x01
OBS: 59243.57 r NULL  -138.756 132.043 nan -1.033 0x00
OBS: 59262.57 r NULL  -10.825 42.412 nan -4.254 0x00
OBS: 59267.57 r NULL  3.323 56.157 26.196 18.348 0x00
OBS: 59269.53 r NULL  -2.498 118.608 nan -51.552 0x00
OBS: 59292.40 r NULL  -124.655 64.757 nan -0.564 0x00
OBS: 59298.45 r NULL  146.136 113.560 22.088 0.844 0x00
OBS: 59305.48 r NULL  210.434 156.297 21.692 0.806 0x00
OBS: 59316.44 r NULL  -0.522 68.898 nan -143.305 0x00
OBS: 59332.30 r NULL  122.950 91.157 22.276 0.805 0x00
OBS: 59333.31 r NULL  141.228 76.341 22.125 0.587 0x01
OBS: 59335.41 r NULL  485.918 85.983 20.784 0.192 0x01
OBS: 59346.29 r NULL  623.470 55.104 20.513 0.096 0x00
OBS: 59349.31 r NULL  626.685 58.966 20.507 0.102 0x00
OBS: 59351.26 r NULL  599.441 96.769 20.556 0.175 0x00
OBS: 59360.33 r NULL  554.272 142.228 20.641 0.279 0x00
OBS: 59363.33 r NULL  398.736 62.419 20.998 0.170 0x01
OBS: 59365.34 r NULL  397.487 43.574 21.002 0.119 0x00
OBS: 59371.32 r NULL  604.172 154.757 20.547 0.278 0x00
OBS: 59377.29 r NULL  259.317 39.396 21.465 0.165 0x00
OBS: 59387.28 r NULL  505.816 204.153 20.740 0.438 0x00
OBS: 59388.29 r NULL  167.503 91.928 21.940 0.596 0x00
OBS: 59389.29 r NULL  180.140 143.402 21.861 0.864 0x01
OBS: 59391.28 r NULL  94.599 57.711 22.560 0.662 0x00
OBS: 59393.28 r NULL  158.382 50.737 22.001 0.348 0x00
OBS: 59394.29 r NULL  150.348 42.740 22.057 0.309 0x00
OBS: 59399.30 r NULL  179.265 94.153 21.866 0.570 0x00
OBS: 59401.29 r NULL  109.479 76.359 22.402 0.757 0x00
OBS: 59195.59 i NULL  94.251 75.842 22.564 0.874 0x00
OBS: 59214.64 i NULL  -217.365 139.032 nan -0.694 0x00
OBS: 59228.63 i NULL  -9.578 63.769 nan -7.229 0x00
OBS: 59267.57 i NULL  -174.736 81.204 nan -0.505 0x00
OBS: 59295.42 i NULL  -160.108 86.063 nan -0.584 0x00
OBS: 59298.44 i NULL  -82.180 97.628 nan -1.290 0x00
OBS: 59311.35 i NULL  23.779 44.441 24.060 2.029 0x00
OBS: 59319.35 i NULL  37.156 61.120 23.575 1.786 0x00
OBS: 59332.29 i NULL  366.220 102.171 21.091 0.303 0x00
OBS: 59335.40 i NULL  393.152 88.824 21.014 0.245 0x00
OBS: 59338.29 i NULL  289.238 92.279 21.347 0.346 0x00
OBS: 59344.26 i NULL  506.846 60.777 20.738 0.130 0x00
OBS: 59363.33 i NULL  489.174 52.296 20.776 0.116 0x00
