SURVEY:  PS1MD
SNID:  2021lzh
otherID: 
IAUC:    UNKNOWN
RA:        198.2082590  deg
DECL:       -0.4584910  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021lzh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0043
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.457 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 69
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58870.59 g NULL  31.679 71.671 23.748 2.456 0x00
OBS: 58874.59 g NULL  -68.916 58.597 nan -0.923 0x00
OBS: 58877.58 g NULL  -97.026 63.380 nan -0.709 0x00
OBS: 58882.60 g NULL  -47.606 61.856 nan -1.411 0x00
OBS: 58937.42 g NULL  5.242 100.122 25.701 20.738 0x00
OBS: 58941.42 g NULL  -30.213 113.488 nan -4.078 0x00
OBS: 58971.39 g NULL  -154.910 83.811 nan -0.587 0x00
OBS: 58982.28 g NULL  -36.872 73.664 nan -2.169 0x00
OBS: 58986.28 g NULL  57.337 47.542 23.104 0.900 0x00
OBS: 58988.27 g NULL  -180.565 72.909 nan -0.438 0x00
OBS: 58995.28 g NULL  -51.157 66.316 nan -1.407 0x00
OBS: 58998.27 g NULL  -42.730 57.340 nan -1.457 0x00
OBS: 59042.27 g NULL  -30.792 52.899 nan -1.865 0x01
OBS: 59047.28 g NULL  -97.816 73.818 nan -0.819 0x00
OBS: 59225.62 g NULL  -78.695 114.316 nan -1.577 0x00
OBS: 59231.61 g NULL  76.659 58.214 22.789 0.824 0x00
OBS: 59261.57 g NULL  -42.739 46.853 nan -1.190 0x00
OBS: 59296.46 g NULL  92.252 74.950 22.588 0.882 0x00
OBS: 59316.43 g NULL  129.645 70.708 22.218 0.592 0x00
OBS: 59319.36 g NULL  -78.158 53.963 nan -0.750 0x00
OBS: 59322.41 g NULL  -32.204 46.991 nan -1.584 0x00
OBS: 59338.29 g NULL  324.523 77.947 21.222 0.261 0x00
OBS: 59343.27 g NULL  459.247 38.340 20.845 0.091 0x00
OBS: 59345.28 g NULL  461.824 89.655 20.839 0.211 0x00
OBS: 59368.27 g NULL  83.125 39.263 22.701 0.513 0x00
OBS: 59373.28 g NULL  129.378 36.556 22.220 0.307 0x00
OBS: 58874.59 r NULL  80.585 65.140 22.734 0.878 0x01
OBS: 58937.42 r NULL  6.610 94.107 25.449 15.458 0x00
OBS: 58950.40 r NULL  -168.912 101.720 nan -0.654 0x00
OBS: 58986.27 r NULL  -43.630 38.979 nan -0.970 0x00
OBS: 59039.30 r NULL  117.818 74.773 22.322 0.689 0x00
OBS: 59062.27 r NULL  36.833 91.341 23.584 2.692 0x00
OBS: 59213.66 r NULL  37.339 117.943 23.570 3.430 0x00
OBS: 59216.64 r NULL  -6.012 210.635 nan -38.040 0x00
OBS: 59243.57 r NULL  -27.735 192.090 nan -7.520 0x00
OBS: 59261.57 r NULL  17.132 46.141 24.415 2.924 0x01
OBS: 59267.57 r NULL  -9.852 44.099 nan -4.860 0x00
OBS: 59269.52 r NULL  86.204 99.866 22.661 1.258 0x00
OBS: 59277.53 r NULL  105.236 69.341 22.445 0.715 0x00
OBS: 59288.48 r NULL  67.856 78.172 22.921 1.251 0x01
OBS: 59316.42 r NULL  -28.849 69.877 nan -2.630 0x00
OBS: 59322.41 r NULL  33.629 41.220 23.683 1.331 0x00
OBS: 59333.32 r NULL  289.544 86.469 21.346 0.324 0x00
OBS: 59345.27 r NULL  632.009 75.511 20.498 0.130 0x00
OBS: 58870.59 i NULL  -123.557 62.748 nan -0.551 0x00
OBS: 58877.58 i NULL  -28.796 51.692 nan -1.949 0x00
OBS: 58941.42 i NULL  -197.035 87.225 nan -0.481 0x00
OBS: 58950.39 i NULL  -39.359 133.244 nan -3.676 0x00
OBS: 58971.39 i NULL  0.267 67.589 28.934 274.846 0x00
OBS: 58982.29 i NULL  -133.307 92.778 nan -0.756 0x00
OBS: 58988.27 i NULL  -335.928 119.749 nan -0.387 0x00
OBS: 58995.28 i NULL  40.223 71.265 23.489 1.924 0x00
OBS: 59047.28 i NULL  -18.458 67.064 nan -3.945 0x00
OBS: 59062.27 i NULL  148.828 91.215 22.068 0.665 0x00
OBS: 59198.64 i NULL  45.783 878.744 23.348 20.839 0x00
OBS: 59213.65 i NULL  -19.053 85.313 nan -4.862 0x00
OBS: 59216.64 i NULL  237.384 196.592 21.561 0.899 0x00
OBS: 59225.62 i NULL  31.225 92.714 23.764 3.224 0x00
OBS: 59231.61 i NULL  20.694 59.287 24.210 3.111 0x00
OBS: 59243.56 i NULL  1.423 104.170 27.117 79.481 0x00
OBS: 59267.56 i NULL  7.429 59.066 25.323 8.632 0x00
OBS: 59277.53 i NULL  127.255 65.256 22.238 0.557 0x00
OBS: 59296.46 i NULL  129.013 75.748 22.223 0.637 0x00
OBS: 59319.36 i NULL  -39.967 52.172 nan -1.417 0x00
OBS: 59333.32 i NULL  428.545 126.487 20.920 0.320 0x00
OBS: 59338.29 i NULL  199.781 88.348 21.749 0.480 0x00
OBS: 59343.27 i NULL  510.459 63.050 20.730 0.134 0x00
OBS: 59373.28 i NULL  272.723 41.504 21.411 0.165 0x00
OBS: 58882.60 z NULL  -67.549 98.600 nan -1.585 0x00
OBS: 58998.26 z NULL  34.333 104.389 23.661 3.301 0x00
