SURVEY:  PS1MD
SNID:  2021mfz
otherID: 
IAUC:    UNKNOWN
RA:        331.9794300  deg
DECL:       6.6005320  deg
MWEBV:    0.087 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mfz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0077
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.805 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 134
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  -44.995 58.796 nan -1.419 0x00
OBS: 59019.59 g NULL  -245.119 230.148 nan -1.019 0x01
OBS: 59023.59 g NULL  1201.894 735.207 19.800 0.664 0x00
OBS: 59027.57 g NULL  -22.728 37.016 nan -1.768 0x00
OBS: 59029.46 g NULL  -3.612 41.172 nan -12.376 0x00
OBS: 59046.52 g NULL  -57.820 119.735 nan -2.248 0x00
OBS: 59049.49 g NULL  198.883 92.730 21.754 0.506 0x00
OBS: 59050.49 g NULL  17.564 62.140 24.388 3.841 0x00
OBS: 59053.48 g NULL  63.620 45.288 22.991 0.773 0x00
OBS: 59072.38 g NULL  34.771 51.276 23.647 1.601 0x00
OBS: 59076.47 g NULL  4.482 35.541 25.871 8.610 0x00
OBS: 59101.37 g NULL  -28.354 56.695 nan -2.171 0x00
OBS: 59103.38 g NULL  15.944 36.614 24.494 2.493 0x00
OBS: 59105.37 g NULL  -3.978 34.966 nan -9.543 0x01
OBS: 59109.34 g NULL  -107.108 182.202 nan -1.847 0x00
OBS: 59111.35 g NULL  586.694 545.540 20.579 1.010 0x00
OBS: 59113.41 g NULL  -400.780 429.010 nan -1.162 0x00
OBS: 59136.30 g NULL  -35.148 48.545 nan -1.500 0x00
OBS: 59170.21 g NULL  -99.026 61.944 nan -0.679 0x00
OBS: 59346.60 g NULL  486.157 62.760 20.783 0.140 0x00
OBS: 59353.58 g NULL  170.804 56.429 21.919 0.359 0x00
OBS: 59354.59 g NULL  237.324 51.254 21.562 0.234 0x00
OBS: 59355.59 g NULL  154.072 54.695 22.031 0.385 0x00
OBS: 59371.56 g NULL  84.294 66.677 22.686 0.859 0x00
OBS: 59374.58 g NULL  146.541 58.100 22.085 0.430 0x00
