SURVEY:  PS1MD
SNID:  2021mgd
otherID: 
IAUC:    UNKNOWN
RA:        194.6804010  deg
DECL:       3.6035500  deg
MWEBV:    0.019 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mgd.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.062 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 91
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58867.61 g NULL  132.524 72.072 22.194 0.590 0x00
OBS: 58871.64 g NULL  47.048 42.378 23.319 0.978 0x00
OBS: 58874.59 g NULL  83.621 70.095 22.694 0.910 0x00
OBS: 58877.59 g NULL  45.791 76.636 23.348 1.817 0x00
OBS: 58941.42 g NULL  125.451 95.848 22.254 0.830 0x00
OBS: 58956.44 g NULL  212.327 55.650 21.682 0.285 0x00
OBS: 58959.34 g NULL  134.220 45.210 22.180 0.366 0x00
OBS: 58970.31 g NULL  100.529 71.091 22.494 0.768 0x00
OBS: 58986.27 g NULL  0.974 44.900 27.529 50.051 0x00
OBS: 58990.27 g NULL  12.887 43.500 24.725 3.665 0x00
OBS: 58998.27 g NULL  15.299 49.706 24.538 3.528 0x00
OBS: 59015.28 g NULL  38.062 51.589 23.549 1.472 0x00
OBS: 59018.32 g NULL  98.161 92.796 22.520 1.026 0x00
OBS: 59022.28 g NULL  -62.216 52.431 nan -0.915 0x01
OBS: 59044.27 g NULL  47.095 70.694 23.318 1.630 0x00
OBS: 59048.28 g NULL  67.142 74.251 22.933 1.201 0x00
OBS: 59195.59 g NULL  17.055 81.644 24.420 5.198 0x01
OBS: 59204.66 g NULL  -108.548 94.476 nan -0.945 0x01
OBS: 59228.63 g NULL  -7.305 78.919 nan -11.730 0x09
OBS: 59252.54 g NULL  70.315 69.836 22.882 1.078 0x01
OBS: 59258.52 g NULL  -134.896 101.349 nan -0.816 0x00
OBS: 59262.57 g NULL  80.706 60.297 22.733 0.811 0x00
OBS: 59295.42 g NULL  -104.991 70.420 nan -0.728 0x00
OBS: 59319.36 g NULL  -152.977 62.145 nan -0.441 0x00
OBS: 59323.36 g NULL  52.081 50.436 23.208 1.051 0x01
OBS: 59344.26 g NULL  776.836 59.100 20.274 0.083 0x01
OBS: 59346.28 g NULL  1149.016 48.869 19.849 0.046 0x00
OBS: 59349.31 g NULL  1698.405 67.686 19.425 0.043 0x00
OBS: 59353.37 g NULL  2062.236 96.636 19.214 0.051 0x00
