SURVEY:  PS1MD
SNID:  2021mqr
otherID: 
IAUC:    UNKNOWN
RA:        240.3081280  deg
DECL:       35.7922720  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021mqr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.539 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 131
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.57 g NULL  8.132 40.453 25.225 5.401 0x00
OBS: 58935.59 g NULL  -272.213 201.556 nan -0.804 0x00
OBS: 58955.48 g NULL  -32.778 57.276 nan -1.897 0x00
OBS: 58958.52 g NULL  88.724 69.342 22.630 0.849 0x00
OBS: 58960.46 g NULL  40.685 68.809 23.476 1.836 0x01
OBS: 58962.48 g NULL  -15.220 136.389 nan -9.729 0x00
OBS: 58966.46 g NULL  -12.832 38.745 nan -3.278 0x00
OBS: 58968.48 g NULL  18.753 59.680 24.317 3.455 0x00
OBS: 58970.49 g NULL  -205.138 102.739 nan -0.544 0x00
OBS: 58983.48 g NULL  36.126 70.852 23.605 2.129 0x00
OBS: 58985.38 g NULL  75.555 49.598 22.804 0.713 0x01
OBS: 58989.52 g NULL  -47.702 56.041 nan -1.276 0x00
OBS: 58993.38 g NULL  -81.907 78.557 nan -1.041 0x00
OBS: 58995.46 g NULL  -88.760 67.442 nan -0.825 0x01
OBS: 58998.36 g NULL  -86.412 62.883 nan -0.790 0x01
OBS: 59000.51 g NULL  22.650 37.836 24.112 1.814 0x00
OBS: 59013.45 g NULL  -80.153 89.548 nan -1.213 0x01
OBS: 59016.35 g NULL  30.525 35.938 23.788 1.278 0x00
OBS: 59020.33 g NULL  11.057 35.732 24.891 3.509 0x00
OBS: 59028.29 g NULL  2.566 51.077 26.477 21.612 0x00
OBS: 59029.30 g NULL  47.104 51.186 23.317 1.180 0x00
OBS: 59042.30 g NULL  23.582 38.449 24.069 1.770 0x00
OBS: 59045.28 g NULL  13.073 58.973 24.709 4.898 0x00
OBS: 59049.32 g NULL  -37.283 88.648 nan -2.582 0x00
OBS: 59050.39 g NULL  -30.454 62.280 nan -2.220 0x00
OBS: 59054.28 g NULL  -53.040 64.014 nan -1.310 0x00
OBS: 59071.38 g NULL  -85.697 59.311 nan -0.751 0x00
