SURVEY:  PS1MD
SNID:  2021ndc
otherID: 
IAUC:    UNKNOWN
RA:        204.3389710  deg
DECL:       28.5350140  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ndc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0390
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.576 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 117
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58975.42 g NULL  -211.545 144.976 nan -0.744 0x00
OBS: 58984.28 g NULL  -60.987 64.251 nan -1.144 0x00
OBS: 58987.38 g NULL  -64.089 50.199 nan -0.850 0x00
OBS: 58992.28 g NULL  -81.395 41.010 nan -0.547 0x00
OBS: 58997.35 g NULL  -80.646 47.220 nan -0.636 0x00
OBS: 58999.36 g NULL  -38.372 57.423 nan -1.625 0x00
OBS: 59017.30 g NULL  -56.765 55.002 nan -1.052 0x00
OBS: 59024.27 g NULL  23.428 54.064 24.076 2.506 0x00
OBS: 59029.28 g NULL  -43.716 69.512 nan -1.726 0x00
OBS: 59044.28 g NULL  22.406 51.762 24.124 2.508 0x00
OBS: 59048.27 g NULL  3.936 52.336 26.012 14.437 0x00
OBS: 59052.33 g NULL  39.609 62.610 23.506 1.716 0x00
OBS: 59058.29 g NULL  126.996 119.952 22.241 1.026 0x00
OBS: 59072.26 g NULL  -10.360 77.227 nan -8.093 0x00
OBS: 59076.27 g NULL  -129.101 176.408 nan -1.484 0x00
OBS: 59231.62 g NULL  22.214 57.201 24.133 2.796 0x00
OBS: 59291.43 g NULL  -228.684 116.553 nan -0.553 0x00
OBS: 59293.42 g NULL  -169.774 84.406 nan -0.540 0x01
