SURVEY:  PS1MD
SNID:  2021nfl
otherID: 
IAUC:    UNKNOWN
RA:        219.6293830  deg
DECL:       -7.9036290  deg
MWEBV:    0.059 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021nfl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0256
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.235 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 153
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -16.141 47.033 nan -3.164 0x00
OBS: 58956.46 g NULL  56.036 44.330 23.129 0.859 0x00
OBS: 58959.47 g NULL  26.685 37.679 23.934 1.533 0x00
OBS: 58964.49 g NULL  43.002 65.518 23.416 1.654 0x00
OBS: 58967.46 g NULL  -59.412 61.377 nan -1.122 0x00
OBS: 58969.46 g NULL  130.657 76.378 22.210 0.635 0x00
OBS: 58971.39 g NULL  -28.053 102.298 nan -3.959 0x00
OBS: 58972.45 g NULL  -100.616 81.460 nan -0.879 0x00
OBS: 58983.47 g NULL  -23.195 50.955 nan -2.385 0x00
OBS: 58985.39 g NULL  3.078 57.129 26.279 20.152 0x00
OBS: 58988.48 g NULL  -24.039 45.800 nan -2.069 0x00
OBS: 58990.39 g NULL  -30.719 39.215 nan -1.386 0x00
OBS: 58994.37 g NULL  34.485 57.548 23.656 1.812 0x00
OBS: 58997.33 g NULL  113.596 73.601 22.362 0.703 0x00
OBS: 58999.38 g NULL  169.456 59.057 21.927 0.378 0x00
OBS: 59019.28 g NULL  76.319 144.657 22.793 2.058 0x01
OBS: 59023.28 g NULL  51.194 50.455 23.227 1.070 0x00
OBS: 59027.30 g NULL  61.075 71.638 23.035 1.274 0x00
OBS: 59047.30 g NULL  6.646 62.605 25.444 10.228 0x00
OBS: 59054.27 g NULL  -74.782 60.925 nan -0.885 0x00
OBS: 59072.28 g NULL  90.209 84.047 22.612 1.012 0x00
OBS: 59080.26 g NULL  -96.619 55.643 nan -0.625 0x00
OBS: 59293.58 g NULL  72.518 69.018 22.849 1.033 0x00
OBS: 59310.47 g NULL  293.060 78.707 21.333 0.292 0x00
OBS: 59311.46 g NULL  226.590 54.361 21.612 0.260 0x00
OBS: 59317.48 g NULL  199.549 62.271 21.750 0.339 0x00
OBS: 59320.48 g NULL  153.668 52.301 22.034 0.370 0x01
OBS: 59323.44 g NULL  140.765 79.970 22.129 0.617 0x00
OBS: 59338.48 g NULL  167.560 57.157 21.940 0.370 0x00
OBS: 59347.43 g NULL  90.778 43.743 22.605 0.523 0x00
OBS: 59352.43 g NULL  179.835 149.481 21.863 0.902 0x00
OBS: 59366.33 g NULL  -12.325 46.210 nan -4.071 0x00
OBS: 59368.36 g NULL  104.275 88.427 22.455 0.921 0x00
OBS: 59372.34 g NULL  39.961 63.267 23.496 1.719 0x00
