SURVEY:  PS1MD
SNID:  2021oal
otherID: 
IAUC:    UNKNOWN
RA:        237.1665330  deg
DECL:       20.0593560  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oal.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.841 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 147
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58868.65 g NULL  -15.003 89.235 nan -6.458 0x00
OBS: 58873.63 g NULL  45.470 74.728 23.356 1.784 0x00
OBS: 58875.63 g NULL  169.707 92.407 21.926 0.591 0x00
OBS: 58878.65 g NULL  -1.374 107.587 nan -85.015 0x00
OBS: 58882.65 g NULL  226.148 108.817 21.614 0.522 0x00
OBS: 58931.51 g NULL  -17.304 90.500 nan -5.678 0x00
OBS: 58933.52 g NULL  260.646 135.196 21.460 0.563 0x01
OBS: 58955.47 g NULL  85.000 79.574 22.676 1.016 0x00
OBS: 58959.59 g NULL  314.822 77.634 21.255 0.268 0x00
OBS: 58961.57 g NULL  233.118 74.527 21.581 0.347 0x00
OBS: 58966.57 g NULL  156.979 66.628 22.010 0.461 0x00
OBS: 58968.54 g NULL  330.946 87.497 21.201 0.287 0x01
OBS: 58971.40 g NULL  46.937 90.907 23.321 2.103 0x00
OBS: 58982.51 g NULL  195.093 83.371 21.774 0.464 0x00
OBS: 58984.49 g NULL  139.514 68.600 22.138 0.534 0x00
OBS: 58988.49 g NULL  60.854 68.303 23.039 1.219 0x00
OBS: 58990.38 g NULL  199.155 73.417 21.752 0.400 0x01
OBS: 58994.49 g NULL  105.777 79.888 22.439 0.820 0x00
OBS: 58998.36 g NULL  81.959 68.633 22.716 0.909 0x00
OBS: 59000.50 g NULL  237.148 73.289 21.562 0.336 0x00
OBS: 59019.47 g NULL  193.878 170.183 21.781 0.953 0x00
OBS: 59023.38 g NULL  8.646 62.041 25.158 7.791 0x00
OBS: 59027.28 g NULL  292.421 77.219 21.335 0.287 0x00
OBS: 59029.29 g NULL  81.236 72.235 22.726 0.965 0x00
OBS: 59043.35 g NULL  165.526 77.153 21.953 0.506 0x00
OBS: 59047.36 g NULL  147.331 94.689 22.079 0.698 0x00
OBS: 59051.34 g NULL  245.792 73.530 21.524 0.325 0x01
OBS: 59054.34 g NULL  123.468 72.513 22.271 0.638 0x00
OBS: 59071.27 g NULL  421.640 89.064 20.938 0.229 0x00
OBS: 59074.29 g NULL  254.944 85.430 21.484 0.364 0x00
OBS: 59077.26 g NULL  101.847 75.672 22.480 0.807 0x00
OBS: 59079.25 g NULL  -12.913 74.905 nan -6.298 0x00
OBS: 59083.26 g NULL  73.055 76.933 22.841 1.143 0x00
OBS: 59106.24 g NULL  214.695 80.456 21.670 0.407 0x00
OBS: 59108.23 g NULL  379.277 87.484 21.053 0.250 0x00
OBS: 59131.22 g NULL  519.361 115.177 20.711 0.241 0x00
OBS: 59136.22 g NULL  589.456 123.083 20.574 0.227 0x00
OBS: 59255.62 g NULL  335.031 93.560 21.187 0.303 0x00
OBS: 59262.63 g NULL  374.787 72.244 21.066 0.209 0x00
OBS: 59292.50 g NULL  301.284 90.153 21.303 0.325 0x00
OBS: 59310.49 g NULL  234.093 73.461 21.577 0.341 0x00
OBS: 59342.55 g NULL  475.556 85.722 20.807 0.196 0x00
OBS: 59345.55 g NULL  372.884 93.713 21.071 0.273 0x01
OBS: 59353.51 g NULL  434.948 79.121 20.904 0.198 0x00
OBS: 59371.51 g NULL  3212.733 127.221 18.733 0.043 0x00
OBS: 59374.47 g NULL  3207.314 114.608 18.735 0.039 0x00
OBS: 59378.45 g NULL  3154.551 119.754 18.753 0.041 0x00
OBS: 59381.45 g NULL  2754.795 108.425 18.900 0.043 0x00
OBS: 59384.41 g NULL  2572.411 125.734 18.974 0.053 0x00
OBS: 59401.36 g NULL  892.164 72.531 20.124 0.088 0x00
OBS: 59408.40 g NULL  436.540 66.573 20.900 0.166 0x00
OBS: 58868.65 r NULL  -164.077 78.720 nan -0.521 0x00
OBS: 58873.64 r NULL  -81.481 87.252 nan -1.163 0x00
OBS: 58878.66 r NULL  304.803 432.229 21.290 1.540 0x00
OBS: 58931.52 r NULL  131.613 74.091 22.202 0.611 0x00
OBS: 58947.61 r NULL  -335.417 231.637 nan -0.750 0x00
OBS: 58951.47 r NULL  -153.922 177.104 nan -1.249 0x00
OBS: 58961.58 r NULL  -16.622 87.555 nan -5.719 0x00
OBS: 58968.54 r NULL  -23.013 61.552 nan -2.904 0x00
OBS: 58973.58 r NULL  -308.563 102.549 nan -0.361 0x00
OBS: 58974.43 r NULL  -39.624 132.937 nan -3.643 0x00
OBS: 58978.56 r NULL  -270.173 147.013 nan -0.591 0x00
OBS: 58990.38 r NULL  -146.067 61.628 nan -0.458 0x00
OBS: 59006.48 r NULL  25.944 130.389 23.965 5.457 0x00
OBS: 59011.52 r NULL  92.645 166.525 22.583 1.952 0x00
OBS: 59023.38 r NULL  -101.723 81.133 nan -0.866 0x00
OBS: 59033.39 r NULL  -206.584 118.923 nan -0.625 0x00
OBS: 59037.37 r NULL  -19.747 114.021 nan -6.269 0x00
OBS: 59040.37 r NULL  -94.990 67.908 nan -0.776 0x00
OBS: 59051.34 r NULL  13.150 71.069 24.703 5.868 0x00
OBS: 59060.36 r NULL  39.616 161.211 23.505 4.418 0x00
OBS: 59063.32 r NULL  -140.616 166.565 nan -1.286 0x00
OBS: 59077.26 r NULL  -20.923 63.894 nan -3.316 0x00
OBS: 59094.26 r NULL  -202.984 142.539 nan -0.762 0x00
OBS: 59096.26 r NULL  -185.977 84.766 nan -0.495 0x00
OBS: 59098.30 r NULL  51.758 181.443 23.215 3.806 0x09
OBS: 59106.24 r NULL  61.115 72.640 23.035 1.290 0x00
OBS: 59119.23 r NULL  -77.174 125.616 nan -1.767 0x00
OBS: 59122.23 r NULL  -210.680 165.139 nan -0.851 0x00
OBS: 59268.59 r NULL  -169.137 114.146 nan -0.733 0x00
OBS: 59292.51 r NULL  77.186 87.584 22.781 1.232 0x00
OBS: 59297.53 r NULL  -399.256 107.478 nan -0.292 0x00
OBS: 59299.55 r NULL  -62.274 100.957 nan -1.760 0x00
