SURVEY:  PS1MD
SNID:  2021oaq
otherID: 
IAUC:    UNKNOWN
RA:        174.6112400  deg
DECL:       11.3243370  deg
MWEBV:    0.028 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oaq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.393 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 152
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58841.63 g NULL  -19.290 44.097 nan -2.482 0x00
OBS: 58844.65 g NULL  -126.872 139.886 nan -1.197 0x00
OBS: 58850.61 g NULL  100.637 70.110 22.493 0.756 0x00
OBS: 58869.56 g NULL  -13.208 75.365 nan -6.195 0x00
OBS: 58871.56 g NULL  -31.368 71.427 nan -2.472 0x00
OBS: 58873.61 g NULL  -42.179 48.541 nan -1.250 0x00
OBS: 58876.51 g NULL  -46.739 75.692 nan -1.758 0x00
OBS: 58879.50 g NULL  36.798 116.176 23.585 3.428 0x00
OBS: 58929.35 g NULL  55.617 74.304 23.137 1.451 0x00
OBS: 58957.38 g NULL  36.389 107.752 23.598 3.215 0x00
OBS: 58961.27 g NULL  -19.852 37.860 nan -2.071 0x00
OBS: 58965.41 g NULL  58.747 177.030 23.078 3.272 0x01
OBS: 58968.25 g NULL  -178.610 64.723 nan -0.393 0x01
OBS: 58982.30 g NULL  -38.125 72.295 nan -2.059 0x00
OBS: 58986.29 g NULL  -115.484 51.235 nan -0.482 0x00
OBS: 58988.32 g NULL  -152.967 73.896 nan -0.525 0x00
OBS: 59015.27 g NULL  49.524 102.833 23.263 2.254 0x00
OBS: 59018.31 g NULL  -156.138 123.456 nan -0.858 0x00
OBS: 59023.28 g NULL  -40.968 41.567 nan -1.102 0x00
OBS: 59194.64 g NULL  7.870 44.653 25.260 6.160 0x00
OBS: 59222.57 g NULL  -18.625 63.305 nan -3.690 0x01
OBS: 59226.57 g NULL  5.848 62.934 25.582 11.684 0x01
OBS: 59236.65 g NULL  44.328 101.489 23.383 2.486 0x00
OBS: 59253.50 g NULL  36.672 74.655 23.589 2.210 0x00
OBS: 59256.48 g NULL  56.011 50.638 23.129 0.982 0x00
OBS: 59261.45 g NULL  -79.105 46.079 nan -0.632 0x00
OBS: 59292.39 g NULL  109.834 69.303 22.398 0.685 0x00
OBS: 59294.36 g NULL  -69.412 158.748 nan -2.483 0x00
OBS: 59310.35 g NULL  146.607 264.260 22.085 1.957 0x00
OBS: 59311.40 g NULL  -67.896 101.112 nan -1.617 0x00
OBS: 59315.25 g NULL  43.678 56.853 23.399 1.413 0x01
OBS: 59317.31 g NULL  87.031 85.712 22.651 1.069 0x00
OBS: 59320.26 g NULL  70.866 59.401 22.874 0.910 0x00
OBS: 59321.30 g NULL  91.436 62.245 22.597 0.739 0x00
OBS: 59337.26 g NULL  -34.483 49.819 nan -1.569 0x00
OBS: 59342.25 g NULL  30.228 49.119 23.799 1.764 0x00
OBS: 59344.25 g NULL  -21.165 42.710 nan -2.191 0x00
OBS: 59346.29 g NULL  -4.760 56.988 nan -12.999 0x00
OBS: 59348.31 g NULL  30.912 72.502 23.775 2.547 0x00
OBS: 59349.31 g NULL  66.104 53.555 22.949 0.880 0x00
OBS: 59351.32 g NULL  263.912 114.231 21.446 0.470 0x00
OBS: 59366.26 g NULL  558.142 55.310 20.633 0.108 0x00
OBS: 59368.27 g NULL  660.516 52.038 20.450 0.086 0x00
