SURVEY:  PS1MD
SNID:  2021oat
otherID: 
IAUC:    UNKNOWN
RA:        195.0344310  deg
DECL:       28.1702930  deg
MWEBV:    0.009 +- 0.000 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021oat.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.204 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 170
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59206.65 g NULL  -2.210 37.953 nan -18.646 0x00
OBS: 59225.60 g NULL  14.660 76.192 24.585 5.643 0x00
OBS: 59225.61 g NULL  -39.310 86.423 nan -2.387 0x00
OBS: 59229.58 g NULL  -66.393 50.002 nan -0.818 0x00
OBS: 59229.65 g NULL  -18.747 54.370 nan -3.149 0x00
OBS: 59231.60 g NULL  0.517 44.796 28.216 94.075 0x00
OBS: 59231.62 g NULL  -13.419 53.952 nan -4.365 0x00
OBS: 59235.54 g NULL  26.684 104.551 23.934 4.254 0x00
OBS: 59236.58 g NULL  37.056 83.956 23.578 2.460 0x00
OBS: 59252.53 g NULL  -1.490 48.740 nan -35.516 0x00
OBS: 59255.54 g NULL  -38.882 78.090 nan -2.181 0x00
OBS: 59257.52 g NULL  47.565 46.944 23.307 1.072 0x00
OBS: 59257.52 g NULL  59.056 40.751 23.072 0.749 0x00
OBS: 59258.53 g NULL  184.233 93.587 21.837 0.552 0x00
OBS: 59262.62 g NULL  -34.551 53.659 nan -1.686 0x00
OBS: 59278.46 g NULL  301.404 189.033 21.302 0.681 0x01
OBS: 59278.48 g NULL  -429.048 146.122 nan -0.370 0x00
OBS: 59291.42 g NULL  15.311 67.198 24.537 4.765 0x00
OBS: 59291.43 g NULL  -56.227 63.353 nan -1.223 0x00
OBS: 59293.43 g NULL  -1.277 61.855 nan -52.591 0x00
OBS: 59295.41 g NULL  32.707 100.843 23.713 3.348 0x01
OBS: 59296.45 g NULL  -16.708 68.780 nan -4.470 0x00
OBS: 59307.35 g NULL  -6.343 68.556 nan -11.735 0x00
OBS: 59313.47 g NULL  -54.957 71.851 nan -1.419 0x00
OBS: 59314.31 g NULL  -9.602 52.463 nan -5.932 0x00
OBS: 59315.36 g NULL  -151.859 305.833 nan -2.187 0x00
OBS: 59316.46 g NULL  -29.092 88.364 nan -3.298 0x00
OBS: 59317.37 g NULL  51.623 100.075 23.218 2.105 0x00
OBS: 59319.35 g NULL  10.406 51.496 24.957 5.373 0x00
