SURVEY:  PS1MD
SNID:  2021obg
otherID: 
IAUC:    UNKNOWN
RA:        225.3491150  deg
DECL:       -11.4092880  deg
MWEBV:    0.094 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021obg.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.428 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 117
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -134.563 93.989 nan -0.758 0x00
OBS: 58933.53 g NULL  211.739 108.177 21.685 0.555 0x00
OBS: 58956.46 g NULL  -62.437 54.989 nan -0.956 0x00
OBS: 58959.47 g NULL  -32.930 53.431 nan -1.762 0x00
OBS: 58967.46 g NULL  54.281 52.795 23.163 1.056 0x00
OBS: 58969.47 g NULL  184.446 103.104 21.835 0.607 0x01
OBS: 58985.40 g NULL  13.226 68.791 24.696 5.647 0x00
OBS: 58990.39 g NULL  -4.846 50.884 nan -11.400 0x00
OBS: 58994.37 g NULL  -72.578 63.654 nan -0.952 0x00
OBS: 59019.28 g NULL  -116.988 148.586 nan -1.379 0x01
OBS: 59023.28 g NULL  -33.748 52.967 nan -1.704 0x00
OBS: 59027.30 g NULL  -28.056 68.378 nan -2.646 0x00
OBS: 59043.28 g NULL  46.751 53.601 23.326 1.245 0x00
OBS: 59047.30 g NULL  -4.920 49.258 nan -10.870 0x00
OBS: 59051.29 g NULL  -68.025 39.923 nan -0.637 0x00
OBS: 59310.47 g NULL  68.427 94.307 22.912 1.496 0x09
OBS: 59317.48 g NULL  -109.491 76.121 nan -0.755 0x00
OBS: 59320.48 g NULL  -80.387 57.832 nan -0.781 0x00
OBS: 59323.44 g NULL  -76.443 59.985 nan -0.852 0x00
OBS: 59352.43 g NULL  173.187 138.965 21.904 0.871 0x00
OBS: 59366.33 g NULL  507.081 55.476 20.737 0.119 0x00
OBS: 59368.36 g NULL  278.900 95.809 21.386 0.373 0x00
OBS: 59372.34 g NULL  362.953 56.150 21.100 0.168 0x00
OBS: 59375.36 g NULL  122.344 89.288 22.281 0.792 0x00
OBS: 59378.38 g NULL  354.631 77.767 21.126 0.238 0x00
OBS: 59381.33 g NULL  118.576 95.265 22.315 0.872 0x00
OBS: 59382.28 g NULL  185.407 46.618 21.830 0.273 0x00
OBS: 59396.31 g NULL  53.077 55.993 23.188 1.145 0x00
