SURVEY:  PS1MD
SNID:  2021ofq
otherID: 
IAUC:    UNKNOWN
RA:        209.8713360  deg
DECL:       35.4227810  deg
MWEBV:    0.011 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ofq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0003
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 1.105 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 180
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58869.66 g NULL  70.863 59.584 22.874 0.913 0x00
OBS: 58871.65 g NULL  123.739 41.388 22.269 0.363 0x00
OBS: 58873.62 g NULL  -17.017 47.784 nan -3.049 0x00
OBS: 58877.65 g NULL  3.255 78.651 26.219 26.235 0x01
OBS: 58929.53 g NULL  -18.502 39.012 nan -2.289 0x00
OBS: 58932.62 g NULL  235.169 115.400 21.572 0.533 0x09
OBS: 58934.50 g NULL  -272.923 146.729 nan -0.584 0x00
OBS: 58957.54 g NULL  -60.483 47.569 nan -0.854 0x00
OBS: 58959.36 g NULL  -0.585 45.400 nan -84.261 0x00
OBS: 58964.35 g NULL  16.847 111.434 24.434 7.182 0x00
OBS: 58967.37 g NULL  -19.748 43.341 nan -2.383 0x00
OBS: 58984.28 g NULL  -64.107 63.362 nan -1.073 0x00
OBS: 58987.38 g NULL  -1.419 46.776 nan -35.790 0x00
OBS: 58992.28 g NULL  -8.823 35.182 nan -4.329 0x00
OBS: 58997.35 g NULL  -39.995 43.025 nan -1.168 0x00
OBS: 58999.37 g NULL  -52.450 54.716 nan -1.133 0x00
OBS: 59015.31 g NULL  7.740 36.464 25.278 5.115 0x00
OBS: 59020.34 g NULL  -6.321 134.941 nan -23.178 0x00
OBS: 59029.28 g NULL  101.343 66.324 22.486 0.711 0x00
OBS: 59042.29 g NULL  -99.952 105.864 nan -1.150 0x09
OBS: 59044.28 g NULL  70.364 56.050 22.882 0.865 0x00
OBS: 59048.27 g NULL  -48.598 65.521 nan -1.464 0x00
OBS: 59052.33 g NULL  -28.868 74.465 nan -2.801 0x00
OBS: 59058.29 g NULL  -40.964 174.714 nan -4.631 0x00
OBS: 59072.26 g NULL  -140.002 57.309 nan -0.444 0x00
OBS: 59076.27 g NULL  89.543 75.710 22.620 0.918 0x00
OBS: 59080.25 g NULL  1.435 62.613 27.108 47.374 0x00
OBS: 59101.24 g NULL  89.990 141.659 22.615 1.709 0x00
OBS: 59104.24 g NULL  -44.640 85.809 nan -2.087 0x00
OBS: 59225.62 g NULL  -110.626 76.648 nan -0.752 0x00
OBS: 59229.65 g NULL  -69.305 49.143 nan -0.770 0x00
OBS: 59231.62 g NULL  -34.090 62.932 nan -2.004 0x00
OBS: 59255.54 g NULL  -43.226 84.651 nan -2.126 0x00
OBS: 59257.53 g NULL  31.927 38.517 23.740 1.310 0x00
OBS: 59278.48 g NULL  -128.844 198.587 nan -1.673 0x00
OBS: 59291.43 g NULL  -6.267 110.980 nan -19.227 0x00
OBS: 59293.43 g NULL  -21.694 61.082 nan -3.057 0x00
OBS: 59296.45 g NULL  70.577 99.514 22.878 1.531 0x00
OBS: 59310.36 g NULL  -89.249 64.979 nan -0.790 0x00
OBS: 59312.49 g NULL  -9.945 72.440 nan -7.909 0x00
OBS: 59315.36 g NULL  -104.543 112.836 nan -1.172 0x00
OBS: 59317.37 g NULL  43.586 61.166 23.402 1.524 0x00
OBS: 59319.37 g NULL  -15.456 36.698 nan -2.578 0x00
OBS: 59321.46 g NULL  -75.221 35.283 nan -0.509 0x00
OBS: 59323.36 g NULL  -21.615 96.934 nan -4.869 0x00
OBS: 59342.27 g NULL  16.974 72.911 24.426 4.664 0x00
OBS: 59344.27 g NULL  -10.433 52.498 nan -5.463 0x01
OBS: 59346.40 g NULL  50.070 42.491 23.251 0.921 0x00
OBS: 59349.45 g NULL  80.166 91.662 22.740 1.241 0x00
OBS: 59351.38 g NULL  -15.282 65.379 nan -4.645 0x00
OBS: 59352.43 g NULL  -31.099 82.586 nan -2.883 0x00
OBS: 59366.41 g NULL  521.551 52.503 20.707 0.109 0x01
OBS: 59368.35 g NULL  962.830 85.954 20.041 0.097 0x00
OBS: 59371.34 g NULL  1363.745 78.791 19.663 0.063 0x00
OBS: 59373.33 g NULL  1644.588 58.795 19.460 0.039 0x00
OBS: 59375.37 g NULL  1909.491 79.799 19.298 0.045 0x00
OBS: 59378.39 g NULL  2031.530 105.407 19.230 0.056 0x00
OBS: 59380.34 g NULL  2185.087 93.025 19.151 0.046 0x00
OBS: 59396.27 g NULL  926.500 48.164 20.083 0.056 0x00
OBS: 59398.29 g NULL  597.924 87.295 20.558 0.159 0x00
OBS: 59399.28 g NULL  664.457 66.005 20.444 0.108 0x00
OBS: 59406.29 g NULL  503.099 55.905 20.746 0.121 0x00
OBS: 58869.66 r NULL  37.082 56.548 23.577 1.656 0x00
OBS: 58873.62 r NULL  1.687 47.826 26.932 30.780 0x00
OBS: 58883.66 r NULL  66.278 45.907 22.947 0.752 0x00
OBS: 58929.53 r NULL  -1.723 39.970 nan -25.187 0x00
OBS: 58934.50 r NULL  -671.651 684.124 nan -1.106 0x00
OBS: 58943.42 r NULL  -86.054 110.605 nan -1.395 0x00
OBS: 58949.37 r NULL  -76.716 134.090 nan -1.898 0x00
OBS: 58959.36 r NULL  -79.245 43.409 nan -0.595 0x00
OBS: 58964.36 r NULL  -179.999 106.892 nan -0.645 0x00
OBS: 58972.38 r NULL  -12.396 65.992 nan -5.780 0x00
OBS: 58976.43 r NULL  -277.978 200.076 nan -0.781 0x00
OBS: 58981.40 r NULL  -121.031 52.483 nan -0.471 0x00
OBS: 58987.38 r NULL  -61.342 62.287 nan -1.102 0x00
OBS: 58997.35 r NULL  -43.602 42.305 nan -1.053 0x00
OBS: 59005.28 r NULL  229.148 211.430 21.600 1.002 0x00
OBS: 59009.36 r NULL  -5.833 57.200 nan -10.647 0x00
OBS: 59011.41 r NULL  -159.967 114.565 nan -0.778 0x00
OBS: 59031.30 r NULL  33.723 101.425 23.680 3.265 0x00
OBS: 59038.34 r NULL  -149.268 97.260 nan -0.707 0x00
OBS: 59052.33 r NULL  -8.190 68.052 nan -9.022 0x00
OBS: 59061.27 r NULL  -52.625 80.637 nan -1.664 0x00
OBS: 59064.29 r NULL  -119.077 154.491 nan -1.409 0x00
OBS: 59066.29 r NULL  115.220 89.527 22.346 0.844 0x00
OBS: 59070.28 r NULL  -97.018 119.598 nan -1.338 0x00
OBS: 59080.25 r NULL  26.686 58.171 23.934 2.367 0x00
OBS: 59094.24 r NULL  -273.802 196.572 nan -0.779 0x01
OBS: 59209.64 r NULL  44.647 50.409 23.376 1.226 0x00
OBS: 59214.64 r NULL  282.737 182.729 21.372 0.702 0x00
OBS: 59217.64 r NULL  -129.957 68.136 nan -0.569 0x00
OBS: 59225.61 r NULL  -70.120 96.645 nan -1.496 0x00
OBS: 59229.65 r NULL  -56.049 50.923 nan -0.986 0x00
OBS: 59238.58 r NULL  -177.993 81.773 nan -0.499 0x00
OBS: 59242.57 r NULL  -316.506 258.603 nan -0.887 0x00
OBS: 59244.57 r NULL  206.262 174.523 21.714 0.919 0x00
OBS: 59257.52 r NULL  44.260 35.709 23.385 0.876 0x00
OBS: 59298.45 r NULL  -184.375 96.195 nan -0.566 0x00
OBS: 59306.40 r NULL  4.264 61.209 25.925 15.586 0x00
OBS: 59312.50 r NULL  94.452 72.452 22.562 0.833 0x00
OBS: 59317.38 r NULL  65.325 60.661 22.962 1.008 0x00
OBS: 59321.46 r NULL  7.591 41.486 25.299 5.934 0x00
OBS: 59332.44 r NULL  96.290 96.860 22.541 1.092 0x00
OBS: 59336.44 r NULL  -17.734 53.059 nan -3.248 0x00
OBS: 59344.28 r NULL  39.344 59.171 23.513 1.633 0x00
OBS: 59352.44 r NULL  0.570 58.165 28.110 110.793 0x00
OBS: 59360.27 r NULL  168.632 110.766 21.933 0.713 0x00
OBS: 59362.39 r NULL  89.424 100.167 22.621 1.216 0x00
OBS: 59364.40 r NULL  353.882 50.654 21.128 0.155 0x00
OBS: 59371.35 r NULL  1290.858 72.746 19.723 0.061 0x00
OBS: 59375.37 r NULL  1690.714 74.180 19.430 0.048 0x00
OBS: 59380.34 r NULL  2085.697 112.672 19.202 0.059 0x00
OBS: 59387.29 r NULL  2068.212 195.410 19.211 0.103 0x00
OBS: 59389.30 r NULL  1777.596 153.142 19.375 0.094 0x00
OBS: 59391.30 r NULL  1797.493 80.614 19.363 0.049 0x00
