SURVEY:  PS1MD
SNID:  2021orm
otherID: 
IAUC:    UNKNOWN
RA:        239.1836390  deg
DECL:       25.6740940  deg
MWEBV:    0.060 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021orm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.142 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 164
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  223.255 94.733 21.628 0.461 0x00
OBS: 58937.62 g NULL  -208.133 98.835 nan -0.516 0x01
OBS: 58955.47 g NULL  59.299 52.620 23.067 0.963 0x00
OBS: 58958.58 g NULL  15.439 49.751 24.528 3.499 0x00
OBS: 58960.47 g NULL  32.033 47.257 23.736 1.602 0x00
OBS: 58962.47 g NULL  74.806 108.294 22.815 1.572 0x00
OBS: 58968.55 g NULL  75.820 48.124 22.801 0.689 0x00
OBS: 58971.40 g NULL  111.003 73.919 22.387 0.723 0x00
OBS: 58995.47 g NULL  -7.621 55.964 nan -7.973 0x00
OBS: 59013.45 g NULL  107.997 113.068 22.416 1.137 0x00
OBS: 59023.43 g NULL  53.843 62.436 23.172 1.259 0x00
OBS: 59026.29 g NULL  -3.390 81.679 nan -26.160 0x00
OBS: 59028.29 g NULL  41.784 41.125 23.447 1.069 0x00
OBS: 59074.30 g NULL  -56.575 75.340 nan -1.446 0x00
OBS: 59082.30 g NULL  -329.616 249.703 nan -0.823 0x00
OBS: 59083.26 g NULL  78.102 66.793 22.768 0.929 0x00
OBS: 59102.25 g NULL  -106.104 74.332 nan -0.761 0x00
OBS: 59106.25 g NULL  -89.535 62.723 nan -0.761 0x00
OBS: 59108.24 g NULL  -135.524 69.068 nan -0.553 0x00
OBS: 59117.23 g NULL  175.244 133.666 21.891 0.828 0x00
OBS: 59131.22 g NULL  101.425 98.698 22.485 1.057 0x00
OBS: 59136.22 g NULL  69.438 137.051 22.896 2.143 0x00
OBS: 59139.22 g NULL  -260.272 234.493 nan -0.978 0x01
OBS: 59313.62 g NULL  42.502 56.773 23.429 1.450 0x00
OBS: 59318.49 g NULL  103.128 43.238 22.467 0.455 0x00
OBS: 59321.47 g NULL  26.925 46.335 23.925 1.868 0x00
OBS: 59337.55 g NULL  -53.463 136.858 nan -2.779 0x00
OBS: 59343.39 g NULL  265.818 67.039 21.439 0.274 0x01
OBS: 59347.54 g NULL  61.069 68.971 23.035 1.226 0x00
OBS: 59352.55 g NULL  -125.346 112.962 nan -0.978 0x00
OBS: 59368.37 g NULL  1976.969 108.950 19.260 0.060 0x01
OBS: 59372.46 g NULL  2501.195 78.513 19.005 0.034 0x00
OBS: 59375.43 g NULL  3155.326 113.400 18.752 0.039 0x00
OBS: 59379.31 g NULL  3245.121 74.100 18.722 0.025 0x00
OBS: 59382.29 g NULL  3001.443 98.951 18.807 0.036 0x01
OBS: 59383.29 g NULL  2856.566 112.856 18.860 0.043 0x01
OBS: 59384.27 g NULL  2494.957 135.214 19.007 0.059 0x00
OBS: 59398.41 g NULL  718.294 70.363 20.359 0.106 0x00
OBS: 59399.40 g NULL  635.712 68.127 20.492 0.116 0x00
OBS: 59408.39 g NULL  355.490 58.171 21.123 0.178 0x01
OBS: 59412.38 g NULL  482.673 126.676 20.791 0.285 0x00
OBS: 59425.33 g NULL  268.983 63.851 21.426 0.258 0x00
OBS: 59429.28 g NULL  17.383 70.506 24.400 4.404 0x00
OBS: 59431.32 g NULL  224.540 68.743 21.622 0.332 0x00
OBS: 59437.26 g NULL  216.071 136.280 21.664 0.685 0x00
OBS: 59439.26 g NULL  381.369 152.356 21.047 0.434 0x00
OBS: 59441.26 g NULL  290.318 83.044 21.343 0.311 0x00
OBS: 59442.26 g NULL  75.118 86.925 22.811 1.256 0x00
OBS: 58931.52 r NULL  265.110 99.497 21.441 0.407 0x00
OBS: 58945.51 r NULL  294.340 145.539 21.328 0.537 0x00
OBS: 58950.60 r NULL  -85.176 97.152 nan -1.238 0x00
OBS: 58960.47 r NULL  -28.352 63.592 nan -2.435 0x00
OBS: 58974.42 r NULL  298.304 117.794 21.313 0.429 0x00
OBS: 58976.43 r NULL  -132.978 284.776 nan -2.325 0x01
OBS: 58981.39 r NULL  -70.667 44.128 nan -0.678 0x00
OBS: 59007.30 r NULL  106.402 83.277 22.433 0.850 0x00
OBS: 59009.34 r NULL  31.189 58.298 23.765 2.029 0x00
OBS: 59023.44 r NULL  -10.405 60.241 nan -6.286 0x00
OBS: 59031.28 r NULL  347.701 106.659 21.147 0.333 0x00
OBS: 59034.27 r NULL  24.898 108.706 24.010 4.740 0x00
OBS: 59040.36 r NULL  21.254 66.884 24.181 3.417 0x00
OBS: 59059.38 r NULL  56.206 82.016 23.126 1.584 0x00
OBS: 59062.37 r NULL  1.958 76.290 26.770 42.304 0x00
OBS: 59065.30 r NULL  -43.909 86.152 nan -2.130 0x00
OBS: 59069.35 r NULL  -76.038 64.347 nan -0.919 0x00
OBS: 59083.26 r NULL  -78.394 67.591 nan -0.936 0x00
OBS: 59094.26 r NULL  -100.933 157.500 nan -1.694 0x00
OBS: 59096.26 r NULL  8.464 61.257 25.181 7.858 0x00
OBS: 59098.31 r NULL  85.299 78.128 22.673 0.994 0x00
OBS: 59108.25 r NULL  36.646 73.267 23.590 2.171 0x00
OBS: 59128.22 r NULL  691.569 149.088 20.400 0.234 0x00
OBS: 59136.22 r NULL  -90.821 108.450 nan -1.296 0x00
OBS: 59270.59 r NULL  554.703 160.202 20.640 0.314 0x00
OBS: 59297.52 r NULL  144.623 101.217 22.099 0.760 0x00
OBS: 59300.51 r NULL  755.848 796.148 20.304 1.144 0x01
OBS: 59303.52 r NULL  369.272 123.891 21.082 0.364 0x00
OBS: 59304.52 r NULL  143.126 133.953 22.111 1.016 0x00
OBS: 59306.47 r NULL  273.398 74.080 21.408 0.294 0x00
OBS: 59321.47 r NULL  -77.738 57.311 nan -0.800 0x00
OBS: 59326.42 r NULL  380.099 121.360 21.050 0.347 0x00
OBS: 59327.44 r NULL  164.670 72.500 21.958 0.478 0x00
OBS: 59331.41 r NULL  195.685 160.220 21.771 0.889 0x00
OBS: 59334.45 r NULL  -82.681 70.024 nan -0.920 0x00
OBS: 59347.54 r NULL  -42.756 78.515 nan -1.994 0x00
OBS: 59357.37 r NULL  199.325 97.106 21.751 0.529 0x09
OBS: 59358.37 r NULL  221.784 104.524 21.635 0.512 0x00
OBS: 59360.38 r NULL  180.135 171.249 21.861 1.032 0x01
OBS: 59363.49 r NULL  389.832 88.399 21.023 0.246 0x00
OBS: 59365.36 r NULL  554.016 66.630 20.641 0.131 0x00
OBS: 59375.43 r NULL  3233.476 113.798 18.726 0.038 0x00
OBS: 59385.27 r NULL  3467.966 126.857 18.650 0.040 0x00
OBS: 59386.31 r NULL  3017.516 432.679 18.801 0.156 0x00
OBS: 59388.30 r NULL  2315.911 110.135 19.088 0.052 0x00
OBS: 59394.39 r NULL  1813.561 64.878 19.354 0.039 0x00
OBS: 59399.40 r NULL  1534.898 70.095 19.535 0.050 0x00
OBS: 59408.39 r NULL  829.128 67.149 20.203 0.088 0x00
OBS: 59414.33 r NULL  551.408 106.124 20.646 0.209 0x00
OBS: 59416.31 r NULL  644.021 320.039 20.478 0.540 0x00
OBS: 59422.33 r NULL  -884.832 1226.895 nan -1.505 0x00
OBS: 59429.28 r NULL  533.168 74.472 20.683 0.152 0x00
OBS: 59439.25 r NULL  459.630 91.172 20.844 0.215 0x00
OBS: 59444.26 r NULL  276.949 99.734 21.394 0.391 0x00
OBS: 59447.25 r NULL  237.397 67.002 21.561 0.306 0x00
OBS: 59450.30 r NULL  368.274 108.630 21.085 0.320 0x00
OBS: 58937.63 i NULL  14.594 169.756 24.590 12.629 0x00
OBS: 58958.59 i NULL  33.158 75.340 23.699 2.467 0x00
OBS: 58962.47 i NULL  231.848 191.277 21.587 0.896 0x00
OBS: 58968.55 i NULL  -80.182 86.968 nan -1.178 0x00
OBS: 58973.45 i NULL  214.104 101.502 21.673 0.515 0x00
OBS: 58981.39 i NULL  282.555 60.763 21.372 0.233 0x00
OBS: 58995.47 i NULL  75.778 86.806 22.801 1.244 0x00
OBS: 59007.30 i NULL  121.542 77.281 22.288 0.690 0x00
OBS: 59026.29 i NULL  -252.701 104.700 nan -0.450 0x00
OBS: 59028.29 i NULL  65.837 50.174 22.954 0.827 0x00
OBS: 59031.29 i NULL  124.773 113.845 22.260 0.991 0x00
OBS: 59059.37 i NULL  -27.670 99.490 nan -3.904 0x00
OBS: 59069.34 i NULL  117.119 87.045 22.328 0.807 0x00
OBS: 59082.31 i NULL  321.796 169.475 21.231 0.572 0x00
OBS: 59094.26 i NULL  309.757 223.736 21.272 0.784 0x00
OBS: 59098.30 i NULL  384.920 118.871 21.037 0.335 0x00
OBS: 59102.25 i NULL  -78.873 88.575 nan -1.219 0x00
OBS: 59106.24 i NULL  -104.587 77.215 nan -0.802 0x00
OBS: 59117.23 i NULL  -111.210 146.174 nan -1.427 0x00
OBS: 59128.23 i NULL  312.205 181.686 21.264 0.632 0x00
OBS: 59139.21 i NULL  316.350 132.246 21.250 0.454 0x01
OBS: 59304.52 i NULL  345.493 335.079 21.154 1.053 0x00
OBS: 59313.62 i NULL  -130.530 63.227 nan -0.526 0x00
OBS: 59318.49 i NULL  -30.503 62.525 nan -2.226 0x00
OBS: 59326.42 i NULL  255.403 125.042 21.482 0.532 0x00
OBS: 59331.41 i NULL  215.646 206.302 21.666 1.039 0x00
OBS: 59337.55 i NULL  -162.595 187.288 nan -1.251 0x00
OBS: 59343.40 i NULL  251.676 84.000 21.498 0.362 0x00
OBS: 59352.55 i NULL  591.080 171.952 20.571 0.316 0x00
OBS: 59357.37 i NULL  402.059 115.549 20.989 0.312 0x01
OBS: 59360.39 i NULL  137.037 138.838 22.158 1.100 0x00
OBS: 59365.36 i NULL  598.258 63.131 20.558 0.115 0x00
OBS: 59372.46 i NULL  2318.567 84.141 19.087 0.039 0x01
OBS: 59379.32 i NULL  2575.246 67.997 18.973 0.029 0x01
OBS: 59382.29 i NULL  2443.821 106.309 19.030 0.047 0x01
OBS: 59384.27 i NULL  2338.999 143.780 19.077 0.067 0x00
OBS: 59386.31 i NULL  2041.980 330.424 19.225 0.176 0x01
OBS: 59398.40 i NULL  2010.068 165.152 19.242 0.089 0x00
OBS: 59412.38 i NULL  1127.485 119.450 19.870 0.115 0x00
OBS: 59414.34 i NULL  1338.045 145.849 19.684 0.118 0x00
OBS: 59422.33 i NULL  632.949 260.226 20.497 0.446 0x00
OBS: 59431.33 i NULL  615.675 99.273 20.527 0.175 0x00
OBS: 59437.26 i NULL  378.583 102.995 21.055 0.295 0x00
OBS: 59441.25 i NULL  417.696 70.839 20.948 0.184 0x00
