SURVEY:  PS1MD
SNID:  2021pkz
otherID: 
IAUC:    UNKNOWN
RA:        193.8217380  deg
DECL:       2.8973100  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pkz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0000
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.104 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 125
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58871.64 g NULL  -38.272 61.739 nan -1.751 0x00
OBS: 58931.45 g NULL  -30.859 67.188 nan -2.364 0x00
OBS: 58941.42 g NULL  121.021 124.699 22.293 1.119 0x00
OBS: 58956.44 g NULL  -17.912 73.940 nan -4.482 0x00
OBS: 58959.34 g NULL  104.379 56.406 22.453 0.587 0x00
OBS: 58964.43 g NULL  230.168 133.040 21.595 0.628 0x00
OBS: 58967.49 g NULL  -56.664 96.450 nan -1.848 0x00
OBS: 58970.31 g NULL  -59.814 105.149 nan -1.909 0x00
OBS: 58986.27 g NULL  72.369 63.223 22.851 0.949 0x00
OBS: 58994.27 g NULL  -3.955 53.638 nan -14.725 0x00
OBS: 58998.27 g NULL  32.536 63.181 23.719 2.108 0x01
OBS: 59015.28 g NULL  128.795 75.025 22.225 0.632 0x00
OBS: 59022.28 g NULL  74.272 70.236 22.823 1.027 0x01
OBS: 59044.27 g NULL  -109.176 69.924 nan -0.695 0x00
OBS: 59048.28 g NULL  68.084 113.819 22.917 1.815 0x00
OBS: 59195.59 g NULL  49.101 82.766 23.272 1.830 0x00
OBS: 59204.66 g NULL  -92.022 100.597 nan -1.187 0x00
OBS: 59222.59 g NULL  73.950 80.781 22.828 1.186 0x00
OBS: 59228.63 g NULL  19.026 71.639 24.302 4.088 0x00
OBS: 59252.54 g NULL  19.109 74.099 24.297 4.210 0x00
OBS: 59256.53 g NULL  99.519 61.543 22.505 0.671 0x00
OBS: 59258.52 g NULL  105.072 111.499 22.446 1.152 0x00
OBS: 59262.57 g NULL  45.521 86.140 23.354 2.055 0x01
OBS: 59292.40 g NULL  -1.782 81.067 nan -49.392 0x00
OBS: 59295.42 g NULL  75.789 106.422 22.801 1.525 0x00
OBS: 59311.35 g NULL  96.199 55.234 22.542 0.623 0x00
OBS: 59316.43 g NULL  -70.391 91.334 nan -1.409 0x00
