SURVEY:  PS1MD
SNID:  2021pwt
otherID: 
IAUC:    UNKNOWN
RA:        242.5103420  deg
DECL:       32.1880440  deg
MWEBV:    0.029 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pwt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0067
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.589 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 144
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58935.59 g NULL  -172.500 129.263 nan -0.814 0x00
OBS: 58935.59 g NULL  -36.021 114.161 nan -3.441 0x00
OBS: 58958.52 g NULL  24.279 69.269 24.037 3.098 0x00
OBS: 58970.49 g NULL  -50.067 80.950 nan -1.755 0x00
OBS: 58970.49 g NULL  47.406 55.241 23.310 1.265 0x00
OBS: 58989.52 g NULL  44.054 66.926 23.390 1.649 0x00
OBS: 59000.51 g NULL  0.555 37.975 28.139 74.290 0x00
OBS: 59013.45 g NULL  202.359 108.088 21.735 0.580 0x00
OBS: 59042.30 g NULL  49.351 44.269 23.267 0.974 0x00
OBS: 59045.28 g NULL  46.862 85.981 23.323 1.992 0x00
OBS: 59050.39 g NULL  28.188 57.083 23.875 2.199 0x00
OBS: 59073.27 g NULL  68.903 107.247 22.904 1.690 0x00
OBS: 59075.26 g NULL  177.711 98.520 21.876 0.602 0x00
OBS: 59075.27 g NULL  4.095 52.632 25.969 13.955 0x00
OBS: 59077.27 g NULL  -51.516 82.801 nan -1.745 0x00
OBS: 59077.27 g NULL  52.044 52.994 23.209 1.106 0x00
OBS: 59079.27 g NULL  79.104 73.376 22.755 1.007 0x00
OBS: 59079.27 g NULL  -35.429 52.570 nan -1.611 0x00
OBS: 59102.25 g NULL  6.786 47.083 25.421 7.533 0x00
OBS: 59106.25 g NULL  35.277 49.803 23.631 1.533 0x00
OBS: 59108.24 g NULL  31.439 50.329 23.756 1.738 0x00
OBS: 59110.24 g NULL  13.501 71.853 24.674 5.778 0x00
OBS: 59114.23 g NULL  223.498 107.858 21.627 0.524 0x00
OBS: 59337.51 g NULL  219.161 72.091 21.648 0.357 0x00
OBS: 59343.39 g NULL  303.572 60.880 21.294 0.218 0x00
OBS: 59347.54 g NULL  314.121 61.404 21.257 0.212 0x00
OBS: 59353.46 g NULL  502.477 69.240 20.747 0.150 0x00
OBS: 59354.36 g NULL  439.514 83.116 20.893 0.205 0x00
OBS: 59355.37 g NULL  441.831 63.086 20.887 0.155 0x00
OBS: 59366.32 g NULL  64.649 51.155 22.974 0.859 0x01
OBS: 59369.46 g NULL  -276.800 132.761 nan -0.521 0x01
OBS: 59369.46 g NULL  131.463 203.217 22.203 1.678 0x00
OBS: 59373.33 g NULL  36.074 60.160 23.607 1.811 0x01
OBS: 59377.50 g NULL  165.711 68.487 21.952 0.449 0x00
OBS: 59381.45 g NULL  40.472 52.160 23.482 1.399 0x00
OBS: 59384.28 g NULL  0.634 120.582 27.995 206.499 0x00
OBS: 59408.40 g NULL  -14.994 31.841 nan -2.306 0x00
OBS: 59412.27 g NULL  49.472 55.483 23.264 1.218 0x00
OBS: 59413.27 g NULL  -70.851 125.640 nan -1.925 0x00
OBS: 59425.27 g NULL  -78.991 81.426 nan -1.119 0x00
OBS: 59426.27 g NULL  10.395 61.816 24.958 6.457 0x00
OBS: 59429.28 g NULL  -15.560 76.742 nan -5.355 0x00
OBS: 59432.34 g NULL  -85.727 72.678 nan -0.920 0x00
OBS: 59438.26 g NULL  87.035 57.940 22.651 0.723 0x00
OBS: 59440.26 g NULL  -53.505 68.308 nan -1.386 0x00
OBS: 59442.26 g NULL  -68.231 96.072 nan -1.529 0x00
OBS: 59469.24 g NULL  32.726 119.442 23.713 3.963 0x00
OBS: 58945.56 r NULL  -25.569 153.357 nan -6.512 0x00
