SURVEY:  PS1MD
SNID:  2021pzh
otherID: 
IAUC:    UNKNOWN
RA:        230.5124780  deg
DECL:       9.7253600  deg
MWEBV:    0.035 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59381.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021pzh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0011
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.496 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 168
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  -92.771 56.106 nan -0.657 0x00
OBS: 58955.46 g NULL  -467.209 115.718 nan -0.269 0x00
OBS: 58958.53 g NULL  39.622 42.839 23.505 1.174 0x00
OBS: 58962.52 g NULL  213.827 239.301 21.675 1.215 0x00
OBS: 58966.51 g NULL  -48.535 43.884 nan -0.982 0x01
OBS: 58968.43 g NULL  -49.491 49.334 nan -1.082 0x00
OBS: 58970.42 g NULL  -80.801 72.976 nan -0.981 0x00
OBS: 58982.52 g NULL  -15.359 82.731 nan -5.848 0x00
OBS: 58986.47 g NULL  -190.548 56.416 nan -0.321 0x00
OBS: 58994.42 g NULL  -43.823 44.875 nan -1.112 0x01
OBS: 58997.34 g NULL  -79.627 52.136 nan -0.711 0x00
OBS: 58999.48 g NULL  17.685 51.892 24.381 3.186 0x00
OBS: 59000.50 g NULL  46.318 48.449 23.336 1.136 0x00
OBS: 59014.41 g NULL  -14.186 57.554 nan -4.405 0x00
OBS: 59017.28 g NULL  26.277 46.372 23.951 1.916 0x00
OBS: 59024.38 g NULL  -16.736 43.139 nan -2.799 0x00
OBS: 59042.36 g NULL  -130.223 48.181 nan -0.402 0x00
OBS: 59048.30 g NULL  -20.162 47.160 nan -2.540 0x00
OBS: 59071.27 g NULL  -16.288 89.249 nan -5.949 0x00
OBS: 59078.27 g NULL  49.814 52.226 23.257 1.138 0x00
OBS: 59081.27 g NULL  -81.277 60.742 nan -0.811 0x00
OBS: 59102.24 g NULL  -15.621 63.287 nan -4.399 0x00
OBS: 59106.24 g NULL  -185.311 55.710 nan -0.326 0x00
OBS: 59110.23 g NULL  42.425 97.307 23.431 2.490 0x00
OBS: 59115.23 g NULL  26.906 77.847 23.925 3.141 0x00
OBS: 59291.54 g NULL  -1.016 82.797 nan -88.480 0x00
OBS: 59310.48 g NULL  -45.339 59.875 nan -1.434 0x00
OBS: 59316.42 g NULL  48.427 117.706 23.287 2.639 0x00
OBS: 59320.54 g NULL  23.218 52.357 24.085 2.448 0x00
OBS: 59337.51 g NULL  -6.480 66.205 nan -11.093 0x00
OBS: 59343.38 g NULL  -88.562 52.677 nan -0.646 0x00
OBS: 59346.39 g NULL  -45.967 49.494 nan -1.169 0x00
OBS: 59350.38 g NULL  -21.367 87.763 nan -4.460 0x01
OBS: 59371.45 g NULL  462.539 66.303 20.837 0.156 0x00
OBS: 59374.46 g NULL  663.161 82.634 20.446 0.135 0x00
OBS: 59377.49 g NULL  737.585 83.234 20.330 0.123 0x01
OBS: 59380.39 g NULL  764.485 101.089 20.292 0.144 0x00
OBS: 59382.29 g NULL  889.020 65.333 20.128 0.080 0x00
OBS: 59383.28 g NULL  742.749 85.464 20.323 0.125 0x00
OBS: 59400.34 g NULL  275.100 47.026 21.401 0.186 0x00
OBS: 59401.36 g NULL  256.141 46.294 21.479 0.196 0x00
OBS: 59406.34 g NULL  131.960 46.970 22.199 0.386 0x00
OBS: 59429.27 g NULL  30.225 113.353 23.799 4.072 0x00
OBS: 59431.27 g NULL  -5.612 55.500 nan -10.737 0x00
OBS: 59433.31 g NULL  38.258 49.237 23.543 1.397 0x00
OBS: 59434.26 g NULL  -21.902 52.476 nan -2.601 0x00
OBS: 59436.26 g NULL  -1.517 69.972 nan -50.080 0x00
OBS: 59438.26 g NULL  -76.854 58.844 nan -0.831 0x00
OBS: 59456.25 g NULL  -41.514 80.578 nan -2.107 0x00
OBS: 59462.26 g NULL  15.253 0.000 24.542 0.000 0x00
OBS: 59487.23 g NULL  399.232 123.783 20.997 0.337 0x00
OBS: 58918.64 r NULL  -268.290 139.235 nan -0.563 0x00
OBS: 58942.49 r NULL  -133.973 194.281 nan -1.574 0x00
OBS: 58951.46 r NULL  115.951 132.254 22.339 1.238 0x00
OBS: 58958.53 r NULL  -62.999 52.007 nan -0.896 0x00
OBS: 58962.53 r NULL  -220.578 121.286 nan -0.597 0x00
OBS: 58968.43 r NULL  -29.701 48.701 nan -1.780 0x00
OBS: 58972.44 r NULL  -46.934 60.856 nan -1.408 0x00
OBS: 58979.36 r NULL  -96.128 139.049 nan -1.571 0x00
OBS: 58986.48 r NULL  -123.206 61.466 nan -0.542 0x00
OBS: 58994.43 r NULL  -32.862 56.510 nan -1.867 0x00
OBS: 58997.34 r NULL  4.605 59.984 25.842 14.143 0x00
OBS: 59010.46 r NULL  -69.370 95.867 nan -1.500 0x00
OBS: 59033.39 r NULL  -52.199 107.946 nan -2.245 0x00
OBS: 59037.37 r NULL  -198.149 85.699 nan -0.470 0x00
OBS: 59039.35 r NULL  51.104 48.960 23.229 1.040 0x00
OBS: 59061.30 r NULL  -247.401 160.459 nan -0.704 0x00
OBS: 59065.27 r NULL  -68.750 60.531 nan -0.956 0x00
OBS: 59068.33 r NULL  -29.991 69.774 nan -2.526 0x00
OBS: 59081.26 r NULL  -26.101 45.835 nan -1.907 0x00
OBS: 59094.25 r NULL  436.525 461.888 20.900 1.149 0x00
OBS: 59096.25 r NULL  -300.170 91.326 nan -0.330 0x00
OBS: 59098.30 r NULL  -232.640 101.148 nan -0.472 0x00
OBS: 59110.24 r NULL  -105.005 85.211 nan -0.881 0x00
OBS: 59119.23 r NULL  -299.435 139.918 nan -0.507 0x00
OBS: 59121.22 r NULL  -159.883 109.801 nan -0.746 0x00
OBS: 59127.22 r NULL  -357.156 296.514 nan -0.901 0x01
OBS: 59129.22 r NULL  -160.399 90.623 nan -0.613 0x00
OBS: 59298.51 r NULL  -100.000 84.006 nan -0.912 0x00
OBS: 59299.61 r NULL  -329.034 82.277 nan -0.271 0x00
