SURVEY:  PS1MD
SNID:  2021qsr
otherID: 
IAUC:    UNKNOWN
RA:        222.9455290  deg
DECL:       -9.4048440  deg
MWEBV:    0.075 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59388.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qsr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.346 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 126
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58933.53 g NULL  182.103 100.677 21.849 0.600 0x00
OBS: 58956.46 g NULL  -53.371 60.036 nan -1.221 0x00
OBS: 58959.47 g NULL  -3.423 48.295 nan -15.319 0x00
OBS: 58967.47 g NULL  160.116 59.553 21.989 0.404 0x00
OBS: 58969.47 g NULL  53.708 83.433 23.175 1.687 0x00
OBS: 58971.39 g NULL  -20.846 75.828 nan -3.949 0x00
OBS: 58972.45 g NULL  105.940 87.251 22.437 0.894 0x00
OBS: 58985.40 g NULL  10.945 45.546 24.902 4.518 0x00
OBS: 58988.48 g NULL  68.477 61.403 22.911 0.974 0x00
OBS: 58990.39 g NULL  41.058 34.603 23.467 0.915 0x00
OBS: 58994.38 g NULL  -3.686 59.316 nan -17.472 0x00
OBS: 58997.34 g NULL  -29.257 55.118 nan -2.045 0x00
OBS: 59015.29 g NULL  22.433 48.501 24.123 2.347 0x00
OBS: 59019.28 g NULL  -383.149 162.408 nan -0.460 0x00
OBS: 59023.28 g NULL  25.991 37.892 23.963 1.583 0x00
OBS: 59027.30 g NULL  -75.530 78.553 nan -1.129 0x00
OBS: 59047.30 g NULL  0.439 42.468 28.394 105.032 0x00
OBS: 59051.29 g NULL  4.344 50.522 25.905 12.627 0x00
OBS: 59080.26 g NULL  -63.143 63.083 nan -1.085 0x00
OBS: 59288.54 g NULL  74.429 50.641 22.821 0.739 0x00
OBS: 59293.58 g NULL  -11.120 68.312 nan -6.670 0x00
OBS: 59310.47 g NULL  102.835 123.305 22.470 1.302 0x00
OBS: 59311.47 g NULL  -19.553 59.235 nan -3.289 0x00
OBS: 59320.48 g NULL  -28.961 47.847 nan -1.794 0x00
OBS: 59323.44 g NULL  41.822 64.163 23.446 1.666 0x00
OBS: 59338.48 g NULL  -122.139 104.353 nan -0.928 0x00
OBS: 59347.43 g NULL  130.771 57.963 22.209 0.481 0x00
