SURVEY:  PS1MD
SNID:  2021qxo
otherID: 
IAUC:    UNKNOWN
RA:        315.9986580  deg
DECL:       -3.4185080  deg
MWEBV:    0.123 +- 0.006 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59390.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qxo.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.398 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 146
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59017.51 g NULL  -79.667 59.506 nan -0.811 0x00
OBS: 59021.54 g NULL  72.374 59.610 22.851 0.894 0x00
OBS: 59022.53 g NULL  -8.278 44.643 nan -5.855 0x00
OBS: 59027.52 g NULL  4.901 79.165 25.774 17.538 0x00
OBS: 59029.45 g NULL  40.840 50.040 23.472 1.330 0x00
OBS: 59046.52 g NULL  -117.164 149.039 nan -1.381 0x00
OBS: 59049.47 g NULL  -65.898 83.501 nan -1.376 0x00
OBS: 59050.49 g NULL  -112.285 89.540 nan -0.866 0x01
OBS: 59055.44 g NULL  -72.464 34.534 nan -0.517 0x00
OBS: 59072.28 g NULL  -49.086 109.714 nan -2.427 0x00
OBS: 59078.40 g NULL  45.751 42.349 23.349 1.005 0x00
OBS: 59082.42 g NULL  89.189 43.024 22.624 0.524 0x01
OBS: 59083.40 g NULL  -52.162 62.494 nan -1.301 0x01
OBS: 59108.25 g NULL  42.240 55.799 23.436 1.434 0x00
OBS: 59110.30 g NULL  35.267 75.064 23.632 2.311 0x00
OBS: 59114.31 g NULL  56.416 54.485 23.121 1.049 0x00
OBS: 59132.23 g NULL  65.986 94.234 22.951 1.551 0x00
OBS: 59137.23 g NULL  40.550 70.632 23.480 1.891 0x00
OBS: 59143.26 g NULL  -25.684 80.948 nan -3.422 0x00
OBS: 59163.25 g NULL  -328.653 78.951 nan -0.261 0x01
OBS: 59167.21 g NULL  107.470 109.879 22.422 1.110 0x00
OBS: 59319.62 g NULL  91.435 110.631 22.597 1.314 0x00
OBS: 59323.60 g NULL  11.467 95.003 24.851 8.995 0x00
OBS: 59342.60 g NULL  100.968 99.808 22.490 1.073 0x09
OBS: 59345.61 g NULL  -25.416 53.250 nan -2.275 0x01
OBS: 59348.60 g NULL  -77.670 90.420 nan -1.264 0x00
OBS: 59351.59 g NULL  60.305 70.607 23.049 1.271 0x00
OBS: 59369.54 g NULL  -215.002 103.937 nan -0.525 0x00
OBS: 59370.57 g NULL  -48.891 77.275 nan -1.716 0x01
OBS: 59373.59 g NULL  -73.202 41.440 nan -0.615 0x00
OBS: 59376.54 g NULL  138.716 49.339 22.145 0.386 0x00
OBS: 59381.58 g NULL  89.532 62.640 22.620 0.760 0x00
OBS: 59396.61 g NULL  934.032 86.264 20.074 0.100 0x00
OBS: 59409.44 g NULL  590.052 57.507 20.573 0.106 0x00
OBS: 59411.54 g NULL  480.918 44.182 20.795 0.100 0x00
OBS: 59413.44 g NULL  273.757 108.295 21.407 0.430 0x00
OBS: 59426.39 g NULL  201.434 70.401 21.740 0.379 0x00
OBS: 59436.33 g NULL  -3.632 95.922 nan -28.675 0x00
OBS: 59439.41 g NULL  11.047 94.215 24.892 9.260 0x00
OBS: 59441.43 g NULL  84.881 56.472 22.678 0.722 0x00
OBS: 59443.44 g NULL  -74.283 72.589 nan -1.061 0x00
OBS: 59466.33 g NULL  -30.253 88.513 nan -3.177 0x00
OBS: 59468.29 g NULL  45.800 96.310 23.348 2.283 0x01
OBS: 59485.28 g NULL  55.368 106.339 23.142 2.085 0x00
OBS: 59488.27 g NULL  29.564 73.278 23.823 2.691 0x01
OBS: 59492.23 g NULL  18.660 144.469 24.323 8.406 0x00
OBS: 59515.21 g NULL  -6.559 52.583 nan -8.704 0x01
OBS: 59516.21 g NULL  62.511 88.327 23.010 1.534 0x00
OBS: 59518.21 g NULL  32.162 49.301 23.732 1.664 0x00
OBS: 59524.35 g NULL  68.511 85.680 22.911 1.358 0x00
OBS: 59017.51 r NULL  68.268 65.412 22.914 1.040 0x00
OBS: 59022.53 r NULL  39.639 53.110 23.505 1.455 0x01
OBS: 59033.53 r NULL  -43.074 88.762 nan -2.237 0x00
OBS: 59041.55 r NULL  -46.290 61.834 nan -1.450 0x00
OBS: 59046.53 r NULL  -202.317 154.612 nan -0.830 0x00
OBS: 59050.49 r NULL  -49.088 97.541 nan -2.157 0x09
OBS: 59055.45 r NULL  1.751 42.220 26.892 26.179 0x00
OBS: 59060.49 r NULL  50.025 53.691 23.252 1.165 0x00
OBS: 59069.36 r NULL  60.188 61.073 23.051 1.102 0x00
OBS: 59078.40 r NULL  -4.967 49.714 nan -10.867 0x00
OBS: 59082.43 r NULL  -39.746 59.251 nan -1.619 0x01
OBS: 59095.42 r NULL  -20.328 133.824 nan -7.148 0x00
OBS: 59108.26 r NULL  75.198 59.400 22.809 0.858 0x00
OBS: 59114.31 r NULL  -76.101 102.843 nan -1.467 0x00
OBS: 59123.22 r NULL  151.071 96.552 22.052 0.694 0x00
OBS: 59126.35 r NULL  61.578 74.123 23.026 1.307 0x00
OBS: 59127.23 r NULL  -29.069 156.612 nan -5.850 0x01
OBS: 59153.25 r NULL  77.966 76.574 22.770 1.066 0x00
OBS: 59155.21 r NULL  -2.239 118.110 nan -57.274 0x00
OBS: 59159.24 r NULL  233.165 169.496 21.581 0.789 0x00
OBS: 59184.21 r NULL  -86.835 95.401 nan -1.193 0x00
OBS: 59319.62 r NULL  161.081 61.969 21.982 0.418 0x00
OBS: 59327.57 r NULL  32.695 81.210 23.714 2.697 0x00
OBS: 59328.59 r NULL  -20.378 117.938 nan -6.284 0x00
OBS: 59332.62 r NULL  -33.810 94.526 nan -3.036 0x00
OBS: 59334.60 r NULL  -134.159 101.353 nan -0.820 0x00
OBS: 59348.61 r NULL  5.456 75.254 25.658 14.975 0x00
OBS: 59356.57 r NULL  -25.614 66.512 nan -2.819 0x01
OBS: 59358.59 r NULL  -38.268 95.046 nan -2.697 0x00
OBS: 59359.56 r NULL  -25.023 106.436 nan -4.618 0x00
OBS: 59361.58 r NULL  7.081 114.201 25.375 17.511 0x00
OBS: 59376.54 r NULL  -8.082 52.425 nan -7.043 0x00
OBS: 59381.57 r NULL  71.037 52.880 22.871 0.808 0x00
OBS: 59385.51 r NULL  243.927 41.497 21.532 0.185 0x01
OBS: 59386.54 r NULL  435.455 35.654 20.903 0.089 0x00
OBS: 59388.58 r NULL  669.916 63.758 20.435 0.103 0x00
OBS: 59415.42 r NULL  603.524 87.963 20.548 0.158 0x00
OBS: 59436.33 r NULL  277.853 69.102 21.390 0.270 0x00
OBS: 59480.37 r NULL  35.970 60.677 23.610 1.832 0x00
OBS: 59481.40 r NULL  287.655 175.189 21.353 0.661 0x00
OBS: 59483.39 r NULL  43.559 88.399 23.402 2.203 0x00
OBS: 59488.28 r NULL  148.920 87.709 22.068 0.639 0x01
OBS: 59492.23 r NULL  134.100 102.331 22.181 0.829 0x00
OBS: 59505.33 r NULL  228.405 160.984 21.603 0.765 0x00
OBS: 59506.29 r NULL  -7.026 113.271 nan -17.504 0x00
OBS: 59507.28 r NULL  7.699 66.386 25.284 9.362 0x00
OBS: 59508.29 r NULL  -35.102 115.139 nan -3.561 0x00
OBS: 59510.26 r NULL  -67.827 49.523 nan -0.793 0x00
OBS: 59511.27 r NULL  111.929 55.013 22.378 0.534 0x00
OBS: 59513.21 r NULL  -4.544 49.070 nan -11.725 0x00
OBS: 59518.21 r NULL  96.351 44.189 22.540 0.498 0x00
OBS: 59524.35 r NULL  63.002 96.285 23.002 1.659 0x00
OBS: 59005.55 i NULL  49.498 74.281 23.264 1.629 0x01
OBS: 59013.56 i NULL  8.923 68.619 25.124 8.349 0x00
OBS: 59029.45 i NULL  -16.879 44.630 nan -2.871 0x00
OBS: 59033.53 i NULL  132.097 85.986 22.198 0.707 0x00
OBS: 59049.48 i NULL  -119.310 84.298 nan -0.767 0x00
OBS: 59060.49 i NULL  -21.177 76.052 nan -3.899 0x00
OBS: 59072.29 i NULL  173.783 88.798 21.900 0.555 0x00
OBS: 59095.42 i NULL  -67.674 99.813 nan -1.601 0x00
OBS: 59110.30 i NULL  51.741 72.219 23.215 1.515 0x00
OBS: 59126.35 i NULL  -69.224 75.699 nan -1.187 0x00
OBS: 59137.23 i NULL  -108.359 69.316 nan -0.695 0x00
OBS: 59143.26 i NULL  73.425 123.560 22.835 1.827 0x00
OBS: 59153.25 i NULL  37.980 73.604 23.551 2.104 0x00
OBS: 59159.24 i NULL  -272.417 193.797 nan -0.772 0x00
OBS: 59167.22 i NULL  0.196 117.649 29.269 651.713 0x00
OBS: 59327.57 i NULL  147.526 100.768 22.078 0.742 0x00
OBS: 59332.61 i NULL  261.659 119.050 21.456 0.494 0x00
OBS: 59345.61 i NULL  -207.807 58.154 nan -0.304 0x00
OBS: 59351.59 i NULL  43.687 96.163 23.399 2.390 0x01
OBS: 59356.57 i NULL  64.907 58.708 22.969 0.982 0x00
OBS: 59358.59 i NULL  77.683 100.940 22.774 1.411 0x00
OBS: 59361.59 i NULL  68.133 105.242 22.917 1.677 0x00
OBS: 59373.59 i NULL  116.859 68.034 22.331 0.632 0x00
OBS: 59386.54 i NULL  568.413 73.605 20.613 0.141 0x00
OBS: 59396.60 i NULL  955.868 88.046 20.049 0.100 0x00
OBS: 59409.44 i NULL  570.788 78.064 20.609 0.148 0x00
OBS: 59413.44 i NULL  504.347 104.082 20.743 0.224 0x00
OBS: 59415.42 i NULL  484.609 84.933 20.787 0.190 0x00
OBS: 59423.49 i NULL  507.197 93.338 20.737 0.200 0x00
