SURVEY:  PS1MD
SNID:  2021qxr
otherID: 
IAUC:    UNKNOWN
RA:        187.0548620  deg
DECL:       10.2956470  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59390.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qxr.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0005
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.570 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 57
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58878.50 g NULL  15.248 94.207 24.542 6.708 0x00
OBS: 58960.29 g NULL  -9.046 47.237 nan -5.670 0x00
OBS: 58967.25 g NULL  10.380 80.206 24.960 8.389 0x00
OBS: 59195.58 g NULL  19.445 94.475 24.278 5.275 0x00
OBS: 59229.58 g NULL  -5.585 47.683 nan -9.270 0x00
OBS: 59231.60 g NULL  59.707 62.174 23.060 1.131 0x00
OBS: 59235.54 g NULL  -0.856 121.632 nan -154.276 0x00
OBS: 59257.52 g NULL  3.001 71.827 26.307 25.986 0x09
OBS: 59295.41 g NULL  -20.585 122.772 nan -6.475 0x01
OBS: 59307.35 g NULL  69.241 73.929 22.899 1.159 0x00
OBS: 59314.31 g NULL  47.716 59.009 23.303 1.343 0x00
OBS: 59319.35 g NULL  -131.541 63.738 nan -0.526 0x00
OBS: 59343.27 g NULL  9.750 43.379 25.027 4.831 0x00
OBS: 59345.27 g NULL  34.902 64.426 23.643 2.004 0x00
OBS: 58878.50 r NULL  77.541 83.139 22.776 1.164 0x00
OBS: 58960.30 r NULL  -8.912 52.125 nan -6.350 0x00
OBS: 59187.64 r NULL  -56.636 80.208 nan -1.538 0x00
OBS: 59209.63 r NULL  39.161 80.114 23.518 2.221 0x00
OBS: 59214.63 r NULL  -31.011 130.697 nan -4.576 0x00
OBS: 59231.60 r NULL  -84.706 57.477 nan -0.737 0x00
OBS: 59255.52 r NULL  -8.570 80.345 nan -10.179 0x00
OBS: 59268.47 r NULL  30.239 81.116 23.799 2.912 0x00
OBS: 59305.32 r NULL  79.044 70.801 22.755 0.973 0x00
OBS: 59314.31 r NULL  12.470 51.862 24.760 4.516 0x00
OBS: 59319.35 r NULL  31.202 49.228 23.765 1.713 0x00
OBS: 59343.28 r NULL  19.975 38.431 24.249 2.089 0x00
OBS: 59347.37 r NULL  90.307 60.840 22.611 0.731 0x00
OBS: 59359.35 r NULL  115.599 144.608 22.343 1.358 0x00
OBS: 59362.36 r NULL  84.791 98.682 22.679 1.264 0x00
OBS: 59374.32 r NULL  51.674 82.552 23.217 1.735 0x00
OBS: 59379.33 r NULL  130.388 82.959 22.212 0.691 0x01
OBS: 59387.27 r NULL  1576.544 173.986 19.506 0.120 0x01
OBS: 59391.29 r NULL  2372.066 104.540 19.062 0.048 0x00
OBS: 59393.27 r NULL  2607.661 74.426 18.959 0.031 0x00
OBS: 59395.30 r NULL  2834.652 82.979 18.869 0.032 0x00
OBS: 58967.25 i NULL  56.611 77.548 23.118 1.487 0x00
OBS: 59195.58 i NULL  136.500 92.648 22.162 0.737 0x00
OBS: 59200.64 i NULL  162.529 67.175 21.973 0.449 0x00
OBS: 59209.62 i NULL  47.344 95.590 23.312 2.192 0x00
OBS: 59229.58 i NULL  19.754 69.034 24.261 3.794 0x00
OBS: 59243.56 i NULL  77.519 126.287 22.776 1.769 0x00
OBS: 59257.51 i NULL  -9.117 63.531 nan -7.566 0x01
OBS: 59293.41 i NULL  -27.493 128.153 nan -5.061 0x00
OBS: 59307.35 i NULL  86.186 86.259 22.661 1.087 0x00
OBS: 59336.43 i NULL  -126.925 111.534 nan -0.954 0x00
OBS: 59345.27 i NULL  -149.927 69.649 nan -0.504 0x00
OBS: 59362.36 i NULL  113.007 77.539 22.367 0.745 0x00
OBS: 59371.33 i NULL  -29.618 94.504 nan -3.464 0x00
OBS: 59377.30 i NULL  23.251 55.584 24.084 2.596 0x00
OBS: 59391.29 i NULL  1677.732 88.021 19.438 0.057 0x00
OBS: 59395.30 i NULL  1941.464 103.691 19.280 0.058 0x00
OBS: 59187.64 z NULL  45.256 146.676 23.361 3.519 0x00
OBS: 59205.65 z NULL  91.021 95.309 22.602 1.137 0x00
OBS: 59214.63 z NULL  130.550 173.763 22.211 1.445 0x01
OBS: 59235.54 z NULL  -23.642 204.568 nan -9.395 0x00
OBS: 59268.46 z NULL  85.173 94.269 22.674 1.202 0x00
OBS: 59278.47 z NULL  -93.318 205.536 nan -2.391 0x00
OBS: 59295.41 z NULL  114.793 167.058 22.350 1.580 0x01
OBS: 59305.32 z NULL  -222.963 124.186 nan -0.605 0x00
OBS: 59338.28 z NULL  -244.508 135.291 nan -0.601 0x00
OBS: 59359.35 z NULL  10.091 165.290 24.990 17.784 0x00
OBS: 59364.37 z NULL  -20.661 129.347 nan -6.797 0x01
OBS: 59367.32 z NULL  -22.394 125.524 nan -6.086 0x00
OBS: 59393.27 z NULL  1452.228 127.878 19.595 0.096 0x00
OBS: 59397.30 z NULL  1465.641 113.576 19.585 0.084 0x00
END:
