SURVEY:  PS1MD
SNID:  2021qzi
otherID: 
IAUC:    UNKNOWN
RA:        311.3077980  deg
DECL:       -5.6194320  deg
MWEBV:    0.052 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021qzi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.463 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 90
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -15.863 93.319 nan -6.387 0x00
OBS: 59022.53 g NULL  108.340 48.457 22.413 0.486 0x01
OBS: 59027.51 g NULL  60.321 78.342 23.049 1.410 0x00
OBS: 59050.49 g NULL  -47.590 97.796 nan -2.231 0x01
OBS: 59072.28 g NULL  30.391 56.087 23.793 2.004 0x00
OBS: 59078.40 g NULL  44.621 66.313 23.376 1.614 0x00
OBS: 59083.40 g NULL  30.187 92.786 23.800 3.337 0x01
OBS: 59110.30 g NULL  3.013 93.393 26.303 33.654 0x01
OBS: 59114.31 g NULL  26.602 78.153 23.938 3.190 0x00
OBS: 59137.23 g NULL  -0.383 61.775 nan -175.121 0x09
OBS: 59139.23 g NULL  4.283 76.424 25.921 19.373 0x00
OBS: 59163.25 g NULL  184.051 54.952 21.838 0.324 0x00
OBS: 59167.21 g NULL  -140.309 97.798 nan -0.757 0x00
OBS: 59319.62 g NULL  -0.589 73.967 nan -136.347 0x00
OBS: 59323.60 g NULL  -6.994 57.818 nan -8.976 0x00
OBS: 59376.54 g NULL  115.168 77.889 22.347 0.734 0x00
OBS: 59381.57 g NULL  -69.532 57.609 nan -0.900 0x00
OBS: 59396.61 g NULL  5062.463 133.851 18.239 0.029 0x00
OBS: 59402.46 g NULL  4182.221 95.326 18.446 0.025 0x00
OBS: 59403.46 g NULL  4219.725 88.578 18.437 0.023 0x01
OBS: 59404.51 g NULL  4211.073 86.804 18.439 0.022 0x00
OBS: 59405.46 g NULL  4143.698 86.717 18.457 0.023 0x00
OBS: 59411.54 g NULL  3344.804 67.428 18.689 0.022 0x00
OBS: 59413.44 g NULL  3239.231 139.611 18.724 0.047 0x01
OBS: 59426.39 g NULL  2243.549 103.397 19.123 0.050 0x00
OBS: 59429.41 g NULL  1796.285 81.075 19.364 0.049 0x00
OBS: 59436.33 g NULL  1985.886 110.729 19.255 0.061 0x00
OBS: 59441.43 g NULL  1701.355 86.648 19.423 0.055 0x00
OBS: 59443.44 g NULL  1757.040 106.837 19.388 0.066 0x00
OBS: 59456.47 g NULL  1508.985 104.721 19.553 0.075 0x00
OBS: 59466.33 g NULL  1528.324 95.060 19.539 0.068 0x00
OBS: 59469.28 g NULL  1317.555 100.826 19.701 0.083 0x00
OBS: 59485.28 g NULL  1036.085 81.618 19.962 0.086 0x00
OBS: 59033.53 r NULL  -17.192 89.013 nan -5.621 0x00
OBS: 59041.55 r NULL  66.533 60.525 22.942 0.988 0x00
OBS: 59050.48 r NULL  22.976 65.861 24.097 3.112 0x00
OBS: 59060.49 r NULL  24.180 82.667 24.041 3.712 0x00
OBS: 59078.39 r NULL  28.808 55.182 23.851 2.080 0x00
OBS: 59097.41 r NULL  97.883 69.153 22.523 0.767 0x00
OBS: 59100.33 r NULL  -36.751 55.808 nan -1.649 0x00
OBS: 59114.31 r NULL  -171.442 98.070 nan -0.621 0x00
OBS: 59139.23 r NULL  52.503 73.252 23.200 1.515 0x00
OBS: 59153.25 r NULL  49.879 87.705 23.255 1.909 0x00
OBS: 59155.21 r NULL  -65.439 107.316 nan -1.781 0x00
OBS: 59159.24 r NULL  -28.452 206.292 nan -7.872 0x00
OBS: 59319.62 r NULL  -89.452 59.576 nan -0.723 0x00
OBS: 59328.59 r NULL  197.326 116.843 21.762 0.643 0x00
OBS: 59329.61 r NULL  -73.254 131.011 nan -1.942 0x00
OBS: 59376.54 r NULL  -58.793 55.811 nan -1.031 0x00
OBS: 59381.57 r NULL  -93.054 48.314 nan -0.564 0x00
OBS: 59386.54 r NULL  -30.602 52.982 nan -1.880 0x00
OBS: 59403.45 r NULL  4726.654 73.109 18.314 0.017 0x00
OBS: 59405.46 r NULL  4623.786 85.981 18.338 0.020 0x00
OBS: 59423.48 r NULL  3663.194 96.772 18.590 0.029 0x00
OBS: 59429.41 r NULL  3394.147 111.381 18.673 0.036 0x00
OBS: 59436.33 r NULL  3386.778 90.369 18.676 0.029 0x00
OBS: 59480.37 r NULL  2677.329 103.797 18.931 0.042 0x00
OBS: 59506.29 r NULL  1602.262 110.099 19.488 0.075 0x00
OBS: 59507.28 r NULL  1475.161 113.920 19.578 0.084 0x00
OBS: 59508.29 r NULL  1250.741 91.372 19.757 0.079 0x00
OBS: 59511.27 r NULL  891.525 86.322 20.125 0.105 0x09
OBS: 59013.56 i NULL  -20.419 64.309 nan -3.419 0x00
OBS: 59033.53 i NULL  -112.710 110.853 nan -1.068 0x00
OBS: 59060.49 i NULL  -110.269 92.549 nan -0.911 0x00
OBS: 59072.28 i NULL  21.910 47.485 24.148 2.353 0x00
OBS: 59137.23 i NULL  64.082 47.602 22.983 0.807 0x00
OBS: 59153.25 i NULL  59.964 89.373 23.055 1.618 0x00
OBS: 59159.23 i NULL  -176.516 531.548 nan -3.270 0x00
OBS: 59167.21 i NULL  -31.956 100.839 nan -3.426 0x00
OBS: 59329.61 i NULL  133.718 123.280 22.185 1.001 0x00
OBS: 59386.54 i NULL  -39.296 53.298 nan -1.473 0x00
OBS: 59396.60 i NULL  4438.828 96.298 18.382 0.024 0x00
OBS: 59402.46 i NULL  4441.220 95.938 18.381 0.023 0x00
OBS: 59404.50 i NULL  4525.800 71.383 18.361 0.017 0x00
OBS: 59413.44 i NULL  4017.645 141.153 18.490 0.038 0x00
OBS: 59423.49 i NULL  3606.571 95.873 18.607 0.029 0x00
OBS: 59441.43 i NULL  3404.979 88.499 18.670 0.028 0x00
OBS: 59466.33 i NULL  3491.415 72.326 18.642 0.022 0x00
OBS: 59469.28 i NULL  3388.415 100.499 18.675 0.032 0x00
OBS: 59480.36 i NULL  3269.674 86.801 18.714 0.029 0x00
OBS: 59506.29 i NULL  2005.648 115.604 19.244 0.063 0x00
OBS: 59508.29 i NULL  1221.112 169.083 19.783 0.150 0x00
OBS: 59027.52 z NULL  252.426 79.360 21.495 0.341 0x00
OBS: 59041.55 z NULL  33.922 126.522 23.674 4.050 0x00
OBS: 59097.41 z NULL  -185.355 134.611 nan -0.788 0x00
OBS: 59100.34 z NULL  34.084 109.147 23.669 3.477 0x00
OBS: 59155.21 z NULL  -217.120 189.062 nan -0.945 0x00
OBS: 59163.20 z NULL  -162.056 226.054 nan -1.515 0x00
OBS: 59323.60 z NULL  -81.387 182.465 nan -2.434 0x00
OBS: 59328.59 z NULL  -70.886 134.218 nan -2.056 0x00
OBS: 59388.58 z NULL  18.815 85.179 24.314 4.915 0x00
OBS: 59411.54 z NULL  3917.170 148.525 18.518 0.041 0x00
OBS: 59426.39 z NULL  3735.892 109.056 18.569 0.032 0x00
OBS: 59443.44 z NULL  3419.595 132.423 18.665 0.042 0x00
OBS: 59456.47 z NULL  3613.697 165.673 18.605 0.050 0x00
OBS: 59481.40 z NULL  2880.124 301.133 18.851 0.114 0x00
OBS: 59485.29 z NULL  3313.259 101.256 18.699 0.033 0x01
OBS: 59507.28 z NULL  1911.540 130.006 19.297 0.074 0x00
OBS: 59511.27 z NULL  993.336 120.220 20.007 0.131 0x00
END:
