SURVEY:  PS1MD
SNID:  2021rgs
otherID: 
IAUC:    UNKNOWN
RA:        184.9123540  deg
DECL:       11.9976330  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59396.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rgs.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0008
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.686 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 111
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58846.66 g NULL  -42.815 134.474 nan -3.410 0x00
OBS: 58849.65 g NULL  -148.033 78.197 nan -0.574 0x00
OBS: 58868.57 g NULL  -207.282 80.079 nan -0.419 0x01
OBS: 58878.50 g NULL  -97.597 108.449 nan -1.206 0x00
OBS: 58932.51 g NULL  -94.244 73.321 nan -0.845 0x00
OBS: 58956.44 g NULL  -72.812 62.333 nan -0.929 0x00
OBS: 58958.41 g NULL  -120.167 45.539 nan -0.411 0x00
OBS: 58960.29 g NULL  -84.609 57.936 nan -0.743 0x00
OBS: 58964.42 g NULL  -297.726 195.577 nan -0.713 0x00
OBS: 58967.25 g NULL  -18.511 79.388 nan -4.656 0x00
OBS: 58970.30 g NULL  156.833 88.911 22.011 0.616 0x00
OBS: 58985.37 g NULL  -63.213 53.751 nan -0.923 0x00
OBS: 58989.26 g NULL  38.506 51.337 23.536 1.448 0x00
OBS: 59013.28 g NULL  -28.714 65.335 nan -2.470 0x00
OBS: 59016.27 g NULL  -72.064 51.969 nan -0.783 0x00
OBS: 59020.29 g NULL  -9.183 187.832 nan -22.208 0x00
OBS: 59043.27 g NULL  -47.946 88.759 nan -2.010 0x00
OBS: 59047.27 g NULL  -272.813 187.869 nan -0.748 0x00
OBS: 59051.27 g NULL  5.361 65.045 25.677 13.173 0x00
OBS: 59195.58 g NULL  -506.264 101.460 nan -0.218 0x01
OBS: 59200.64 g NULL  30.465 74.629 23.790 2.660 0x00
OBS: 59205.64 g NULL  -35.437 46.511 nan -1.425 0x00
OBS: 59225.60 g NULL  -6.826 79.368 nan -12.624 0x00
OBS: 59229.58 g NULL  1.366 55.331 27.161 43.979 0x00
OBS: 59231.60 g NULL  -51.629 74.286 nan -1.562 0x00
OBS: 59235.54 g NULL  -57.535 150.460 nan -2.839 0x00
OBS: 59255.53 g NULL  -4.774 89.329 nan -20.316 0x01
OBS: 59257.52 g NULL  -9.688 58.457 nan -6.551 0x00
OBS: 59278.46 g NULL  -130.499 133.737 nan -1.113 0x00
OBS: 59291.42 g NULL  -89.106 89.266 nan -1.088 0x00
OBS: 59295.41 g NULL  80.109 104.880 22.741 1.421 0x00
OBS: 59307.35 g NULL  -171.026 91.164 nan -0.579 0x00
OBS: 59313.47 g NULL  141.514 64.212 22.123 0.493 0x00
OBS: 59314.31 g NULL  22.003 58.507 24.144 2.887 0x00
OBS: 59316.46 g NULL  -55.762 75.571 nan -1.471 0x00
OBS: 59319.35 g NULL  -2.289 65.525 nan -31.080 0x00
OBS: 59322.49 g NULL  19.136 80.192 24.295 4.550 0x01
OBS: 59343.27 g NULL  18.880 55.129 24.310 3.170 0x00
OBS: 59345.27 g NULL  -156.678 87.766 nan -0.608 0x00
OBS: 59380.28 g NULL  223.398 121.342 21.627 0.590 0x00
OBS: 58846.66 r NULL  -243.605 131.735 nan -0.587 0x00
OBS: 58878.50 r NULL  0.077 84.571 30.284 1192.491 0x00
OBS: 58950.33 r NULL  151.893 102.792 22.046 0.735 0x00
OBS: 58956.44 r NULL  -56.903 61.946 nan -1.182 0x00
OBS: 58960.30 r NULL  -23.201 55.492 nan -2.597 0x00
OBS: 58964.42 r NULL  -59.760 293.164 nan -5.326 0x00
OBS: 58980.37 r NULL  71.293 69.115 22.867 1.053 0x01
OBS: 58989.26 r NULL  -57.264 63.454 nan -1.203 0x00
OBS: 59008.29 r NULL  12.073 53.158 24.795 4.781 0x00
OBS: 59032.29 r NULL  -55.869 113.291 nan -2.202 0x00
OBS: 59037.28 r NULL  -246.221 53.186 nan -0.235 0x00
OBS: 59039.29 r NULL  137.039 140.721 22.158 1.115 0x00
OBS: 59041.28 r NULL  12.826 71.515 24.730 6.054 0x00
