SURVEY:  PS1MD
SNID:  2021rmi
otherID: 
IAUC:    UNKNOWN
RA:        222.5831460  deg
DECL:       41.5646250  deg
MWEBV:    0.014 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rmi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.550 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 146
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58866.66 g NULL  140.589 75.214 22.130 0.581 0x00
OBS: 58873.62 g NULL  75.657 50.400 22.803 0.723 0x00
OBS: 58877.64 g NULL  -95.190 172.866 nan -1.972 0x00
OBS: 58929.54 g NULL  -673.335 89.448 nan -0.144 0x01
OBS: 58933.51 g NULL  -108.579 92.859 nan -0.929 0x00
OBS: 58956.47 g NULL  29.416 61.870 23.829 2.284 0x00
OBS: 58960.46 g NULL  46.417 58.594 23.333 1.371 0x00
OBS: 58965.49 g NULL  83.522 112.255 22.695 1.459 0x00
OBS: 58969.38 g NULL  -204.323 173.584 nan -0.922 0x00
OBS: 58971.41 g NULL  307.414 84.398 21.281 0.298 0x00
OBS: 58972.43 g NULL  352.655 171.999 21.132 0.530 0x09
OBS: 58982.46 g NULL  37.878 95.199 23.554 2.729 0x00
OBS: 58984.29 g NULL  161.948 58.491 21.977 0.392 0x00
OBS: 58987.39 g NULL  112.662 88.584 22.371 0.854 0x00
OBS: 58992.29 g NULL  210.895 92.397 21.690 0.476 0x00
OBS: 59014.42 g NULL  203.720 78.982 21.727 0.421 0x00
OBS: 59017.29 g NULL  139.769 70.764 22.136 0.550 0x00
OBS: 59021.29 g NULL  19.598 57.965 24.269 3.211 0x00
OBS: 59022.29 g NULL  64.567 107.830 22.975 1.813 0x00
OBS: 59042.30 g NULL  20.316 65.115 24.230 3.480 0x00
OBS: 59047.27 g NULL  -29.311 75.349 nan -2.791 0x00
OBS: 59051.28 g NULL  10.603 60.518 24.936 6.197 0x00
OBS: 59058.30 g NULL  70.075 166.083 22.886 2.573 0x00
OBS: 59072.27 g NULL  -4.505 73.008 nan -17.595 0x00
OBS: 59078.26 g NULL  -30.177 81.221 nan -2.922 0x00
OBS: 59081.26 g NULL  246.565 78.469 21.520 0.346 0x00
OBS: 59104.24 g NULL  -37.384 79.399 nan -2.306 0x00
OBS: 59226.63 g NULL  -22.779 88.538 nan -4.220 0x00
OBS: 59236.66 g NULL  85.584 102.861 22.669 1.305 0x00
OBS: 59257.57 g NULL  3.114 59.782 26.267 20.844 0x00
OBS: 59292.56 g NULL  30.518 97.009 23.789 3.451 0x00
OBS: 59296.53 g NULL  43.294 218.720 23.409 5.485 0x00
OBS: 59313.53 g NULL  8.956 72.302 25.120 8.765 0x00
OBS: 59317.49 g NULL  258.151 85.336 21.470 0.359 0x00
OBS: 59321.46 g NULL  -208.069 62.751 nan -0.327 0x01
OBS: 59349.46 g NULL  71.538 70.637 22.864 1.072 0x00
OBS: 59351.37 g NULL  165.339 85.849 21.954 0.564 0x00
OBS: 59367.35 g NULL  148.320 60.541 22.072 0.443 0x00
OBS: 59372.34 g NULL  41.250 63.836 23.461 1.680 0x00
OBS: 59376.39 g NULL  126.031 62.184 22.249 0.536 0x00
OBS: 59380.35 g NULL  26.746 129.095 23.932 5.241 0x00
OBS: 59382.27 g NULL  258.767 62.492 21.468 0.262 0x00
OBS: 59383.27 g NULL  440.203 85.681 20.891 0.211 0x00
OBS: 59384.27 g NULL  593.435 115.206 20.567 0.211 0x00
OBS: 59398.30 g NULL  1167.401 123.079 19.832 0.114 0x00
OBS: 58873.62 r NULL  30.050 71.215 23.805 2.573 0x00
OBS: 58883.65 r NULL  486.743 115.565 20.782 0.258 0x00
OBS: 58929.54 r NULL  10.305 77.877 24.967 8.205 0x00
OBS: 58933.52 r NULL  -332.845 127.257 nan -0.415 0x00
OBS: 58942.49 r NULL  512.460 144.388 20.726 0.306 0x00
