SURVEY:  PS1MD
SNID:  2021rui
otherID: 
IAUC:    UNKNOWN
RA:        226.5882540  deg
DECL:       -11.1694430  deg
MWEBV:    0.105 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021rui.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0062
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.582 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 145
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58929.59 g NULL  -134.996 72.286 nan -0.581 0x00
OBS: 58933.53 g NULL  100.512 108.657 22.494 1.174 0x00
OBS: 58959.47 g NULL  39.085 68.620 23.520 1.906 0x00
OBS: 58964.49 g NULL  -48.419 82.097 nan -1.841 0x00
OBS: 58967.47 g NULL  14.097 46.205 24.627 3.559 0x00
OBS: 58969.47 g NULL  -4.550 103.894 nan -24.792 0x00
OBS: 58971.39 g NULL  -13.954 80.314 nan -6.249 0x00
OBS: 58972.45 g NULL  -42.159 67.352 nan -1.735 0x00
OBS: 58983.47 g NULL  81.670 71.346 22.720 0.948 0x00
OBS: 58985.40 g NULL  131.199 49.857 22.205 0.413 0x00
OBS: 58988.48 g NULL  26.050 66.588 23.960 2.775 0x09
OBS: 58990.39 g NULL  22.247 39.015 24.132 1.904 0x00
OBS: 58994.38 g NULL  -12.690 59.254 nan -5.070 0x01
OBS: 58999.38 g NULL  40.094 50.983 23.492 1.381 0x00
OBS: 59019.28 g NULL  4.249 264.205 25.929 67.512 0x00
OBS: 59023.28 g NULL  -16.654 47.950 nan -3.126 0x00
OBS: 59027.30 g NULL  156.304 76.630 22.015 0.532 0x00
OBS: 59043.28 g NULL  38.198 45.525 23.545 1.294 0x00
OBS: 59047.30 g NULL  49.720 73.953 23.259 1.615 0x00
OBS: 59051.29 g NULL  -11.719 50.911 nan -4.717 0x00
OBS: 59054.27 g NULL  -61.159 82.212 nan -1.459 0x00
OBS: 59076.28 g NULL  677.504 364.682 20.423 0.584 0x00
OBS: 59080.26 g NULL  15.535 47.421 24.522 3.314 0x00
OBS: 59293.58 g NULL  8.458 77.144 25.182 9.903 0x00
OBS: 59310.47 g NULL  176.774 81.831 21.881 0.503 0x00
OBS: 59311.47 g NULL  -8.952 51.699 nan -6.270 0x00
OBS: 59320.48 g NULL  83.313 40.461 22.698 0.527 0x00
OBS: 59323.44 g NULL  -47.617 67.852 nan -1.547 0x00
OBS: 59338.48 g NULL  -72.608 70.807 nan -1.059 0x01
OBS: 59344.45 g NULL  43.196 49.058 23.411 1.233 0x00
OBS: 59347.43 g NULL  31.562 49.238 23.752 1.694 0x00
OBS: 59352.43 g NULL  96.588 61.857 22.538 0.695 0x00
OBS: 59366.34 g NULL  31.047 37.348 23.770 1.306 0x00
OBS: 59368.36 g NULL  -126.537 124.113 nan -1.065 0x00
OBS: 59372.34 g NULL  29.834 37.908 23.813 1.380 0x00
OBS: 59375.36 g NULL  3.362 90.185 26.184 29.125 0x00
OBS: 59378.38 g NULL  -42.327 70.134 nan -1.799 0x00
OBS: 59381.33 g NULL  -153.251 111.899 nan -0.793 0x09
OBS: 59382.28 g NULL  43.587 51.163 23.402 1.274 0x00
OBS: 59396.31 g NULL  271.752 50.504 21.415 0.202 0x00
OBS: 59404.29 g NULL  241.502 71.815 21.543 0.323 0x00
OBS: 59405.30 g NULL  347.883 45.038 21.146 0.141 0x00
OBS: 59408.27 g NULL  253.987 40.501 21.488 0.173 0x00
OBS: 59425.27 g NULL  32.689 72.995 23.714 2.424 0x00
OBS: 59426.27 g NULL  137.024 53.681 22.158 0.425 0x00
OBS: 59430.27 g NULL  11.237 56.981 24.873 5.506 0x00
OBS: 59435.26 g NULL  118.451 52.760 22.316 0.484 0x00
OBS: 59455.25 g NULL  -48.045 81.612 nan -1.844 0x00
OBS: 59457.25 g NULL  0.034 41.757 31.171 1333.444 0x00
OBS: 58929.60 r NULL  62.649 60.994 23.008 1.057 0x00
OBS: 58942.50 r NULL  134.457 210.396 22.179 1.699 0x00
OBS: 58967.47 r NULL  2.288 56.768 26.601 26.938 0x00
OBS: 58990.40 r NULL  24.899 33.916 24.010 1.479 0x00
OBS: 59023.29 r NULL  -20.638 40.287 nan -2.119 0x00
OBS: 59034.29 r NULL  -74.000 113.433 nan -1.664 0x00
