SURVEY:  PS1MD
SNID:  2021sfe
otherID: 
IAUC:    UNKNOWN
RA:        318.1554210  deg
DECL:       -0.6148750  deg
MWEBV:    0.056 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021sfe.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0016
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.411 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 147
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  50.280 47.984 23.247 1.036 0x00
OBS: 59021.54 g NULL  52.596 69.927 23.198 1.443 0x00
OBS: 59027.52 g NULL  -15.324 82.559 nan -5.849 0x00
OBS: 59029.45 g NULL  67.051 48.839 22.934 0.791 0x00
OBS: 59046.52 g NULL  159.808 167.996 21.991 1.141 0x00
OBS: 59055.44 g NULL  -16.597 51.730 nan -3.384 0x01
OBS: 59072.28 g NULL  -0.316 58.179 nan -199.896 0x00
OBS: 59075.36 g NULL  13.626 34.518 24.664 2.750 0x00
OBS: 59082.42 g NULL  -1.786 52.765 nan -32.077 0x00
OBS: 59083.40 g NULL  -108.705 60.624 nan -0.606 0x01
OBS: 59110.30 g NULL  -37.064 61.071 nan -1.789 0x00
OBS: 59114.31 g NULL  -125.186 52.044 nan -0.451 0x00
OBS: 59132.23 g NULL  48.543 110.617 23.285 2.474 0x00
OBS: 59137.23 g NULL  -31.455 39.262 nan -1.355 0x00
OBS: 59143.26 g NULL  -182.683 78.975 nan -0.469 0x00
OBS: 59163.25 g NULL  45.062 90.894 23.365 2.190 0x00
OBS: 59167.21 g NULL  -46.728 102.899 nan -2.391 0x00
OBS: 59323.60 g NULL  -37.730 48.859 nan -1.406 0x00
OBS: 59342.61 g NULL  8.505 38.656 25.176 4.935 0x00
OBS: 59345.61 g NULL  17.190 50.266 24.412 3.175 0x01
OBS: 59369.54 g NULL  -199.806 114.030 nan -0.620 0x00
OBS: 59370.57 g NULL  -62.643 51.002 nan -0.884 0x00
OBS: 59373.59 g NULL  15.541 59.175 24.521 4.134 0x01
OBS: 59376.54 g NULL  -11.433 46.049 nan -4.373 0x00
OBS: 59379.50 g NULL  -73.015 57.959 nan -0.862 0x00
OBS: 59381.58 g NULL  -69.268 53.841 nan -0.844 0x00
OBS: 59396.61 g NULL  506.870 106.858 20.738 0.229 0x00
OBS: 59403.46 g NULL  698.425 69.865 20.390 0.109 0x00
OBS: 59404.51 g NULL  638.258 53.140 20.488 0.090 0x00
OBS: 59405.46 g NULL  718.054 63.536 20.360 0.096 0x00
OBS: 59409.44 g NULL  733.926 80.810 20.336 0.120 0x00
OBS: 59413.44 g NULL  418.591 81.493 20.946 0.211 0x00
OBS: 59426.39 g NULL  115.581 46.580 22.343 0.438 0x00
OBS: 59429.41 g NULL  45.753 92.749 23.349 2.201 0x01
OBS: 59432.45 g NULL  62.576 63.279 23.009 1.098 0x00
OBS: 59436.33 g NULL  23.839 43.919 24.057 2.000 0x00
OBS: 59439.41 g NULL  -50.307 75.762 nan -1.635 0x00
OBS: 59441.43 g NULL  77.902 58.201 22.771 0.811 0x00
OBS: 59443.44 g NULL  -11.915 87.079 nan -7.935 0x00
OBS: 59461.35 g NULL  -6.579 97.541 nan -16.097 0x00
OBS: 59466.33 g NULL  11.441 60.690 24.854 5.759 0x01
OBS: 59468.29 g NULL  51.514 64.166 23.220 1.352 0x00
OBS: 59485.29 g NULL  57.434 33.794 23.102 0.639 0x00
OBS: 59487.23 g NULL  35.679 56.709 23.619 1.726 0x00
OBS: 59488.28 g NULL  -1.344 66.606 nan -53.807 0x01
OBS: 59494.22 g NULL  -74.918 71.433 nan -1.035 0x00
OBS: 59515.21 g NULL  -29.161 43.071 nan -1.604 0x00
OBS: 59518.21 g NULL  8.111 30.363 25.227 4.064 0x01
OBS: 59030.49 r NULL  -28.768 43.494 nan -1.642 0x01
OBS: 59033.54 r NULL  171.968 82.054 21.911 0.518 0x01
OBS: 59041.55 r NULL  53.835 61.774 23.172 1.246 0x00
OBS: 59046.53 r NULL  -72.943 120.198 nan -1.789 0x00
OBS: 59055.45 r NULL  46.901 34.754 23.322 0.805 0x00
OBS: 59068.41 r NULL  47.241 83.514 23.314 1.919 0x00
OBS: 59069.36 r NULL  -5.821 48.188 nan -8.988 0x00
OBS: 59082.43 r NULL  79.284 53.651 22.752 0.735 0x00
OBS: 59095.42 r NULL  -43.478 87.862 nan -2.194 0x00
OBS: 59097.41 r NULL  23.342 74.079 24.080 3.446 0x00
OBS: 59099.42 r NULL  185.701 98.095 21.828 0.574 0x00
OBS: 59114.31 r NULL  -46.063 79.441 nan -1.872 0x00
OBS: 59126.35 r NULL  149.182 70.382 22.066 0.512 0x00
OBS: 59127.23 r NULL  -184.927 89.731 nan -0.527 0x00
OBS: 59129.23 r NULL  63.669 53.907 22.990 0.919 0x00
OBS: 59153.25 r NULL  -79.386 74.367 nan -1.017 0x00
OBS: 59155.21 r NULL  -9.344 100.354 nan -11.661 0x01
OBS: 59159.24 r NULL  223.301 255.681 21.628 1.243 0x00
OBS: 59319.62 r NULL  110.796 95.223 22.389 0.933 0x09
OBS: 59327.57 r NULL  -13.275 86.519 nan -7.076 0x00
OBS: 59328.59 r NULL  -185.778 121.921 nan -0.713 0x00
OBS: 59329.61 r NULL  -20.995 118.366 nan -6.121 0x00
OBS: 59332.62 r NULL  262.050 112.996 21.454 0.468 0x00
OBS: 59334.60 r NULL  -5.571 75.124 nan -14.641 0x00
OBS: 59342.60 r NULL  36.258 37.722 23.601 1.130 0x00
OBS: 59356.57 r NULL  -38.147 43.998 nan -1.252 0x00
OBS: 59358.59 r NULL  88.736 75.254 22.630 0.921 0x00
OBS: 59359.56 r NULL  -23.958 89.279 nan -4.046 0x00
OBS: 59361.58 r NULL  64.713 128.881 22.973 2.162 0x01
OBS: 59376.54 r NULL  -55.402 49.772 nan -0.975 0x00
OBS: 59381.57 r NULL  1.629 51.865 26.970 34.568 0x00
OBS: 59385.51 r NULL  98.855 54.025 22.513 0.593 0x00
OBS: 59386.54 r NULL  118.399 33.182 22.317 0.304 0x00
OBS: 59388.58 r NULL  236.686 76.220 21.565 0.350 0x01
OBS: 59403.46 r NULL  685.049 56.911 20.411 0.090 0x00
OBS: 59405.47 r NULL  706.880 52.706 20.377 0.081 0x00
OBS: 59415.42 r NULL  445.879 71.863 20.877 0.175 0x00
OBS: 59429.41 r NULL  247.429 95.014 21.516 0.417 0x00
OBS: 59436.33 r NULL  147.965 51.455 22.075 0.378 0x00
OBS: 59451.32 r NULL  234.926 110.702 21.573 0.512 0x01
OBS: 59461.34 r NULL  132.199 103.390 22.197 0.849 0x00
OBS: 59468.29 r NULL  130.451 67.096 22.211 0.558 0x01
OBS: 59481.40 r NULL  -54.996 246.841 nan -4.873 0x00
OBS: 59483.39 r NULL  8.183 78.676 25.218 10.439 0x00
OBS: 59488.28 r NULL  5.213 69.553 25.707 14.486 0x01
OBS: 59492.23 r NULL  71.414 77.453 22.866 1.178 0x00
OBS: 59506.29 r NULL  -11.193 90.251 nan -8.754 0x00
OBS: 59508.29 r NULL  118.406 116.853 22.317 1.071 0x00
OBS: 59509.27 r NULL  93.558 179.125 22.572 2.079 0x00
OBS: 59510.26 r NULL  -7.987 53.583 nan -7.284 0x00
