SURVEY:  PS1MD
SNID:  2021shc
otherID: 
IAUC:    UNKNOWN
RA:        230.0262330  deg
DECL:       14.2223810  deg
MWEBV:    0.036 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021shc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0020
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.108 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 165
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  44.917 74.169 23.369 1.793 0x00
OBS: 58962.52 g NULL  77.339 178.426 22.779 2.505 0x00
OBS: 58966.51 g NULL  -25.390 43.884 nan -1.877 0x00
OBS: 58982.52 g NULL  35.975 64.552 23.610 1.948 0x00
OBS: 58986.48 g NULL  -29.078 53.270 nan -1.989 0x00
OBS: 58990.37 g NULL  -95.725 59.834 nan -0.679 0x00
OBS: 58994.43 g NULL  1.260 48.868 27.249 42.109 0x00
OBS: 58997.34 g NULL  -39.871 35.485 nan -0.966 0x00
OBS: 58999.48 g NULL  -9.767 52.180 nan -5.801 0x00
OBS: 59000.50 g NULL  -84.882 44.078 nan -0.564 0x00
OBS: 59017.28 g NULL  -33.044 35.905 nan -1.180 0x00
OBS: 59021.29 g NULL  10.665 54.604 24.930 5.559 0x00
OBS: 59024.38 g NULL  15.469 30.680 24.526 2.153 0x00
OBS: 59027.28 g NULL  30.810 51.123 23.778 1.802 0x00
OBS: 59042.36 g NULL  -27.748 48.810 nan -1.910 0x00
OBS: 59048.30 g NULL  -29.666 43.243 nan -1.583 0x00
OBS: 59053.28 g NULL  65.561 41.465 22.958 0.687 0x00
OBS: 59071.27 g NULL  -30.113 57.889 nan -2.087 0x00
OBS: 59078.27 g NULL  -33.393 42.940 nan -1.396 0x01
OBS: 59102.24 g NULL  -28.585 59.848 nan -2.273 0x00
OBS: 59106.24 g NULL  -65.810 49.065 nan -0.809 0x00
OBS: 59110.23 g NULL  -5.033 100.181 nan -21.611 0x00
OBS: 59115.23 g NULL  15.513 60.571 24.523 4.239 0x00
OBS: 59295.54 g NULL  83.910 66.625 22.690 0.862 0x00
OBS: 59310.48 g NULL  -82.019 31.737 nan -0.420 0x00
OBS: 59316.42 g NULL  13.175 54.779 24.701 4.514 0x00
OBS: 59320.54 g NULL  -1.684 72.182 nan -46.538 0x00
OBS: 59323.43 g NULL  102.319 53.957 22.475 0.573 0x00
OBS: 59337.51 g NULL  -12.257 70.175 nan -6.216 0x00
OBS: 59343.38 g NULL  33.651 42.558 23.683 1.373 0x00
OBS: 59346.39 g NULL  -59.789 38.889 nan -0.706 0x00
OBS: 59354.37 g NULL  -29.691 58.319 nan -2.133 0x00
OBS: 59355.37 g NULL  30.228 59.144 23.799 2.124 0x00
OBS: 59371.45 g NULL  -86.295 58.513 nan -0.736 0x00
OBS: 59374.46 g NULL  -28.079 76.110 nan -2.943 0x00
OBS: 59377.49 g NULL  -21.983 42.704 nan -2.109 0x00
OBS: 59380.39 g NULL  -44.501 73.253 nan -1.787 0x00
OBS: 59382.29 g NULL  24.931 41.895 24.008 1.825 0x00
OBS: 59383.28 g NULL  -71.566 53.313 nan -0.809 0x00
OBS: 59400.34 g NULL  431.345 49.903 20.913 0.126 0x00
OBS: 59401.36 g NULL  605.082 57.081 20.545 0.102 0x00
OBS: 59406.34 g NULL  647.731 57.755 20.472 0.097 0x00
OBS: 59434.26 g NULL  118.514 39.001 22.316 0.357 0x00
OBS: 59436.27 g NULL  93.674 41.057 22.571 0.476 0x00
OBS: 59438.26 g NULL  22.550 52.807 24.117 2.543 0x00
OBS: 59456.25 g NULL  56.886 51.894 23.112 0.990 0x00
OBS: 59462.26 g NULL  93.918 103.780 22.568 1.200 0x00
OBS: 58932.62 r NULL  37.007 52.685 23.579 1.546 0x00
OBS: 58942.49 r NULL  135.358 123.758 22.171 0.993 0x00
OBS: 58945.50 r NULL  -370.281 221.396 nan -0.649 0x00
OBS: 58951.46 r NULL  121.069 134.955 22.292 1.210 0x00
OBS: 58962.53 r NULL  47.648 105.353 23.305 2.401 0x00
OBS: 58972.44 r NULL  -128.621 64.493 nan -0.544 0x00
OBS: 58979.36 r NULL  -11.100 115.296 nan -11.278 0x00
OBS: 58986.48 r NULL  -46.780 40.666 nan -0.944 0x00
OBS: 58994.43 r NULL  35.398 42.136 23.628 1.292 0x00
OBS: 58997.34 r NULL  13.482 37.995 24.676 3.060 0x00
OBS: 59007.30 r NULL  -18.456 73.082 nan -4.299 0x00
OBS: 59021.28 r NULL  -11.770 39.974 nan -3.687 0x00
OBS: 59033.39 r NULL  -190.054 104.310 nan -0.596 0x01
OBS: 59037.37 r NULL  119.676 86.335 22.305 0.783 0x00
OBS: 59039.35 r NULL  -70.287 48.196 nan -0.744 0x00
OBS: 59053.28 r NULL  51.342 50.348 23.224 1.065 0x00
OBS: 59061.30 r NULL  -13.008 113.552 nan -9.478 0x00
OBS: 59065.27 r NULL  79.585 70.140 22.748 0.957 0x00
OBS: 59068.33 r NULL  42.453 81.192 23.430 2.076 0x00
OBS: 59094.25 r NULL  -90.452 356.854 nan -4.283 0x00
OBS: 59096.25 r NULL  204.091 69.846 21.725 0.372 0x00
OBS: 59098.30 r NULL  22.391 96.980 24.125 4.703 0x01
OBS: 59110.24 r NULL  42.318 79.494 23.434 2.040 0x00
OBS: 59119.23 r NULL  -26.611 133.876 nan -5.462 0x01
OBS: 59127.22 r NULL  188.607 192.550 21.811 1.108 0x00
OBS: 59298.51 r NULL  -8.866 85.948 nan -10.525 0x00
OBS: 59300.50 r NULL  145.249 493.530 22.095 3.689 0x00
OBS: 59316.42 r NULL  103.429 59.866 22.463 0.628 0x00
OBS: 59327.43 r NULL  2.196 57.550 26.646 28.454 0x00
OBS: 59334.43 r NULL  -0.448 87.072 nan -211.021 0x00
OBS: 59343.39 r NULL  -68.417 37.737 nan -0.599 0x00
OBS: 59356.37 r NULL  -105.173 103.826 nan -1.072 0x00
OBS: 59362.37 r NULL  -29.877 88.000 nan -3.198 0x00
OBS: 59365.35 r NULL  -54.460 38.909 nan -0.776 0x00
OBS: 59374.46 r NULL  -56.991 70.609 nan -1.345 0x00
OBS: 59380.39 r NULL  -37.575 75.212 nan -2.173 0x00
OBS: 59389.28 r NULL  -72.920 79.307 nan -1.181 0x00
OBS: 59395.40 r NULL  86.807 41.701 22.654 0.522 0x00
OBS: 59401.35 r NULL  434.056 43.733 20.906 0.109 0x00
OBS: 59417.29 r NULL  613.294 348.247 20.531 0.617 0x00
OBS: 59423.29 r NULL  425.504 100.169 20.928 0.256 0x01
OBS: 59424.37 r NULL  494.533 83.749 20.765 0.184 0x01
OBS: 59434.27 r NULL  278.473 49.262 21.388 0.192 0x00
OBS: 59438.27 r NULL  284.846 46.351 21.363 0.177 0x00
OBS: 59444.26 r NULL  255.466 94.415 21.482 0.401 0x00
OBS: 59446.25 r NULL  80.616 86.298 22.734 1.162 0x00
OBS: 59448.27 r NULL  153.081 71.443 22.038 0.507 0x00
OBS: 59451.26 r NULL  162.763 80.188 21.971 0.535 0x01
OBS: 59452.31 r NULL  140.694 53.383 22.129 0.412 0x00
OBS: 59453.27 r NULL  189.909 63.559 21.804 0.363 0x00
OBS: 59454.26 r NULL  198.382 61.163 21.756 0.335 0x00
OBS: 59475.23 r NULL  88.978 137.001 22.627 1.672 0x00
OBS: 59476.24 r NULL  157.197 250.482 22.009 1.730 0x00
OBS: 59477.23 r NULL  234.746 102.235 21.574 0.473 0x00
OBS: 59480.23 r NULL  84.763 75.920 22.679 0.972 0x00
OBS: 59482.23 r NULL  89.391 135.166 22.622 1.642 0x00
OBS: 59484.23 r NULL  78.768 159.392 22.759 2.197 0x00
OBS: 58942.49 i NULL  -69.034 105.019 nan -1.652 0x00
OBS: 58945.50 i NULL  -505.334 170.311 nan -0.366 0x00
OBS: 58966.52 i NULL  132.360 59.246 22.196 0.486 0x00
OBS: 58972.44 i NULL  -67.132 61.754 nan -0.999 0x00
OBS: 58979.36 i NULL  -106.333 139.483 nan -1.424 0x00
OBS: 58982.52 i NULL  34.172 78.390 23.666 2.491 0x00
OBS: 58990.37 i NULL  -30.815 55.857 nan -1.968 0x00
OBS: 59000.50 i NULL  -52.033 73.280 nan -1.529 0x00
OBS: 59007.30 i NULL  208.583 158.639 21.702 0.826 0x00
OBS: 59017.29 i NULL  -67.509 37.610 nan -0.605 0x00
OBS: 59024.38 i NULL  -22.770 45.430 nan -2.166 0x00
OBS: 59027.28 i NULL  -10.239 59.158 nan -6.273 0x00
OBS: 59033.39 i NULL  118.157 98.454 22.319 0.905 0x01
OBS: 59039.35 i NULL  2.624 51.786 26.453 21.428 0x00
OBS: 59048.30 i NULL  23.482 41.727 24.073 1.929 0x00
OBS: 59065.28 i NULL  103.243 68.793 22.465 0.723 0x00
OBS: 59068.33 i NULL  161.917 75.279 21.977 0.505 0x00
OBS: 59071.27 i NULL  -22.158 64.973 nan -3.184 0x00
OBS: 59078.27 i NULL  -30.637 57.746 nan -2.046 0x01
OBS: 59096.25 i NULL  -81.005 97.639 nan -1.309 0x00
OBS: 59102.24 i NULL  0.423 62.728 28.434 161.007 0x00
OBS: 59106.23 i NULL  53.250 65.202 23.184 1.329 0x00
OBS: 59320.54 i NULL  87.229 74.182 22.648 0.923 0x00
OBS: 59337.50 i NULL  -34.129 75.001 nan -2.386 0x00
OBS: 59346.39 i NULL  32.620 51.803 23.716 1.724 0x00
OBS: 59355.38 i NULL  46.652 62.266 23.328 1.449 0x00
OBS: 59356.37 i NULL  -57.180 61.387 nan -1.166 0x00
OBS: 59365.36 i NULL  13.555 46.626 24.670 3.735 0x00
OBS: 59371.45 i NULL  -136.990 84.089 nan -0.666 0x00
OBS: 59377.49 i NULL  -1.292 53.541 nan -44.993 0x00
OBS: 59382.28 i NULL  -14.430 45.358 nan -3.413 0x00
OBS: 59400.35 i NULL  520.882 56.699 20.708 0.118 0x00
OBS: 59406.33 i NULL  695.849 61.150 20.394 0.095 0x00
OBS: 59417.29 i NULL  396.479 289.147 21.004 0.792 0x00
OBS: 59423.29 i NULL  383.358 66.894 21.041 0.189 0x00
OBS: 59436.27 i NULL  324.094 66.909 21.223 0.224 0x00
OBS: 59444.25 i NULL  236.831 69.999 21.564 0.321 0x00
OBS: 59448.27 i NULL  213.501 70.072 21.677 0.356 0x00
OBS: 59453.26 i NULL  80.937 78.808 22.730 1.057 0x00
OBS: 59462.26 i NULL  -152.173 108.937 nan -0.777 0x00
OBS: 59476.23 i NULL  -182.736 189.412 nan -1.125 0x00
OBS: 59480.23 i NULL  53.154 99.718 23.186 2.037 0x00
OBS: 59482.23 i NULL  531.759 235.401 20.686 0.481 0x00
OBS: 58951.45 z NULL  -292.925 148.572 nan -0.551 0x00
OBS: 58999.48 z NULL  52.689 91.688 23.196 1.889 0x00
OBS: 59037.36 z NULL  71.432 109.174 22.865 1.659 0x00
OBS: 59042.36 z NULL  -17.693 96.220 nan -5.905 0x00
OBS: 59061.30 z NULL  102.764 131.124 22.470 1.385 0x00
OBS: 59094.25 z NULL  63.869 219.435 22.987 3.730 0x00
OBS: 59098.29 z NULL  307.108 165.383 21.282 0.585 0x00
OBS: 59115.23 z NULL  -181.956 121.578 nan -0.725 0x00
OBS: 59127.22 z NULL  -206.268 397.715 nan -2.093 0x00
OBS: 59295.55 z NULL  -92.260 107.926 nan -1.270 0x00
OBS: 59298.51 z NULL  -2.666 120.251 nan -48.973 0x00
OBS: 59300.51 z NULL  -20.263 241.469 nan -12.938 0x00
