SURVEY:  PS1MD
SNID:  2021snh
otherID: 
IAUC:    UNKNOWN
RA:        232.9516700  deg
DECL:       13.8691170  deg
MWEBV:    0.044 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59407.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021snh.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0018
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.022 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 155
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  155.730 246.173 22.019 1.716 0x01
OBS: 58955.46 g NULL  7.518 63.191 25.310 9.126 0x00
OBS: 58958.53 g NULL  25.967 36.593 23.964 1.530 0x00
OBS: 58960.45 g NULL  -34.978 41.141 nan -1.277 0x00
OBS: 58999.48 g NULL  74.600 39.690 22.818 0.578 0x00
OBS: 59014.42 g NULL  10.336 35.713 24.964 3.751 0x00
OBS: 59017.28 g NULL  -13.430 35.154 nan -2.842 0x00
OBS: 59021.29 g NULL  61.602 44.722 23.026 0.788 0x00
OBS: 59027.28 g NULL  12.387 50.107 24.768 4.392 0x00
OBS: 59042.36 g NULL  -24.891 33.891 nan -1.478 0x00
OBS: 59048.30 g NULL  -0.310 121.706 nan -426.260 0x00
OBS: 59053.29 g NULL  -77.643 146.851 nan -2.054 0x00
OBS: 59071.27 g NULL  79.451 46.680 22.750 0.638 0x00
OBS: 59074.29 g NULL  93.201 41.336 22.576 0.482 0x00
OBS: 59078.27 g NULL  -45.859 35.746 nan -0.846 0x00
OBS: 59081.27 g NULL  56.763 41.214 23.115 0.788 0x01
OBS: 59102.24 g NULL  -62.999 71.655 nan -1.235 0x09
OBS: 59106.24 g NULL  103.826 43.390 22.459 0.454 0x00
OBS: 59110.23 g NULL  6.113 72.037 25.534 12.795 0x00
OBS: 59115.23 g NULL  53.574 50.056 23.178 1.014 0x00
OBS: 59291.54 g NULL  2.686 52.537 26.427 21.237 0x00
OBS: 59295.54 g NULL  67.841 49.509 22.921 0.792 0x00
OBS: 59310.49 g NULL  -31.818 40.474 nan -1.381 0x00
OBS: 59316.42 g NULL  95.942 73.671 22.545 0.834 0x00
OBS: 59320.54 g NULL  31.689 53.724 23.748 1.841 0x00
OBS: 59323.43 g NULL  16.264 75.030 24.472 5.009 0x09
OBS: 59337.51 g NULL  236.738 219.997 21.564 1.009 0x00
OBS: 59354.37 g NULL  137.977 66.765 22.150 0.525 0x00
OBS: 59355.37 g NULL  9.805 63.681 25.021 7.052 0x00
OBS: 59367.34 g NULL  60.152 54.344 23.052 0.981 0x00
OBS: 59371.45 g NULL  -23.459 56.178 nan -2.600 0x00
OBS: 59374.46 g NULL  -32.493 73.476 nan -2.455 0x00
OBS: 59377.49 g NULL  -18.815 51.538 nan -2.974 0x00
