SURVEY:  PS1MD
SNID:  2021uch
otherID: 
IAUC:    UNKNOWN
RA:        184.6477920  deg
DECL:       10.1856310  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59432.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uch.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0019
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.846 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 99
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58846.66 g NULL  75.123 142.436 22.811 2.059 0x00
OBS: 58849.66 g NULL  -29.859 55.621 nan -2.022 0x00
OBS: 58868.57 g NULL  33.952 55.016 23.673 1.759 0x00
OBS: 58872.60 g NULL  -45.220 66.392 nan -1.594 0x00
OBS: 58958.41 g NULL  -168.804 116.805 nan -0.751 0x00
OBS: 58960.29 g NULL  27.641 47.048 23.896 1.848 0x00
OBS: 58967.25 g NULL  -77.603 75.638 nan -1.058 0x00
OBS: 58970.30 g NULL  -11.947 77.038 nan -7.001 0x00
OBS: 58983.28 g NULL  55.182 65.321 23.146 1.285 0x00
OBS: 58989.26 g NULL  6.700 49.950 25.435 8.094 0x00
OBS: 59195.58 g NULL  -99.865 76.979 nan -0.837 0x00
OBS: 59200.64 g NULL  -3.691 65.168 nan -19.170 0x00
OBS: 59205.64 g NULL  -63.470 51.714 nan -0.885 0x00
OBS: 59229.58 g NULL  -42.548 44.192 nan -1.128 0x01
OBS: 59231.60 g NULL  -7.504 49.233 nan -7.123 0x00
OBS: 59235.54 g NULL  146.552 113.390 22.085 0.840 0x00
OBS: 59255.53 g NULL  36.090 80.485 23.607 2.421 0x00
OBS: 59278.46 g NULL  38.481 106.283 23.537 2.999 0x00
OBS: 59291.42 g NULL  -125.849 82.472 nan -0.712 0x00
OBS: 59307.35 g NULL  -81.954 80.001 nan -1.060 0x00
OBS: 59314.31 g NULL  -27.133 56.535 nan -2.262 0x00
OBS: 59316.46 g NULL  165.685 68.826 21.952 0.451 0x00
OBS: 59338.28 g NULL  -94.074 105.984 nan -1.223 0x00
OBS: 59343.27 g NULL  -18.785 44.939 nan -2.597 0x00
OBS: 59345.27 g NULL  96.895 63.427 22.534 0.711 0x00
OBS: 59347.37 g NULL  -45.279 52.511 nan -1.259 0x00
OBS: 59367.32 g NULL  -44.703 48.772 nan -1.185 0x00
OBS: 59371.33 g NULL  -6.195 95.278 nan -16.698 0x00
OBS: 59374.32 g NULL  -54.244 59.617 nan -1.193 0x00
OBS: 59377.30 g NULL  -117.427 48.648 nan -0.450 0x00
OBS: 59379.33 g NULL  -26.277 58.372 nan -2.412 0x00
OBS: 59397.30 g NULL  -23.116 63.312 nan -2.974 0x00
OBS: 58846.66 r NULL  68.467 175.112 22.911 2.777 0x00
OBS: 58872.61 r NULL  34.587 52.578 23.653 1.650 0x00
OBS: 58883.55 r NULL  21.901 69.567 24.149 3.449 0x00
OBS: 58950.33 r NULL  -43.492 74.619 nan -1.863 0x00
OBS: 58960.30 r NULL  38.381 50.124 23.540 1.418 0x00
OBS: 58989.26 r NULL  32.545 51.505 23.719 1.718 0x00
OBS: 59187.64 r NULL  -37.451 107.227 nan -3.109 0x00
OBS: 59209.63 r NULL  14.319 61.846 24.610 4.689 0x00
OBS: 59214.63 r NULL  -51.030 110.176 nan -2.344 0x00
OBS: 59231.60 r NULL  17.294 61.078 24.405 3.835 0x00
OBS: 59243.56 r NULL  -16.264 195.107 nan -13.025 0x01
OBS: 59255.52 r NULL  -104.958 69.104 nan -0.715 0x00
OBS: 59268.47 r NULL  16.891 79.154 24.431 5.088 0x00
OBS: 59270.46 r NULL  -333.507 222.307 nan -0.724 0x00
OBS: 59314.31 r NULL  -66.039 60.619 nan -0.997 0x00
OBS: 59336.43 r NULL  182.152 86.649 21.849 0.516 0x00
OBS: 59343.28 r NULL  -37.655 45.296 nan -1.306 0x00
OBS: 59347.37 r NULL  -88.936 52.210 nan -0.637 0x00
OBS: 59359.35 r NULL  -278.792 99.219 nan -0.386 0x00
OBS: 59362.36 r NULL  -108.069 90.075 nan -0.905 0x00
OBS: 59364.38 r NULL  -39.750 54.923 nan -1.500 0x00
OBS: 59374.32 r NULL  -209.032 88.160 nan -0.458 0x00
OBS: 59379.33 r NULL  -51.799 54.911 nan -1.151 0x00
OBS: 59387.27 r NULL  23.314 130.744 24.081 6.089 0x00
OBS: 59389.29 r NULL  -179.068 111.697 nan -0.677 0x00
OBS: 59391.29 r NULL  -50.703 70.538 nan -1.510 0x00
OBS: 59393.27 r NULL  -26.240 43.180 nan -1.787 0x00
OBS: 59395.30 r NULL  -4.586 50.056 nan -11.851 0x00
OBS: 59420.27 r NULL  4201.439 114.607 18.442 0.030 0x00
OBS: 58849.66 i NULL  -99.437 55.918 nan -0.611 0x00
OBS: 58868.57 i NULL  58.576 64.805 23.081 1.201 0x00
OBS: 58958.41 i NULL  146.578 101.153 22.085 0.749 0x00
OBS: 58967.25 i NULL  66.970 74.643 22.935 1.210 0x00
OBS: 58970.31 i NULL  47.869 61.878 23.300 1.403 0x00
OBS: 59195.58 i NULL  211.255 89.327 21.688 0.459 0x00
OBS: 59200.64 i NULL  -8.602 82.786 nan -10.449 0x00
OBS: 59209.62 i NULL  98.494 88.629 22.516 0.977 0x00
OBS: 59229.58 i NULL  -43.351 56.342 nan -1.411 0x00
OBS: 59270.45 i NULL  -33.933 267.598 nan -8.562 0x00
OBS: 59291.42 i NULL  115.715 89.290 22.342 0.838 0x00
OBS: 59293.41 i NULL  120.798 136.423 22.295 1.226 0x00
OBS: 59307.35 i NULL  19.773 96.613 24.260 5.305 0x00
OBS: 59316.45 i NULL  -88.845 104.582 nan -1.278 0x00
OBS: 59336.43 i NULL  12.716 101.472 24.739 8.664 0x00
OBS: 59345.27 i NULL  118.957 87.940 22.312 0.803 0x00
OBS: 59352.27 i NULL  -283.906 134.029 nan -0.513 0x00
OBS: 59362.36 i NULL  -32.231 69.148 nan -2.329 0x00
OBS: 59371.33 i NULL  106.174 108.332 22.435 1.108 0x00
OBS: 59377.30 i NULL  -4.555 59.779 nan -14.249 0x00
OBS: 59387.28 i NULL  1.688 133.115 26.932 85.621 0x00
OBS: 59391.29 i NULL  -147.826 64.630 nan -0.475 0x00
OBS: 59395.30 i NULL  56.962 68.995 23.111 1.315 0x00
OBS: 58883.56 z NULL  -158.816 125.751 nan -0.860 0x00
OBS: 58950.33 z NULL  87.283 150.631 22.648 1.874 0x00
OBS: 58983.28 z NULL  -19.325 110.274 nan -6.196 0x00
OBS: 59187.64 z NULL  -132.022 126.010 nan -1.036 0x00
OBS: 59205.65 z NULL  -9.872 80.030 nan -8.802 0x00
OBS: 59214.63 z NULL  -108.235 152.640 nan -1.531 0x00
OBS: 59235.54 z NULL  -361.203 207.907 nan -0.625 0x00
OBS: 59268.46 z NULL  31.178 101.808 23.765 3.545 0x00
OBS: 59278.47 z NULL  372.063 211.259 21.073 0.616 0x00
OBS: 59338.28 z NULL  105.399 164.331 22.443 1.693 0x00
OBS: 59359.35 z NULL  -112.257 134.174 nan -1.298 0x00
OBS: 59364.37 z NULL  -10.645 91.294 nan -9.312 0x00
OBS: 59367.32 z NULL  -114.556 97.327 nan -0.922 0x00
OBS: 59389.30 z NULL  81.352 129.613 22.724 1.730 0x00
OBS: 59393.27 z NULL  197.051 83.427 21.764 0.460 0x00
OBS: 59397.30 z NULL  -1.737 105.330 nan -65.838 0x00
OBS: 59420.26 z NULL  2953.070 206.146 18.824 0.076 0x00
END:
