SURVEY:  PS1MD
SNID:  2021uhl
otherID: 
IAUC:    UNKNOWN
RA:        334.5878830  deg
DECL:       6.1224830  deg
MWEBV:    0.086 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59432.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uhl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0004
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.148 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 123
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  180.284 87.296 21.860 0.526 0x00
OBS: 59023.59 g NULL  101.783 246.390 22.481 2.628 0x00
OBS: 59027.57 g NULL  109.678 58.899 22.400 0.583 0x00
OBS: 59029.46 g NULL  103.933 74.371 22.458 0.777 0x00
OBS: 59046.52 g NULL  400.663 132.061 20.993 0.358 0x00
OBS: 59049.49 g NULL  139.175 123.890 22.141 0.966 0x00
OBS: 59050.49 g NULL  79.601 76.700 22.748 1.046 0x00
OBS: 59053.48 g NULL  9.236 59.610 25.086 7.007 0x00
OBS: 59072.38 g NULL  0.449 70.847 28.369 171.317 0x01
OBS: 59076.47 g NULL  -3.093 44.853 nan -15.745 0x00
OBS: 59079.43 g NULL  98.979 47.546 22.511 0.522 0x00
OBS: 59103.38 g NULL  13.198 51.223 24.699 4.214 0x00
OBS: 59105.37 g NULL  71.150 51.567 22.870 0.787 0x01
OBS: 59109.34 g NULL  100.636 130.387 22.493 1.407 0x01
OBS: 59111.35 g NULL  693.834 419.965 20.397 0.657 0x00
OBS: 59113.41 g NULL  -335.962 352.704 nan -1.140 0x00
OBS: 59115.35 g NULL  -35.647 57.177 nan -1.741 0x00
OBS: 59136.30 g NULL  48.225 45.425 23.292 1.023 0x00
OBS: 59140.22 g NULL  -69.217 83.708 nan -1.313 0x00
OBS: 59144.23 g NULL  140.208 142.893 22.133 1.107 0x00
OBS: 59166.22 g NULL  94.500 107.043 22.561 1.230 0x00
OBS: 59170.21 g NULL  -6.803 89.182 nan -14.233 0x00
OBS: 59346.60 g NULL  186.141 87.655 21.825 0.511 0x00
OBS: 59350.60 g NULL  136.641 100.506 22.161 0.799 0x00
OBS: 59380.56 g NULL  133.196 191.723 22.189 1.563 0x09
OBS: 59382.57 g NULL  53.699 54.523 23.175 1.102 0x00
OBS: 59383.57 g NULL  -14.750 59.763 nan -4.399 0x00
OBS: 59398.52 g NULL  130.729 91.305 22.209 0.758 0x00
OBS: 59406.57 g NULL  10.508 122.294 24.946 12.636 0x00
OBS: 59412.61 g NULL  121.525 53.801 22.288 0.481 0x00
OBS: 59413.45 g NULL  213.353 93.009 21.677 0.473 0x00
OBS: 59427.39 g NULL  3273.494 120.924 18.712 0.040 0x00
OBS: 59434.52 g NULL  2467.013 74.607 19.020 0.033 0x00
OBS: 59437.40 g NULL  2093.815 115.705 19.198 0.060 0x00
OBS: 59441.43 g NULL  1549.215 78.297 19.525 0.055 0x00
OBS: 59443.43 g NULL  1362.618 118.335 19.664 0.094 0x00
OBS: 59457.42 g NULL  361.123 58.139 21.106 0.175 0x00
OBS: 59464.39 g NULL  214.945 66.365 21.669 0.335 0x00
OBS: 59467.34 g NULL  287.812 67.731 21.352 0.256 0x00
OBS: 59469.29 g NULL  218.442 80.681 21.652 0.401 0x00
OBS: 59485.28 g NULL  206.222 79.647 21.714 0.419 0x00
OBS: 59487.34 g NULL  112.568 65.788 22.371 0.635 0x00
OBS: 59493.23 g NULL  236.198 60.174 21.567 0.277 0x00
OBS: 59517.21 g NULL  71.508 91.796 22.864 1.394 0x00
OBS: 59525.26 g NULL  93.370 48.727 22.574 0.567 0x00
OBS: 59527.21 g NULL  428.562 94.597 20.920 0.240 0x00
OBS: 59023.60 r NULL  -13.461 333.866 nan -26.929 0x00
OBS: 59036.57 r NULL  -117.673 91.414 nan -0.843 0x00
OBS: 59049.49 r NULL  -109.982 90.208 nan -0.891 0x00
OBS: 59053.48 r NULL  14.253 47.886 24.615 3.648 0x00
OBS: 59060.49 r NULL  -36.865 77.799 nan -2.291 0x00
OBS: 59070.54 r NULL  -72.774 74.237 nan -1.108 0x00
OBS: 59079.43 r NULL  -51.360 51.998 nan -1.099 0x00
OBS: 59090.41 r NULL  57.526 109.904 23.100 2.074 0x00
OBS: 59097.42 r NULL  76.918 71.330 22.785 1.007 0x00
OBS: 59099.43 r NULL  -198.233 104.641 nan -0.573 0x01
OBS: 59105.38 r NULL  -37.584 52.739 nan -1.524 0x01
OBS: 59111.35 r NULL  264.275 418.966 21.445 1.721 0x00
OBS: 59130.31 r NULL  131.604 62.446 22.202 0.515 0x00
OBS: 59136.30 r NULL  73.360 52.045 22.836 0.770 0x00
OBS: 59140.23 r NULL  -113.541 104.984 nan -1.004 0x00
OBS: 59153.26 r NULL  152.408 116.555 22.042 0.830 0x00
OBS: 59159.24 r NULL  430.864 935.359 20.914 2.357 0x00
OBS: 59166.21 r NULL  46.100 103.108 23.341 2.428 0x00
OBS: 59181.26 r NULL  42.921 122.850 23.418 3.108 0x00
OBS: 59185.22 r NULL  17.571 84.161 24.388 5.200 0x00
OBS: 59346.60 r NULL  -75.339 94.451 nan -1.361 0x01
OBS: 59371.57 r NULL  20.867 86.523 24.201 4.502 0x01
OBS: 59377.57 r NULL  -47.435 51.794 nan -1.186 0x00
OBS: 59385.50 r NULL  124.257 101.408 22.264 0.886 0x00
OBS: 59389.55 r NULL  30.217 92.696 23.799 3.331 0x00
OBS: 59409.44 r NULL  -12.989 89.508 nan -7.482 0x01
OBS: 59415.51 r NULL  462.124 68.635 20.838 0.161 0x00
OBS: 59433.39 r NULL  2832.369 113.692 18.870 0.044 0x01
OBS: 59437.40 r NULL  2804.336 101.472 18.880 0.039 0x00
OBS: 59445.39 r NULL  1688.161 107.455 19.431 0.069 0x00
OBS: 59452.58 r NULL  1475.187 168.612 19.578 0.124 0x00
OBS: 59454.57 r NULL  1274.829 76.996 19.736 0.066 0x00
OBS: 59467.34 r NULL  545.549 60.495 20.658 0.120 0x00
OBS: 59479.48 r NULL  296.229 119.101 21.321 0.437 0x00
OBS: 59480.47 r NULL  537.121 84.870 20.675 0.172 0x00
OBS: 59481.45 r NULL  644.842 229.851 20.476 0.387 0x00
OBS: 59483.40 r NULL  409.730 163.301 20.969 0.433 0x09
OBS: 59507.29 r NULL  197.517 92.527 21.761 0.509 0x00
OBS: 59508.30 r NULL  317.955 143.977 21.244 0.492 0x00
OBS: 59509.26 r NULL  390.776 179.607 21.020 0.499 0x00
OBS: 59512.29 r NULL  157.859 58.486 22.004 0.402 0x01
OBS: 59525.27 r NULL  98.906 56.669 22.512 0.622 0x00
OBS: 59014.56 i NULL  -50.301 70.009 nan -1.511 0x00
OBS: 59029.46 i NULL  -8.654 62.711 nan -7.868 0x00
OBS: 59036.57 i NULL  34.609 75.238 23.652 2.360 0x00
OBS: 59046.52 i NULL  229.971 116.943 21.596 0.552 0x00
OBS: 59050.50 i NULL  104.906 100.939 22.448 1.045 0x01
OBS: 59076.47 i NULL  -10.032 47.979 nan -5.193 0x00
OBS: 59097.42 i NULL  -180.599 70.412 nan -0.423 0x00
OBS: 59103.38 i NULL  25.299 53.971 23.992 2.316 0x00
OBS: 59109.34 i NULL  196.748 194.882 21.765 1.075 0x00
OBS: 59113.41 i NULL  624.738 395.955 20.511 0.688 0x01
OBS: 59130.31 i NULL  61.004 61.523 23.037 1.095 0x00
OBS: 59144.22 i NULL  81.329 89.711 22.724 1.198 0x01
OBS: 59170.22 i NULL  170.687 79.029 21.919 0.503 0x00
OBS: 59185.22 i NULL  103.763 80.180 22.460 0.839 0x00
OBS: 59350.61 i NULL  8.012 90.657 25.241 12.285 0x00
OBS: 59374.58 i NULL  0.353 89.906 28.631 276.527 0x01
OBS: 59380.56 i NULL  -6.588 115.897 nan -19.100 0x01
OBS: 59382.57 i NULL  -11.779 68.198 nan -6.286 0x00
OBS: 59385.49 i NULL  6.596 87.910 25.452 14.470 0x00
OBS: 59389.55 i NULL  40.029 112.588 23.494 3.054 0x01
OBS: 59406.57 i NULL  -192.867 1139.631 nan -6.416 0x00
OBS: 59413.45 i NULL  96.230 75.528 22.542 0.852 0x00
OBS: 59427.39 i NULL  2522.339 120.854 18.995 0.052 0x00
OBS: 59434.52 i NULL  1807.422 66.156 19.357 0.040 0x00
OBS: 59443.43 i NULL  1008.170 106.879 19.991 0.115 0x00
OBS: 59452.58 i NULL  1291.335 157.944 19.722 0.133 0x01
OBS: 59457.41 i NULL  1177.655 59.152 19.822 0.055 0x00
OBS: 59464.39 i NULL  920.892 67.394 20.089 0.079 0x00
OBS: 59469.28 i NULL  556.127 91.113 20.637 0.178 0x00
OBS: 59479.47 i NULL  703.171 137.800 20.382 0.213 0x00
OBS: 59481.44 i NULL  681.325 226.094 20.417 0.360 0x01
OBS: 59485.28 i NULL  255.952 121.537 21.480 0.516 0x00
OBS: 59493.23 i NULL  220.139 103.051 21.643 0.508 0x00
OBS: 59507.30 i NULL  189.303 81.801 21.807 0.469 0x00
OBS: 59509.26 i NULL  426.190 143.176 20.926 0.365 0x00
OBS: 59512.29 i NULL  97.438 91.262 22.528 1.017 0x01
OBS: 59527.21 i NULL  241.907 81.777 21.541 0.367 0x00
OBS: 59027.57 z NULL  26.996 97.979 23.922 3.941 0x00
OBS: 59060.48 z NULL  76.171 109.671 22.796 1.563 0x00
OBS: 59070.54 z NULL  2.439 89.033 26.532 39.634 0x00
OBS: 59072.39 z NULL  -127.947 142.800 nan -1.212 0x01
OBS: 59090.41 z NULL  -138.894 111.115 nan -0.869 0x00
OBS: 59099.43 z NULL  -63.996 162.388 nan -2.755 0x01
OBS: 59115.35 z NULL  54.484 77.307 23.159 1.541 0x00
OBS: 59153.26 z NULL  -76.474 107.398 nan -1.525 0x00
OBS: 59159.25 z NULL  -921.721 1637.817 nan -1.929 0x00
OBS: 59181.25 z NULL  -143.955 131.242 nan -0.990 0x00
OBS: 59383.57 z NULL  -2106.330 848.348 nan -0.437 0x00
OBS: 59398.52 z NULL  -36.371 159.573 nan -4.764 0x00
OBS: 59412.61 z NULL  100.249 93.477 22.497 1.012 0x00
OBS: 59415.51 z NULL  143.571 120.834 22.107 0.914 0x00
OBS: 59441.44 z NULL  738.994 105.569 20.328 0.155 0x00
OBS: 59445.39 z NULL  757.616 96.667 20.301 0.139 0x00
OBS: 59454.56 z NULL  1147.702 205.218 19.850 0.194 0x00
OBS: 59480.47 z NULL  454.122 118.844 20.857 0.284 0x00
OBS: 59483.40 z NULL  324.634 186.571 21.222 0.624 0x01
OBS: 59487.35 z NULL  63.410 89.882 22.995 1.539 0x00
OBS: 59508.31 z NULL  -14.472 179.060 nan -13.434 0x00
OBS: 59517.21 z NULL  122.481 123.915 22.280 1.098 0x00
END:
