SURVEY:  PS1MD
SNID:  2021uqi
otherID: 
IAUC:    UNKNOWN
RA:        314.1990120  deg
DECL:       -0.8787390  deg
MWEBV:    0.068 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59432.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uqi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0157
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 0.558 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 146
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -91.684 72.001 nan -0.853 0x00
OBS: 59017.51 g NULL  -1.725 43.534 nan -27.401 0x01
OBS: 59021.54 g NULL  16.355 60.825 24.466 4.038 0x01
OBS: 59022.53 g NULL  -57.863 41.512 nan -0.779 0x00
OBS: 59029.45 g NULL  -47.156 60.113 nan -1.384 0x00
OBS: 59050.49 g NULL  -135.720 70.628 nan -0.565 0x00
OBS: 59075.36 g NULL  -40.222 36.488 nan -0.985 0x00
OBS: 59078.40 g NULL  -66.096 43.984 nan -0.723 0x00
OBS: 59083.40 g NULL  -184.931 55.505 nan -0.326 0x00
OBS: 59104.30 g NULL  -34.178 42.673 nan -1.356 0x00
OBS: 59108.25 g NULL  -5.292 64.709 nan -13.276 0x01
OBS: 59114.31 g NULL  -278.516 86.860 nan -0.339 0x00
OBS: 59132.23 g NULL  -34.601 46.190 nan -1.449 0x00
OBS: 59137.23 g NULL  -33.372 40.236 nan -1.309 0x00
OBS: 59139.23 g NULL  -111.502 73.384 nan -0.715 0x00
OBS: 59163.25 g NULL  -138.995 84.957 nan -0.664 0x00
OBS: 59323.60 g NULL  -89.050 98.072 nan -1.196 0x00
OBS: 59342.60 g NULL  -30.284 63.532 nan -2.278 0x00
OBS: 59345.60 g NULL  6.370 50.693 25.490 8.640 0x01
OBS: 59348.60 g NULL  4.056 62.380 25.980 16.698 0x00
OBS: 59351.59 g NULL  -18.251 66.528 nan -3.958 0x00
OBS: 59369.54 g NULL  -115.210 118.825 nan -1.120 0x00
OBS: 59370.57 g NULL  -61.405 63.912 nan -1.130 0x00
OBS: 59373.59 g NULL  -164.643 63.725 nan -0.420 0x01
OBS: 59376.54 g NULL  -113.056 70.803 nan -0.680 0x00
OBS: 59379.50 g NULL  1.174 47.275 27.326 43.721 0x00
OBS: 59381.58 g NULL  -166.768 56.204 nan -0.366 0x00
OBS: 59396.61 g NULL  -165.082 75.246 nan -0.495 0x00
OBS: 59402.46 g NULL  40.935 47.978 23.470 1.273 0x00
OBS: 59403.46 g NULL  9.929 62.197 25.008 6.801 0x00
OBS: 59404.51 g NULL  -76.201 54.189 nan -0.772 0x00
OBS: 59405.46 g NULL  -20.217 65.320 nan -3.508 0x00
OBS: 59413.44 g NULL  -85.987 77.687 nan -0.981 0x00
OBS: 59426.39 g NULL  292.915 59.798 21.333 0.222 0x00
OBS: 59429.41 g NULL  352.785 42.610 21.131 0.131 0x00
OBS: 59432.45 g NULL  408.060 77.874 20.973 0.207 0x01
OBS: 59436.33 g NULL  200.933 123.284 21.742 0.666 0x09
OBS: 59439.41 g NULL  85.896 76.816 22.665 0.971 0x00
OBS: 59461.34 g NULL  5.712 122.659 25.608 23.315 0x00
OBS: 59469.28 g NULL  88.491 67.101 22.633 0.823 0x00
OBS: 59485.28 g NULL  -3.606 52.662 nan -15.856 0x00
OBS: 59488.27 g NULL  -70.370 82.709 nan -1.276 0x00
OBS: 59494.22 g NULL  -94.450 113.662 nan -1.307 0x00
OBS: 59515.21 g NULL  41.471 48.590 23.456 1.272 0x00
OBS: 59524.35 g NULL  -201.291 100.310 nan -0.541 0x00
OBS: 59005.55 r NULL  40.133 90.889 23.491 2.459 0x00
OBS: 59017.51 r NULL  -24.748 45.657 nan -2.003 0x00
OBS: 59022.53 r NULL  -67.313 47.934 nan -0.773 0x00
OBS: 59030.49 r NULL  -2.815 56.813 nan -21.913 0x00
OBS: 59033.53 r NULL  29.493 121.374 23.826 4.468 0x00
OBS: 59041.55 r NULL  -75.509 55.073 nan -0.792 0x00
OBS: 59050.49 r NULL  109.425 123.678 22.402 1.227 0x00
OBS: 59060.49 r NULL  31.771 62.514 23.745 2.136 0x01
OBS: 59069.36 r NULL  -91.968 57.575 nan -0.680 0x00
OBS: 59078.40 r NULL  34.833 69.786 23.645 2.175 0x00
OBS: 59095.42 r NULL  7.169 109.829 25.361 16.633 0x01
OBS: 59097.41 r NULL  -107.453 77.504 nan -0.783 0x00
OBS: 59099.42 r NULL  -2.757 78.343 nan -30.852 0x00
OBS: 59100.33 r NULL  -17.846 62.143 nan -3.781 0x00
OBS: 59108.26 r NULL  -108.269 57.176 nan -0.573 0x00
OBS: 59114.31 r NULL  -52.149 139.872 nan -2.912 0x00
OBS: 59123.22 r NULL  168.199 142.391 21.935 0.919 0x00
OBS: 59126.35 r NULL  -91.060 89.353 nan -1.065 0x01
OBS: 59139.23 r NULL  -1.345 76.956 nan -62.122 0x09
OBS: 59153.25 r NULL  -129.326 90.899 nan -0.763 0x01
OBS: 59155.21 r NULL  -266.484 107.215 nan -0.437 0x00
OBS: 59181.24 r NULL  272.916 173.420 21.410 0.690 0x01
OBS: 59184.21 r NULL  -207.684 119.018 nan -0.622 0x00
OBS: 59327.57 r NULL  -195.232 130.459 nan -0.726 0x00
OBS: 59328.59 r NULL  85.255 155.860 22.673 1.985 0x00
OBS: 59329.61 r NULL  -90.749 159.899 nan -1.913 0x00
OBS: 59332.62 r NULL  56.336 118.024 23.123 2.275 0x00
OBS: 59334.60 r NULL  -145.464 120.785 nan -0.902 0x00
OBS: 59342.60 r NULL  -11.880 38.925 nan -3.557 0x00
OBS: 59348.61 r NULL  -80.256 56.830 nan -0.769 0x00
OBS: 59356.57 r NULL  -55.463 62.290 nan -1.219 0x00
OBS: 59357.59 r NULL  -38.023 53.424 nan -1.526 0x01
OBS: 59358.59 r NULL  -108.568 80.473 nan -0.805 0x00
OBS: 59359.56 r NULL  5.668 90.447 25.616 17.326 0x00
OBS: 59361.58 r NULL  -95.737 147.938 nan -1.678 0x00
OBS: 59381.57 r NULL  106.644 116.118 22.430 1.182 0x01
OBS: 59385.51 r NULL  31.490 58.889 23.755 2.030 0x00
OBS: 59386.54 r NULL  -36.759 44.092 nan -1.302 0x00
OBS: 59388.58 r NULL  0.605 57.367 28.046 102.951 0x00
OBS: 59403.46 r NULL  -66.246 57.013 nan -0.934 0x00
OBS: 59405.47 r NULL  -18.210 49.947 nan -2.978 0x00
OBS: 59415.42 r NULL  66.956 71.977 22.936 1.167 0x00
OBS: 59423.48 r NULL  368.634 84.929 21.084 0.250 0x00
OBS: 59429.41 r NULL  411.853 54.417 20.963 0.143 0x00
OBS: 59436.33 r NULL  444.413 66.999 20.881 0.164 0x00
OBS: 59461.34 r NULL  -11.161 100.613 nan -9.788 0x00
OBS: 59468.29 r NULL  -45.176 76.232 nan -1.832 0x01
OBS: 59480.37 r NULL  113.546 75.455 22.362 0.722 0x00
OBS: 59481.40 r NULL  -213.274 191.071 nan -0.973 0x00
OBS: 59483.38 r NULL  -34.254 82.711 nan -2.622 0x00
OBS: 59488.28 r NULL  34.727 67.653 23.648 2.115 0x00
OBS: 59506.29 r NULL  -244.460 158.270 nan -0.703 0x01
OBS: 59507.28 r NULL  -98.318 90.875 nan -1.004 0x00
OBS: 59508.29 r NULL  174.747 93.705 21.894 0.582 0x00
OBS: 59509.27 r NULL  58.697 159.898 23.078 2.958 0x00
OBS: 59510.26 r NULL  124.015 52.205 22.266 0.457 0x00
OBS: 59511.27 r NULL  -73.185 71.208 nan -1.056 0x00
OBS: 59524.35 r NULL  -23.581 94.075 nan -4.331 0x00
OBS: 59005.55 i NULL  -22.050 137.440 nan -6.768 0x00
OBS: 59013.56 i NULL  47.829 65.706 23.301 1.492 0x00
OBS: 59029.45 i NULL  -91.720 50.504 nan -0.598 0x00
OBS: 59033.53 i NULL  -233.230 95.551 nan -0.445 0x00
OBS: 59060.49 i NULL  -184.629 71.839 nan -0.422 0x01
OBS: 59075.36 i NULL  -79.305 44.398 nan -0.608 0x00
OBS: 59083.40 i NULL  -56.556 68.126 nan -1.308 0x00
OBS: 59095.42 i NULL  -127.740 92.225 nan -0.784 0x01
OBS: 59099.42 i NULL  4.612 97.473 25.840 22.947 0x00
OBS: 59104.30 i NULL  -71.783 59.010 nan -0.893 0x00
OBS: 59126.35 i NULL  22.672 74.493 24.111 3.567 0x01
OBS: 59129.23 i NULL  -19.519 74.272 nan -4.131 0x00
OBS: 59137.23 i NULL  -224.230 64.642 nan -0.313 0x00
OBS: 59153.25 i NULL  -214.132 71.392 nan -0.362 0x01
OBS: 59159.23 i NULL  -216.067 197.085 nan -0.990 0x00
OBS: 59327.57 i NULL  -53.280 112.916 nan -2.301 0x09
OBS: 59329.61 i NULL  -256.515 115.795 nan -0.490 0x00
OBS: 59332.61 i NULL  314.318 113.140 21.257 0.391 0x00
OBS: 59345.61 i NULL  -83.573 68.449 nan -0.889 0x00
OBS: 59351.59 i NULL  79.999 82.737 22.742 1.123 0x00
OBS: 59358.59 i NULL  -115.235 64.592 nan -0.609 0x00
OBS: 59361.58 i NULL  -99.353 108.602 nan -1.187 0x00
OBS: 59373.59 i NULL  -59.410 64.589 nan -1.180 0x00
OBS: 59379.50 i NULL  -53.047 67.069 nan -1.373 0x00
OBS: 59386.54 i NULL  70.213 59.562 22.884 0.921 0x00
OBS: 59396.60 i NULL  152.154 84.238 22.044 0.601 0x00
OBS: 59402.46 i NULL  -110.791 56.342 nan -0.552 0x00
OBS: 59404.50 i NULL  -40.551 58.426 nan -1.564 0x00
OBS: 59413.44 i NULL  -134.715 105.488 nan -0.850 0x00
OBS: 59415.42 i NULL  76.144 66.747 22.796 0.952 0x00
OBS: 59423.49 i NULL  335.382 72.696 21.186 0.235 0x00
OBS: 59439.41 i NULL  377.475 140.385 21.058 0.404 0x00
OBS: 59451.31 i NULL  24.975 100.957 24.006 4.389 0x01
OBS: 59469.28 i NULL  86.152 62.089 22.662 0.782 0x00
OBS: 59480.36 i NULL  10.788 49.278 24.918 4.959 0x00
OBS: 59483.39 i NULL  -31.178 95.634 nan -3.330 0x00
OBS: 59487.23 i NULL  -81.843 88.719 nan -1.177 0x00
OBS: 59494.22 i NULL  -84.899 94.850 nan -1.213 0x00
OBS: 59506.29 i NULL  67.544 104.312 22.926 1.677 0x00
OBS: 59508.29 i NULL  13.682 107.528 24.660 8.533 0x00
OBS: 59510.25 i NULL  -136.133 60.778 nan -0.485 0x00
OBS: 59030.49 z NULL  -3.550 99.154 nan -30.325 0x00
OBS: 59041.55 z NULL  -256.716 146.884 nan -0.621 0x00
OBS: 59069.36 z NULL  -169.302 100.055 nan -0.642 0x00
OBS: 59100.34 z NULL  -149.595 97.422 nan -0.707 0x00
OBS: 59123.21 z NULL  -108.727 213.134 nan -2.128 0x01
OBS: 59127.23 z NULL  38.109 205.056 23.547 5.842 0x01
OBS: 59132.23 z NULL  -34.241 137.449 nan -4.358 0x00
OBS: 59155.21 z NULL  51.113 190.444 23.229 4.045 0x00
OBS: 59163.25 z NULL  259.224 143.943 21.466 0.603 0x00
OBS: 59181.24 z NULL  148.117 127.426 22.073 0.934 0x00
OBS: 59184.20 z NULL  32.070 144.789 23.735 4.902 0x00
OBS: 59323.61 z NULL  138.899 116.091 22.143 0.907 0x00
OBS: 59328.60 z NULL  2.559 227.837 26.480 96.667 0x00
OBS: 59334.60 z NULL  -228.945 200.603 nan -0.951 0x00
OBS: 59357.59 z NULL  -0.022 114.772 nan -5664.187 0x00
OBS: 59359.56 z NULL  -157.686 150.237 nan -1.034 0x00
OBS: 59369.53 z NULL  -399.724 298.467 nan -0.811 0x00
OBS: 59370.56 z NULL  -74.346 96.753 nan -1.413 0x00
OBS: 59385.51 z NULL  -125.761 81.627 nan -0.705 0x00
OBS: 59388.59 z NULL  9.627 84.242 25.041 9.501 0x00
OBS: 59426.39 z NULL  197.309 80.769 21.762 0.444 0x00
OBS: 59481.40 z NULL  -97.076 327.216 nan -3.660 0x00
OBS: 59485.29 z NULL  72.863 102.269 22.844 1.524 0x00
OBS: 59507.28 z NULL  -88.504 80.680 nan -0.990 0x00
OBS: 59509.27 z NULL  165.856 210.661 21.951 1.379 0x00
OBS: 59511.27 z NULL  55.250 125.444 23.144 2.465 0x00
OBS: 59515.21 z NULL  -168.794 118.670 nan -0.763 0x00
END:
