SURVEY:  PS1MD
SNID:  2021uwq
otherID: 
IAUC:    UNKNOWN
RA:        210.0284760  deg
DECL:       -7.0241250  deg
MWEBV:    0.023 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59432.0
FILTERS:    grizy
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021uwq.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0034
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.637 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 30
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59382.27 g NULL  23.186 75.519 24.087 3.536 0x00
OBS: 59390.30 g NULL  -74.919 188.394 nan -2.730 0x00
OBS: 59416.28 g NULL  401.674 162.201 20.990 0.438 0x00
OBS: 59423.27 g NULL  1139.193 101.755 19.859 0.097 0x00
OBS: 59432.27 g NULL  1258.814 129.780 19.750 0.112 0x00
OBS: 59448.27 g NULL  -112.432 209.515 nan -2.023 0x00
OBS: 59382.27 r NULL  -85.109 59.057 nan -0.753 0x00
OBS: 59390.30 r NULL  161.063 144.960 21.983 0.977 0x00
OBS: 59416.28 r NULL  278.068 160.576 21.390 0.627 0x00
OBS: 59423.27 r NULL  1318.259 107.108 19.700 0.088 0x00
OBS: 59432.27 r NULL  1479.352 108.852 19.575 0.080 0x00
OBS: 59448.27 r NULL  699.122 115.241 20.389 0.179 0x00
OBS: 59382.27 i NULL  101.477 72.823 22.484 0.779 0x00
OBS: 59390.30 i NULL  -227.336 122.536 nan -0.585 0x00
OBS: 59416.28 i NULL  238.981 198.989 21.554 0.904 0x00
OBS: 59423.27 i NULL  1029.911 114.566 19.968 0.121 0x00
OBS: 59432.27 i NULL  1046.849 129.813 19.950 0.135 0x00
OBS: 59448.27 i NULL  560.418 110.385 20.629 0.214 0x00
OBS: 59382.27 z NULL  85.709 102.217 22.667 1.295 0x00
OBS: 59390.30 z NULL  -50.066 149.344 nan -3.239 0x00
OBS: 59416.28 z NULL  206.588 203.350 21.712 1.069 0x00
OBS: 59423.27 z NULL  840.401 143.608 20.189 0.186 0x00
OBS: 59432.27 z NULL  874.194 240.560 20.146 0.299 0x00
OBS: 59448.27 z NULL  375.610 122.790 21.063 0.355 0x00
OBS: 59382.27 y NULL  314.195 279.481 21.257 0.966 0x00
OBS: 59390.30 y NULL  263.862 318.534 21.447 1.311 0x00
OBS: 59416.28 y NULL  288.638 471.246 21.349 1.773 0x00
OBS: 59423.27 y NULL  1205.002 461.621 19.798 0.416 0x00
OBS: 59432.27 y NULL  1332.078 663.245 19.689 0.541 0x00
OBS: 59448.27 y NULL  777.541 257.031 20.273 0.359 0x00
END:
