SURVEY:  PS1MD
SNID:  2021vgl
otherID: 
IAUC:    UNKNOWN
RA:        2.5104200  deg
DECL:       28.2110840  deg
MWEBV:    0.041 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59443.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vgl.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.535 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 77
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59078.47 g NULL  -53.072 59.031 nan -1.208 0x00
OBS: 59082.43 g NULL  38.202 58.438 23.545 1.661 0x00
OBS: 59103.39 g NULL  -23.135 55.824 nan -2.620 0x00
OBS: 59107.53 g NULL  -41.097 43.292 nan -1.144 0x00
OBS: 59109.35 g NULL  -59.233 294.563 nan -5.399 0x01
OBS: 59113.48 g NULL  28.550 49.483 23.861 1.882 0x00
OBS: 59117.37 g NULL  -94.127 85.184 nan -0.983 0x01
OBS: 59131.44 g NULL  -80.402 63.305 nan -0.855 0x00
OBS: 59142.27 g NULL  83.228 86.498 22.699 1.128 0x00
OBS: 59146.44 g NULL  117.720 80.535 22.323 0.743 0x00
OBS: 59163.36 g NULL  9.547 49.340 25.050 5.611 0x00
OBS: 59169.23 g NULL  -43.011 94.123 nan -2.376 0x09
OBS: 59190.28 g NULL  -83.270 56.821 nan -0.741 0x01
OBS: 59194.32 g NULL  -77.490 63.665 nan -0.892 0x00
OBS: 59400.57 g NULL  181.635 51.744 21.852 0.309 0x00
OBS: 59408.55 g NULL  210.784 69.030 21.690 0.356 0x00
OBS: 59410.56 g NULL  140.805 94.294 22.128 0.727 0x00
