SURVEY:  PS1MD
SNID:  2021vjf
otherID: 
IAUC:    UNKNOWN
RA:        233.2960020  deg
DECL:       12.9957610  deg
MWEBV:    0.033 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59443.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vjf.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0038
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.598 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 134
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58932.61 g NULL  36.364 57.365 23.598 1.713 0x00
OBS: 58958.53 g NULL  7.267 38.906 25.347 5.813 0x00
OBS: 58960.45 g NULL  61.737 48.612 23.024 0.855 0x00
OBS: 58962.52 g NULL  112.428 208.416 22.373 2.013 0x00
OBS: 58966.51 g NULL  -21.708 52.973 nan -2.649 0x00
OBS: 58982.52 g NULL  -83.401 78.345 nan -1.020 0x00
OBS: 58997.35 g NULL  17.277 41.327 24.406 2.597 0x00
OBS: 58999.48 g NULL  7.482 71.720 25.315 10.408 0x00
OBS: 59014.42 g NULL  -42.937 48.386 nan -1.224 0x00
OBS: 59017.28 g NULL  -4.672 33.517 nan -7.789 0x00
OBS: 59024.38 g NULL  3.695 32.888 26.081 9.664 0x00
OBS: 59048.30 g NULL  24.161 51.679 24.042 2.322 0x00
OBS: 59053.29 g NULL  -14.293 51.166 nan -3.887 0x00
OBS: 59071.27 g NULL  9.958 55.567 25.005 6.059 0x00
OBS: 59078.27 g NULL  -35.759 60.220 nan -1.828 0x00
OBS: 59291.54 g NULL  -0.007 60.279 nan -9349.585 0x00
OBS: 59316.42 g NULL  78.441 76.955 22.764 1.065 0x00
OBS: 59320.54 g NULL  86.669 66.640 22.655 0.835 0x00
OBS: 59323.43 g NULL  45.468 57.721 23.356 1.378 0x00
OBS: 59337.51 g NULL  66.065 86.139 22.950 1.416 0x00
OBS: 59343.38 g NULL  52.056 43.703 23.209 0.912 0x00
OBS: 59346.39 g NULL  9.847 43.920 25.017 4.843 0x00
OBS: 59354.37 g NULL  1.357 65.383 27.169 52.313 0x00
OBS: 59355.37 g NULL  6.829 74.596 25.414 11.860 0x00
OBS: 59374.46 g NULL  -210.916 84.060 nan -0.433 0x01
OBS: 59377.49 g NULL  -28.343 53.264 nan -2.040 0x00
OBS: 59382.29 g NULL  -69.453 54.181 nan -0.847 0x00
OBS: 59383.28 g NULL  27.543 80.880 23.900 3.188 0x00
OBS: 59400.34 g NULL  31.948 43.066 23.739 1.464 0x00
OBS: 59401.36 g NULL  10.944 43.197 24.902 4.286 0x00
OBS: 59406.34 g NULL  82.389 69.700 22.710 0.919 0x01
OBS: 59409.33 g NULL  -44.497 42.191 nan -1.029 0x00
OBS: 59426.29 g NULL  30.653 48.095 23.784 1.704 0x00
OBS: 59431.27 g NULL  330.278 57.467 21.203 0.189 0x00
OBS: 59434.26 g NULL  478.787 73.658 20.800 0.167 0x00
OBS: 59438.26 g NULL  561.621 49.751 20.626 0.096 0x00
OBS: 59456.25 g NULL  282.113 75.040 21.374 0.289 0x00
OBS: 59462.26 g NULL  2.499 99.773 26.506 43.348 0x00
OBS: 59487.23 g NULL  107.283 159.114 22.424 1.610 0x00
OBS: 58932.62 r NULL  -38.701 52.070 nan -1.461 0x00
OBS: 58942.49 r NULL  91.048 138.321 22.602 1.649 0x00
OBS: 58951.46 r NULL  244.189 141.429 21.531 0.629 0x00
OBS: 58958.53 r NULL  58.911 43.053 23.075 0.793 0x00
