SURVEY:  PS1MD
SNID:  2021vqz
otherID: 
IAUC:    UNKNOWN
RA:        334.1701220  deg
DECL:       -0.9556670  deg
MWEBV:    0.081 +- 0.004 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59443.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vqz.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0108
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.239 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 129
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  -77.091 54.638 nan -0.770 0x00
OBS: 59019.59 g NULL  292.705 292.672 21.334 1.086 0x00
OBS: 59029.46 g NULL  26.886 52.916 23.926 2.137 0x00
OBS: 59049.49 g NULL  20.489 165.101 24.221 8.749 0x09
OBS: 59050.49 g NULL  -28.351 49.813 nan -1.908 0x00
OBS: 59053.48 g NULL  12.320 64.019 24.773 5.642 0x00
OBS: 59058.56 g NULL  -31.489 69.502 nan -2.396 0x00
OBS: 59072.38 g NULL  48.931 44.589 23.276 0.989 0x00
OBS: 59076.47 g NULL  11.793 40.105 24.821 3.692 0x00
OBS: 59079.43 g NULL  20.240 46.838 24.234 2.513 0x00
OBS: 59101.37 g NULL  -7.488 60.861 nan -8.825 0x00
OBS: 59105.37 g NULL  27.559 43.930 23.899 1.731 0x00
OBS: 59109.34 g NULL  5.637 72.624 25.622 13.988 0x00
OBS: 59111.35 g NULL  162.137 568.792 21.975 3.809 0x00
OBS: 59113.41 g NULL  1932.794 777.787 19.285 0.437 0x00
OBS: 59140.22 g NULL  81.465 93.825 22.723 1.250 0x00
OBS: 59144.23 g NULL  -4.843 91.954 nan -20.615 0x00
OBS: 59166.22 g NULL  53.788 92.781 23.173 1.873 0x00
OBS: 59170.21 g NULL  48.598 56.085 23.283 1.253 0x01
OBS: 59346.60 g NULL  23.128 66.812 24.090 3.136 0x00
OBS: 59350.60 g NULL  -0.612 87.928 nan -155.991 0x00
OBS: 59353.58 g NULL  -11.203 76.669 nan -7.430 0x00
OBS: 59354.59 g NULL  5.395 55.284 25.670 11.126 0x00
OBS: 59355.59 g NULL  -19.263 64.771 nan -3.651 0x00
OBS: 59371.56 g NULL  -37.876 64.007 nan -1.835 0x00
OBS: 59374.58 g NULL  51.183 81.738 23.227 1.734 0x00
OBS: 59377.56 g NULL  -56.552 53.585 nan -1.029 0x00
OBS: 59380.56 g NULL  19.078 89.759 24.299 5.108 0x01
OBS: 59382.57 g NULL  53.900 46.677 23.171 0.940 0x00
OBS: 59383.57 g NULL  -134.336 51.197 nan -0.414 0x00
OBS: 59398.52 g NULL  24.210 62.681 24.040 2.811 0x00
OBS: 59406.57 g NULL  88.297 107.194 22.635 1.318 0x00
OBS: 59409.44 g NULL  180.836 92.281 21.857 0.554 0x01
OBS: 59413.44 g NULL  267.255 86.090 21.433 0.350 0x00
OBS: 59425.42 g NULL  326.185 65.420 21.216 0.218 0x00
OBS: 59427.39 g NULL  193.581 109.613 21.783 0.615 0x00
OBS: 59433.38 g NULL  188.645 68.168 21.811 0.392 0x01
OBS: 59434.52 g NULL  258.923 46.011 21.467 0.193 0x00
OBS: 59439.40 g NULL  195.567 131.191 21.772 0.728 0x00
OBS: 59443.43 g NULL  24.899 112.322 24.010 4.898 0x00
OBS: 59464.39 g NULL  55.063 57.703 23.148 1.138 0x00
OBS: 59467.34 g NULL  46.190 43.709 23.339 1.027 0x00
OBS: 59469.29 g NULL  15.780 60.747 24.505 4.180 0x00
OBS: 59493.23 g NULL  5.599 60.097 25.630 11.654 0x00
OBS: 59498.43 g NULL  -2.618 58.725 nan -24.354 0x01
OBS: 59515.22 g NULL  40.313 53.909 23.486 1.452 0x00
OBS: 59517.21 g NULL  -94.136 62.835 nan -0.725 0x00
OBS: 59525.26 g NULL  -27.987 46.226 nan -1.793 0x00
OBS: 59527.21 g NULL  -20.641 87.615 nan -4.609 0x00
OBS: 59031.53 r NULL  -30.988 75.551 nan -2.647 0x00
OBS: 59049.49 r NULL  -17.868 87.036 nan -5.289 0x01
OBS: 59053.48 r NULL  11.977 50.987 24.804 4.622 0x01
OBS: 59079.43 r NULL  -28.020 38.736 nan -1.501 0x00
OBS: 59090.41 r NULL  -35.147 119.070 nan -3.678 0x00
OBS: 59097.41 r NULL  38.578 64.793 23.534 1.824 0x00
OBS: 59105.38 r NULL  -25.814 34.492 nan -1.451 0x00
OBS: 59111.35 r NULL  -230.032 458.748 nan -2.165 0x00
OBS: 59130.31 r NULL  88.028 45.655 22.638 0.563 0x00
OBS: 59140.22 r NULL  16.331 91.669 24.467 6.094 0x00
OBS: 59153.26 r NULL  71.584 86.601 22.863 1.314 0x00
OBS: 59155.21 r NULL  -47.368 119.436 nan -2.738 0x01
OBS: 59157.36 r NULL  112.065 70.731 22.376 0.685 0x00
OBS: 59159.24 r NULL  319.671 735.419 21.238 2.498 0x00
OBS: 59166.21 r NULL  -142.896 92.214 nan -0.701 0x00
OBS: 59181.26 r NULL  -152.498 101.079 nan -0.720 0x00
OBS: 59346.60 r NULL  -43.195 48.887 nan -1.229 0x00
OBS: 59356.58 r NULL  5.140 56.353 25.723 11.904 0x00
OBS: 59357.60 r NULL  -24.809 58.788 nan -2.573 0x00
OBS: 59358.60 r NULL  -58.605 58.496 nan -1.084 0x00
OBS: 59359.56 r NULL  18.441 93.912 24.336 5.529 0x00
OBS: 59361.59 r NULL  -13.931 116.699 nan -9.095 0x00
OBS: 59371.57 r NULL  -33.886 55.337 nan -1.773 0x00
OBS: 59377.57 r NULL  71.598 45.509 22.863 0.690 0x00
OBS: 59385.50 r NULL  12.993 63.701 24.716 5.323 0x00
OBS: 59387.54 r NULL  -52.505 72.342 nan -1.496 0x00
OBS: 59389.55 r NULL  -38.690 100.894 nan -2.831 0x00
OBS: 59409.44 r NULL  105.393 74.265 22.443 0.765 0x01
