SURVEY:  PS1MD
SNID:  2021vwx
otherID: 
IAUC:    UNKNOWN
RA:        68.4050460  deg
DECL:       -22.0340110  deg
MWEBV:    0.045 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vwx.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0002
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.398 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 68
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59077.61 g NULL  -30.020 77.743 nan -2.812 0x00
OBS: 59101.63 g NULL  9.466 70.867 25.060 8.128 0x00
OBS: 59105.61 g NULL  17.854 67.564 24.371 4.109 0x00
OBS: 59109.62 g NULL  1.755 43.943 26.889 27.185 0x00
OBS: 59114.62 g NULL  12.885 55.477 24.725 4.675 0x00
OBS: 59134.55 g NULL  -140.337 85.902 nan -0.665 0x00
OBS: 59138.53 g NULL  -45.194 67.523 nan -1.622 0x00
OBS: 59142.54 g NULL  -66.312 48.882 nan -0.800 0x00
OBS: 59145.53 g NULL  -129.072 48.980 nan -0.412 0x00
OBS: 59167.46 g NULL  30.638 84.339 23.784 2.989 0x00
OBS: 59172.45 g NULL  -59.533 69.285 nan -1.264 0x00
OBS: 59191.41 g NULL  28.631 46.489 23.858 1.763 0x00
OBS: 59193.42 g NULL  -22.345 48.923 nan -2.377 0x01
OBS: 59198.37 g NULL  -50.614 167.647 nan -3.596 0x00
OBS: 59486.60 g NULL  2188.810 105.810 19.149 0.052 0x00
OBS: 59492.56 g NULL  1980.389 101.669 19.258 0.056 0x00
OBS: 59500.59 g NULL  1477.795 78.670 19.576 0.058 0x00
OBS: 59518.52 g NULL  1108.195 78.476 19.888 0.077 0x00
OBS: 59524.49 g NULL  1047.769 87.737 19.949 0.091 0x00
OBS: 59527.50 g NULL  710.302 56.103 20.371 0.086 0x00
OBS: 59077.61 r NULL  -47.628 61.750 nan -1.408 0x00
OBS: 59095.60 r NULL  -29.086 81.490 nan -3.042 0x00
OBS: 59099.62 r NULL  -0.866 72.641 nan -91.073 0x00
OBS: 59109.62 r NULL  -19.783 42.613 nan -2.339 0x01
OBS: 59121.61 r NULL  -34.409 66.144 nan -2.087 0x00
OBS: 59125.55 r NULL  44.788 107.893 23.372 2.616 0x00
OBS: 59129.63 r NULL  -91.318 97.613 nan -1.161 0x00
OBS: 59134.56 r NULL  80.809 78.917 22.731 1.060 0x00
OBS: 59142.54 r NULL  -30.110 46.800 nan -1.688 0x00
OBS: 59153.45 r NULL  134.572 117.755 22.178 0.950 0x00
OBS: 59167.46 r NULL  -91.422 74.329 nan -0.883 0x00
OBS: 59180.47 r NULL  35.372 122.017 23.628 3.745 0x00
OBS: 59182.42 r NULL  5.542 142.792 25.641 27.974 0x00
OBS: 59187.43 r NULL  -64.709 87.091 nan -1.461 0x00
OBS: 59198.37 r NULL  22.838 210.069 24.103 9.987 0x00
OBS: 59476.62 r NULL  6554.059 123.598 17.959 0.020 0x01
OBS: 59481.57 r NULL  5314.472 190.884 18.186 0.039 0x00
OBS: 59483.60 r NULL  5379.156 123.823 18.173 0.025 0x00
OBS: 59504.49 r NULL  3022.797 222.620 18.799 0.080 0x00
OBS: 59505.53 r NULL  2730.190 128.344 18.910 0.051 0x00
OBS: 59508.49 r NULL  2522.127 179.650 18.996 0.077 0x00
OBS: 59509.53 r NULL  2139.312 237.426 19.174 0.120 0x00
OBS: 59511.54 r NULL  2037.354 569.350 19.227 0.303 0x00
OBS: 59518.51 r NULL  1909.456 60.648 19.298 0.034 0x00
OBS: 59524.49 r NULL  1676.921 94.166 19.439 0.061 0x00
OBS: 59095.60 i NULL  -65.169 78.876 nan -1.314 0x00
OBS: 59099.62 i NULL  38.248 87.772 23.543 2.492 0x00
OBS: 59105.62 i NULL  11.513 61.532 24.847 5.803 0x00
OBS: 59114.62 i NULL  44.214 46.766 23.386 1.148 0x00
OBS: 59121.61 i NULL  -70.381 93.629 nan -1.444 0x00
OBS: 59138.53 i NULL  -71.704 198.013 nan -2.998 0x01
OBS: 59156.48 i NULL  73.868 77.663 22.829 1.142 0x01
OBS: 59172.45 i NULL  -183.735 71.163 nan -0.421 0x00
OBS: 59182.41 i NULL  -3.794 122.775 nan -35.135 0x00
OBS: 59187.43 i NULL  -48.914 92.322 nan -2.049 0x00
OBS: 59191.41 i NULL  2.055 56.379 26.718 29.787 0x01
OBS: 59193.43 i NULL  61.431 49.794 23.029 0.880 0x01
OBS: 59476.63 i NULL  6747.061 116.895 17.927 0.019 0x00
OBS: 59481.57 i NULL  5779.900 149.627 18.095 0.028 0x00
OBS: 59486.60 i NULL  5295.447 103.000 18.190 0.021 0x00
OBS: 59492.56 i NULL  4428.478 126.132 18.384 0.031 0x00
OBS: 59500.59 i NULL  3186.252 97.953 18.742 0.033 0x00
OBS: 59504.48 i NULL  2667.432 253.326 18.935 0.103 0x00
OBS: 59508.49 i NULL  2153.069 123.924 19.167 0.062 0x00
OBS: 59511.54 i NULL  2144.785 349.229 19.172 0.177 0x00
OBS: 59527.50 i NULL  1280.259 72.134 19.732 0.061 0x00
OBS: 59091.63 z NULL  -95.146 131.199 nan -1.497 0x00
OBS: 59101.63 z NULL  185.829 91.826 21.827 0.537 0x00
OBS: 59118.57 z NULL  -78.251 107.814 nan -1.496 0x01
OBS: 59125.55 z NULL  -71.054 173.151 nan -2.646 0x01
OBS: 59129.63 z NULL  -35.754 170.178 nan -5.168 0x00
OBS: 59145.53 z NULL  98.834 106.800 22.513 1.173 0x00
OBS: 59153.44 z NULL  4.619 106.587 25.839 25.054 0x00
OBS: 59180.46 z NULL  -12.774 121.801 nan -10.353 0x00
OBS: 59483.60 z NULL  6198.895 149.611 18.019 0.026 0x00
OBS: 59505.53 z NULL  3617.623 198.677 18.604 0.060 0x00
OBS: 59509.52 z NULL  2499.030 224.250 19.006 0.097 0x00
END:
