SURVEY:  PS1MD
SNID:  2021vxb
otherID: 
IAUC:    UNKNOWN
RA:        18.2992580  deg
DECL:       1.5951530  deg
MWEBV:    0.027 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59443.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021vxb.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 3000
# DIST_FROM_CENTER_DEG: 0.898 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 58
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  479.385 63.782 20.798 0.144 0x00
OBS: 59079.50 g NULL  662.261 67.729 20.447 0.111 0x00
OBS: 59084.49 g NULL  688.209 61.801 20.406 0.097 0x00
OBS: 59101.44 g NULL  535.070 67.623 20.679 0.137 0x00
OBS: 59103.45 g NULL  594.528 154.277 20.565 0.282 0x09
OBS: 59109.61 g NULL  750.447 67.769 20.312 0.098 0x00
OBS: 59114.47 g NULL  786.733 53.630 20.260 0.074 0x00
OBS: 59137.45 g NULL  919.805 63.476 20.091 0.075 0x00
OBS: 59143.32 g NULL  884.528 182.357 20.133 0.224 0x09
OBS: 59146.44 g NULL  958.407 66.012 20.046 0.075 0x00
OBS: 59173.39 g NULL  779.261 78.770 20.271 0.110 0x00
OBS: 59191.23 g NULL  1009.555 67.552 19.990 0.073 0x00
OBS: 59229.23 g NULL  1063.180 79.177 19.933 0.081 0x00
OBS: 59429.58 g NULL  1598.336 90.303 19.491 0.061 0x00
OBS: 59434.50 g NULL  1560.427 66.817 19.517 0.046 0x00
OBS: 59437.55 g NULL  1315.814 78.916 19.702 0.065 0x00
OBS: 59468.45 g NULL  1645.597 65.368 19.459 0.043 0x00
OBS: 59492.49 g NULL  1716.205 83.854 19.414 0.053 0x00
OBS: 59501.36 g NULL  1578.196 88.307 19.505 0.061 0x00
OBS: 59516.41 g NULL  1339.870 292.294 19.682 0.237 0x00
OBS: 59060.51 r NULL  459.662 66.824 20.844 0.158 0x00
OBS: 59079.50 r NULL  565.866 79.443 20.618 0.152 0x01
OBS: 59093.48 r NULL  615.517 129.309 20.527 0.228 0x00
OBS: 59109.60 r NULL  523.574 65.006 20.703 0.135 0x00
OBS: 59128.46 r NULL  490.859 95.005 20.773 0.210 0x00
OBS: 59158.30 r NULL  905.550 73.742 20.108 0.088 0x00
OBS: 59182.29 r NULL  726.053 134.619 20.348 0.201 0x00
OBS: 59186.27 r NULL  596.448 71.874 20.561 0.131 0x00
OBS: 59199.21 r NULL  791.306 104.510 20.254 0.143 0x00
OBS: 59211.22 r NULL  853.916 111.955 20.171 0.142 0x01
OBS: 59213.22 r NULL  622.593 106.492 20.514 0.186 0x00
OBS: 59216.22 r NULL  841.063 84.670 20.188 0.109 0x00
OBS: 59229.23 r NULL  831.741 73.830 20.200 0.096 0x00
OBS: 59434.51 r NULL  1426.858 68.582 19.614 0.052 0x00
OBS: 59445.53 r NULL  1249.852 82.371 19.758 0.072 0x00
OBS: 59464.54 r NULL  1350.691 83.201 19.674 0.067 0x00
OBS: 59468.45 r NULL  1445.834 70.431 19.600 0.053 0x00
OBS: 59058.57 i NULL  542.897 74.527 20.663 0.149 0x00
OBS: 59064.56 i NULL  774.986 75.546 20.277 0.106 0x00
OBS: 59084.49 i NULL  869.481 69.161 20.152 0.086 0x00
OBS: 59093.47 i NULL  785.534 121.437 20.262 0.168 0x00
OBS: 59103.45 i NULL  962.459 90.974 20.042 0.103 0x01
OBS: 59107.54 i NULL  1015.850 78.793 19.983 0.084 0x01
OBS: 59114.47 i NULL  929.456 77.069 20.079 0.090 0x00
OBS: 59143.32 i NULL  832.514 129.619 20.199 0.169 0x01
OBS: 59173.38 i NULL  986.983 77.452 20.014 0.085 0x00
OBS: 59188.32 i NULL  1052.052 97.090 19.945 0.100 0x00
OBS: 59243.24 i NULL  1461.954 162.858 19.588 0.121 0x00
OBS: 59254.23 i NULL  1072.495 119.433 19.924 0.121 0x00
OBS: 59437.55 i NULL  1618.567 115.744 19.477 0.078 0x00
OBS: 59440.48 i NULL  1779.728 81.352 19.374 0.050 0x00
OBS: 59492.49 i NULL  1813.844 104.977 19.354 0.063 0x00
OBS: 59498.42 i NULL  2039.790 83.681 19.226 0.045 0x00
OBS: 59514.40 i NULL  2083.882 86.940 19.203 0.045 0x00
OBS: 59073.55 z NULL  624.384 95.982 20.511 0.167 0x00
OBS: 59163.30 z NULL  1312.450 137.009 19.705 0.113 0x00
OBS: 59186.26 z NULL  1405.687 105.172 19.630 0.081 0x00
OBS: 59191.23 z NULL  1263.360 111.597 19.746 0.096 0x00
OBS: 59211.22 z NULL  1301.273 152.144 19.714 0.127 0x00
OBS: 59221.23 z NULL  1204.405 126.139 19.798 0.114 0x00
OBS: 59245.23 z NULL  1072.996 143.543 19.924 0.145 0x00
OBS: 59445.53 z NULL  1827.760 125.967 19.345 0.075 0x00
OBS: 59457.42 z NULL  1675.521 144.109 19.440 0.093 0x00
OBS: 59501.36 z NULL  2163.150 132.467 19.162 0.066 0x00
OBS: 59511.34 z NULL  1597.873 186.250 19.491 0.127 0x01
OBS: 59516.41 z NULL  978.558 1104.365 20.024 1.225 0x00
END:
