SURVEY:  PS1MD
SNID:  2021whv
otherID: 
IAUC:    UNKNOWN
RA:        240.8773690  deg
DECL:       24.6205830  deg
MWEBV:    0.063 +- 0.003 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59444.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021whv.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0021
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.210 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 181
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58931.52 g NULL  -44.406 62.219 nan -1.521 0x00
OBS: 58937.62 g NULL  -99.514 120.527 nan -1.315 0x00
OBS: 58941.54 g NULL  -13.082 50.594 nan -4.199 0x00
OBS: 58955.48 g NULL  -11.754 69.642 nan -6.433 0x00
OBS: 58960.47 g NULL  35.566 57.005 23.622 1.740 0x00
OBS: 58962.47 g NULL  -2.838 169.879 nan -64.991 0x00
OBS: 58966.57 g NULL  -10.373 62.883 nan -6.582 0x00
OBS: 58971.41 g NULL  -85.435 72.941 nan -0.927 0x00
OBS: 58983.52 g NULL  -75.126 54.686 nan -0.790 0x00
OBS: 58989.51 g NULL  58.017 59.247 23.091 1.109 0x00
OBS: 58993.37 g NULL  -8.514 90.177 nan -11.500 0x00
OBS: 58995.47 g NULL  26.712 44.783 23.933 1.820 0x01
OBS: 58999.49 g NULL  46.916 43.306 23.322 1.002 0x01
OBS: 59013.46 g NULL  79.856 82.584 22.744 1.123 0x00
OBS: 59016.44 g NULL  58.980 76.730 23.073 1.412 0x00
OBS: 59019.48 g NULL  143.429 178.167 22.108 1.349 0x00
OBS: 59026.29 g NULL  -6.690 103.755 nan -16.839 0x00
OBS: 59043.36 g NULL  20.649 42.091 24.213 2.213 0x00
OBS: 59048.35 g NULL  -79.695 35.175 nan -0.479 0x00
OBS: 59052.40 g NULL  73.439 86.108 22.835 1.273 0x00
OBS: 59055.33 g NULL  7.786 45.654 25.272 6.366 0x00
OBS: 59071.28 g NULL  -41.052 45.273 nan -1.197 0x00
OBS: 59074.30 g NULL  -76.191 47.773 nan -0.681 0x00
OBS: 59077.27 g NULL  -37.113 37.679 nan -1.102 0x00
OBS: 59079.26 g NULL  53.342 36.930 23.182 0.752 0x00
OBS: 59083.26 g NULL  -29.665 42.104 nan -1.541 0x00
OBS: 59106.25 g NULL  11.918 56.735 24.809 5.169 0x00
OBS: 59108.24 g NULL  61.330 56.090 23.031 0.993 0x00
OBS: 59113.23 g NULL  -27.721 279.406 nan -10.943 0x00
OBS: 59117.23 g NULL  -27.262 131.713 nan -5.246 0x00
OBS: 59131.22 g NULL  15.184 75.581 24.547 5.404 0x00
OBS: 59139.22 g NULL  92.077 104.291 22.590 1.230 0x00
OBS: 59144.21 g NULL  -73.947 164.947 nan -2.422 0x00
OBS: 59292.50 g NULL  2.110 95.618 26.689 49.202 0x00
OBS: 59314.48 g NULL  -101.391 64.256 nan -0.688 0x00
OBS: 59321.48 g NULL  -31.555 51.835 nan -1.784 0x00
OBS: 59337.55 g NULL  318.315 177.717 21.243 0.606 0x00
OBS: 59343.39 g NULL  46.902 48.321 23.322 1.119 0x00
OBS: 59368.37 g NULL  15.972 87.224 24.492 5.929 0x00
OBS: 59372.46 g NULL  51.990 52.568 23.210 1.098 0x00
OBS: 59375.43 g NULL  -87.302 74.297 nan -0.924 0x00
OBS: 59379.31 g NULL  91.672 42.842 22.594 0.507 0x00
OBS: 59382.29 g NULL  -40.504 47.503 nan -1.273 0x00
OBS: 59383.29 g NULL  -49.580 69.820 nan -1.529 0x00
OBS: 59384.27 g NULL  8.453 91.943 25.182 11.810 0x00
OBS: 59399.40 g NULL  -11.248 62.685 nan -6.051 0x01
OBS: 59408.39 g NULL  -12.148 69.291 nan -6.193 0x09
OBS: 59412.38 g NULL  -14.861 129.805 nan -9.483 0x00
OBS: 59425.33 g NULL  66.917 51.591 22.936 0.837 0x00
OBS: 59429.28 g NULL  126.005 71.983 22.249 0.620 0x01
OBS: 59431.33 g NULL  1.255 87.524 27.253 75.720 0x09
OBS: 59435.27 g NULL  15.323 43.808 24.537 3.104 0x00
OBS: 59437.26 g NULL  -39.484 83.744 nan -2.303 0x00
OBS: 59439.26 g NULL  -196.307 99.635 nan -0.551 0x00
OBS: 59441.26 g NULL  281.901 74.189 21.375 0.286 0x00
OBS: 58918.61 r NULL  -56.314 80.077 nan -1.544 0x00
OBS: 58931.52 r NULL  -82.251 85.592 nan -1.130 0x00
OBS: 58945.51 r NULL  -182.208 159.844 nan -0.952 0x01
OBS: 58950.60 r NULL  -202.589 88.204 nan -0.473 0x00
OBS: 58960.48 r NULL  18.550 47.068 24.329 2.755 0x00
OBS: 58966.58 r NULL  25.960 51.791 23.964 2.166 0x00
OBS: 58973.45 r NULL  -35.555 57.074 nan -1.743 0x00
OBS: 58974.43 r NULL  -69.709 108.963 nan -1.697 0x00
OBS: 58976.43 r NULL  -100.079 244.455 nan -2.652 0x00
OBS: 58989.51 r NULL  -71.426 54.906 nan -0.835 0x00
OBS: 58993.38 r NULL  11.760 55.774 24.824 5.149 0x00
OBS: 59003.45 r NULL  63.403 83.526 22.995 1.430 0x00
OBS: 59007.31 r NULL  -9.744 88.140 nan -9.821 0x00
OBS: 59009.34 r NULL  -7.793 52.693 nan -7.341 0x00
OBS: 59016.44 r NULL  -7.953 0.000 nan -0.000 0x00
OBS: 59030.39 r NULL  -57.828 45.327 nan -0.851 0x00
OBS: 59031.28 r NULL  -113.744 93.521 nan -0.893 0x00
OBS: 59037.38 r NULL  -32.530 69.467 nan -2.319 0x00
OBS: 59048.35 r NULL  -10.537 32.009 nan -3.298 0x00
OBS: 59055.33 r NULL  -21.608 54.839 nan -2.755 0x00
OBS: 59062.37 r NULL  -92.357 71.574 nan -0.841 0x00
OBS: 59065.30 r NULL  -27.204 58.501 nan -2.335 0x00
OBS: 59069.35 r NULL  -135.568 54.851 nan -0.439 0x00
OBS: 59079.26 r NULL  -37.866 31.590 nan -0.906 0x00
OBS: 59083.26 r NULL  -36.435 38.579 nan -1.150 0x00
OBS: 59094.26 r NULL  -167.263 134.515 nan -0.873 0x00
OBS: 59096.26 r NULL  49.637 70.743 23.260 1.547 0x00
OBS: 59108.25 r NULL  -16.652 47.725 nan -3.112 0x00
OBS: 59119.24 r NULL  -16.504 106.133 nan -6.982 0x00
OBS: 59122.23 r NULL  -278.896 127.160 nan -0.495 0x00
OBS: 59148.21 r NULL  -51.270 119.297 nan -2.526 0x00
OBS: 59270.60 r NULL  -220.035 166.374 nan -0.821 0x00
OBS: 59297.52 r NULL  71.242 96.987 22.868 1.478 0x00
OBS: 59299.55 r NULL  -44.498 69.760 nan -1.702 0x00
OBS: 59303.52 r NULL  -58.151 130.654 nan -2.439 0x00
OBS: 59304.52 r NULL  -369.881 186.994 nan -0.549 0x00
OBS: 59306.47 r NULL  24.906 58.965 24.009 2.570 0x00
OBS: 59314.47 r NULL  46.749 54.419 23.326 1.264 0x00
OBS: 59321.47 r NULL  -84.907 55.896 nan -0.715 0x00
OBS: 59326.43 r NULL  -57.910 84.066 nan -1.576 0x00
