SURVEY:  PS1MD
SNID:  2021wln
otherID: 
IAUC:    UNKNOWN
RA:        20.8671710  deg
DECL:       -1.3013640  deg
MWEBV:    0.047 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021wln.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0012
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.400 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 32
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59429.58 g NULL  -76.056 57.264 nan -0.817 0x00
OBS: 59433.59 g NULL  169.162 77.239 21.929 0.496 0x00
OBS: 59434.50 g NULL  175.878 55.529 21.887 0.343 0x00
OBS: 59437.55 g NULL  685.445 68.463 20.410 0.108 0x00
OBS: 59440.48 g NULL  895.453 52.897 20.120 0.064 0x00
OBS: 59442.55 g NULL  1146.900 61.601 19.851 0.058 0x01
OBS: 59457.42 g NULL  1061.739 87.098 19.935 0.089 0x00
OBS: 59464.54 g NULL  728.858 79.169 20.343 0.118 0x00
OBS: 59466.54 g NULL  683.785 65.590 20.413 0.104 0x00
OBS: 59468.45 g NULL  565.258 57.705 20.619 0.111 0x00
OBS: 59485.52 g NULL  348.188 113.474 21.145 0.354 0x00
OBS: 59492.49 g NULL  32.671 55.899 23.715 1.858 0x00
OBS: 59516.41 g NULL  178.450 129.357 21.871 0.787 0x00
OBS: 59525.38 g NULL  72.724 77.494 22.846 1.157 0x00
OBS: 59429.58 r NULL  16.440 48.581 24.460 3.208 0x00
OBS: 59434.51 r NULL  275.751 48.555 21.399 0.191 0x00
OBS: 59464.54 r NULL  836.260 79.109 20.194 0.103 0x00
OBS: 59468.45 r NULL  828.908 57.874 20.204 0.076 0x00
OBS: 59483.39 r NULL  594.275 102.399 20.565 0.187 0x00
OBS: 59511.34 r NULL  146.897 102.041 22.082 0.754 0x00
OBS: 59514.41 r NULL  306.952 67.791 21.282 0.240 0x00
OBS: 59525.38 r NULL  124.636 65.419 22.261 0.570 0x00
OBS: 59433.58 i NULL  180.215 96.772 21.861 0.583 0x00
OBS: 59437.55 i NULL  459.761 93.327 20.844 0.220 0x00
OBS: 59440.48 i NULL  718.297 73.884 20.359 0.112 0x00
OBS: 59466.55 i NULL  546.895 76.354 20.655 0.152 0x00
OBS: 59483.39 i NULL  491.780 113.348 20.771 0.250 0x00
OBS: 59485.52 i NULL  434.856 61.584 20.904 0.154 0x00
OBS: 59492.49 i NULL  387.128 56.570 21.030 0.159 0x00
OBS: 59514.40 i NULL  166.601 62.310 21.946 0.406 0x00
OBS: 59442.55 z NULL  506.736 91.851 20.738 0.197 0x01
OBS: 59457.42 z NULL  572.504 128.144 20.606 0.243 0x00
OBS: 59511.33 z NULL  198.872 175.907 21.754 0.960 0x00
OBS: 59516.41 z NULL  50.444 413.893 23.243 8.908 0x00
END:
