SURVEY:  PS1MD
SNID:  2021wlu
otherID: 
IAUC:    UNKNOWN
RA:        16.7247310  deg
DECL:       0.7707550  deg
MWEBV:    0.024 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021wlu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0021
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.198 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 91
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  -65.455 54.728 nan -0.908 0x00
OBS: 59073.55 g NULL  -96.582 48.465 nan -0.545 0x00
OBS: 59075.53 g NULL  -46.973 40.339 nan -0.932 0x00
OBS: 59079.50 g NULL  11.385 48.382 24.859 4.614 0x00
OBS: 59084.49 g NULL  41.766 51.541 23.448 1.340 0x00
OBS: 59101.44 g NULL  -57.169 52.451 nan -0.996 0x00
OBS: 59103.45 g NULL  -67.441 54.107 nan -0.871 0x00
OBS: 59107.54 g NULL  8.776 77.058 25.142 9.533 0x00
OBS: 59114.47 g NULL  26.202 45.306 23.954 1.877 0x00
OBS: 59132.42 g NULL  25.469 48.471 23.985 2.066 0x00
OBS: 59137.45 g NULL  109.601 49.703 22.400 0.492 0x01
OBS: 59142.28 g NULL  9.022 67.920 25.112 8.174 0x00
OBS: 59143.32 g NULL  -32.601 59.748 nan -1.990 0x00
OBS: 59163.30 g NULL  -125.504 63.650 nan -0.551 0x00
OBS: 59169.23 g NULL  -64.637 62.958 nan -1.058 0x00
OBS: 59173.39 g NULL  28.949 67.522 23.846 2.532 0x00
OBS: 59191.23 g NULL  39.784 47.365 23.501 1.293 0x00
OBS: 59193.26 g NULL  -29.872 53.748 nan -1.954 0x01
OBS: 59227.23 g NULL  -5.237 42.517 nan -8.815 0x00
OBS: 59230.22 g NULL  40.344 51.905 23.486 1.397 0x00
OBS: 59254.23 g NULL  -78.945 102.062 nan -1.404 0x00
OBS: 59429.58 g NULL  52.541 59.889 23.199 1.238 0x00
OBS: 59433.59 g NULL  199.289 73.876 21.751 0.402 0x00
OBS: 59434.50 g NULL  354.394 49.335 21.126 0.151 0x00
OBS: 59437.55 g NULL  515.744 68.537 20.719 0.144 0x00
OBS: 59440.48 g NULL  521.210 53.346 20.707 0.111 0x00
OBS: 59442.55 g NULL  768.570 56.297 20.286 0.080 0x00
OBS: 59457.42 g NULL  586.509 84.075 20.579 0.156 0x00
OBS: 59464.54 g NULL  365.020 60.503 21.094 0.180 0x00
OBS: 59466.54 g NULL  347.487 51.500 21.148 0.161 0x00
OBS: 59485.52 g NULL  -4.237 104.734 nan -26.838 0x00
OBS: 59492.49 g NULL  48.181 61.341 23.293 1.382 0x00
OBS: 59498.42 g NULL  66.664 36.064 22.940 0.587 0x00
OBS: 59501.36 g NULL  188.566 75.979 21.811 0.437 0x00
OBS: 59516.41 g NULL  204.405 286.018 21.724 1.519 0x00
OBS: 59525.38 g NULL  16.979 49.915 24.425 3.192 0x00
OBS: 59060.51 r NULL  81.326 66.641 22.724 0.890 0x00
OBS: 59064.56 r NULL  -4.100 78.855 nan -20.882 0x01
