SURVEY:  PS1MD
SNID:  2021wmu
otherID: 
IAUC:    UNKNOWN
RA:        318.1773670  deg
DECL:       -3.2308280  deg
MWEBV:    0.038 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021wmu.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0071
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 1500
# DIST_FROM_CENTER_DEG: 1.404 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 169
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59013.56 g NULL  -101.412 54.340 nan -0.582 0x00
OBS: 59017.51 g NULL  -6.706 57.188 nan -9.259 0x00
OBS: 59021.54 g NULL  47.739 57.747 23.303 1.313 0x00
OBS: 59022.53 g NULL  -11.349 55.230 nan -5.284 0x01
OBS: 59027.52 g NULL  44.760 52.382 23.373 1.271 0x00
OBS: 59029.45 g NULL  -32.802 42.103 nan -1.394 0x00
OBS: 59046.52 g NULL  -303.926 290.227 nan -1.037 0x01
OBS: 59049.47 g NULL  66.417 87.960 22.944 1.438 0x00
OBS: 59050.49 g NULL  -42.934 60.767 nan -1.537 0x00
OBS: 59055.44 g NULL  212.193 70.203 21.683 0.359 0x01
OBS: 59072.28 g NULL  -136.490 60.451 nan -0.481 0x00
OBS: 59075.36 g NULL  5.091 45.714 25.733 9.749 0x00
OBS: 59078.40 g NULL  -44.304 40.249 nan -0.986 0x00
OBS: 59082.42 g NULL  17.011 83.784 24.423 5.348 0x00
OBS: 59083.40 g NULL  27.389 55.369 23.906 2.195 0x00
OBS: 59108.25 g NULL  -74.694 90.525 nan -1.316 0x01
OBS: 59110.30 g NULL  38.192 72.285 23.545 2.055 0x00
OBS: 59114.31 g NULL  -5.992 63.641 nan -11.532 0x00
OBS: 59132.23 g NULL  -25.195 66.648 nan -2.872 0x00
OBS: 59137.23 g NULL  21.612 34.283 24.163 1.722 0x00
OBS: 59143.26 g NULL  -4.817 147.187 nan -33.175 0x00
OBS: 59163.25 g NULL  -227.296 153.896 nan -0.735 0x00
OBS: 59342.60 g NULL  19.717 40.900 24.263 2.252 0x00
OBS: 59345.61 g NULL  -34.021 59.555 nan -1.901 0x01
OBS: 59348.60 g NULL  -35.181 73.999 nan -2.284 0x00
OBS: 59351.59 g NULL  196.987 71.288 21.764 0.393 0x00
OBS: 59369.54 g NULL  -219.901 158.243 nan -0.781 0x00
OBS: 59370.57 g NULL  -32.794 40.223 nan -1.332 0x00
OBS: 59373.59 g NULL  -26.981 34.814 nan -1.401 0x00
OBS: 59376.54 g NULL  -6.545 45.816 nan -7.600 0x00
OBS: 59379.50 g NULL  27.963 57.367 23.884 2.227 0x00
OBS: 59381.58 g NULL  28.415 44.058 23.866 1.683 0x00
OBS: 59396.61 g NULL  -54.240 62.510 nan -1.251 0x00
OBS: 59402.46 g NULL  62.226 49.445 23.015 0.863 0x00
OBS: 59403.46 g NULL  124.204 46.870 22.265 0.410 0x00
OBS: 59404.51 g NULL  119.142 36.668 22.310 0.334 0x00
OBS: 59405.46 g NULL  123.683 43.921 22.269 0.386 0x00
OBS: 59409.44 g NULL  69.213 63.225 22.900 0.992 0x00
OBS: 59411.54 g NULL  230.030 60.378 21.596 0.285 0x00
OBS: 59413.44 g NULL  196.019 57.237 21.769 0.317 0x00
OBS: 59426.39 g NULL  294.297 48.770 21.328 0.180 0x00
OBS: 59429.41 g NULL  67.048 57.189 22.934 0.926 0x00
OBS: 59436.33 g NULL  116.009 47.531 22.339 0.445 0x00
