SURVEY:  PS1MD
SNID:  2021wog
otherID: 
IAUC:    UNKNOWN
RA:        334.1463420  deg
DECL:       4.9075610  deg
MWEBV:    0.095 +- 0.005 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021wog.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0054
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.247 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 147
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59014.56 g NULL  100.317 53.811 22.497 0.582 0x00
OBS: 59027.57 g NULL  86.223 50.557 22.661 0.637 0x00
OBS: 59029.46 g NULL  76.251 61.718 22.794 0.879 0x00
OBS: 59046.52 g NULL  -158.128 132.569 nan -0.910 0x00
OBS: 59049.49 g NULL  -211.430 98.502 nan -0.506 0x00
OBS: 59050.49 g NULL  -17.894 60.879 nan -3.694 0x00
OBS: 59072.38 g NULL  3.696 56.978 26.081 16.738 0x00
OBS: 59076.47 g NULL  -43.192 40.406 nan -1.016 0x00
OBS: 59079.43 g NULL  41.383 42.151 23.458 1.106 0x00
OBS: 59101.37 g NULL  79.464 65.093 22.750 0.889 0x00
OBS: 59103.38 g NULL  5.627 42.101 25.624 8.123 0x01
OBS: 59105.37 g NULL  -7.007 41.671 nan -6.457 0x00
OBS: 59111.35 g NULL  -212.029 342.047 nan -1.752 0x01
OBS: 59115.35 g NULL  163.429 48.850 21.967 0.325 0x00
OBS: 59136.30 g NULL  11.159 36.793 24.881 3.580 0x00
OBS: 59140.22 g NULL  -31.931 79.988 nan -2.720 0x00
OBS: 59144.23 g NULL  109.668 96.534 22.400 0.956 0x00
OBS: 59170.21 g NULL  -10.697 60.046 nan -6.095 0x00
OBS: 59346.60 g NULL  51.096 62.386 23.229 1.326 0x00
OBS: 59350.60 g NULL  249.709 80.826 21.506 0.351 0x00
OBS: 59353.58 g NULL  29.007 54.428 23.844 2.037 0x00
OBS: 59355.59 g NULL  93.998 58.745 22.567 0.679 0x00
OBS: 59371.56 g NULL  -10.811 62.076 nan -6.234 0x00
OBS: 59374.58 g NULL  2.919 75.891 26.337 28.228 0x00
OBS: 59377.56 g NULL  85.336 51.488 22.672 0.655 0x00
OBS: 59380.56 g NULL  56.381 133.294 23.122 2.567 0x01
OBS: 59382.57 g NULL  78.642 54.003 22.761 0.746 0x09
OBS: 59383.57 g NULL  85.396 44.740 22.671 0.569 0x00
OBS: 59398.52 g NULL  192.585 100.009 21.788 0.564 0x00
OBS: 59399.46 g NULL  65.386 67.915 22.961 1.128 0x00
OBS: 59409.44 g NULL  455.723 136.148 20.853 0.324 0x00
OBS: 59412.61 g NULL  671.512 51.485 20.432 0.083 0x00
OBS: 59425.42 g NULL  385.008 67.204 21.036 0.190 0x00
OBS: 59427.39 g NULL  474.359 73.206 20.810 0.168 0x00
OBS: 59437.40 g NULL  287.995 80.773 21.352 0.305 0x00
OBS: 59441.43 g NULL  149.105 39.697 22.066 0.289 0x00
OBS: 59443.43 g NULL  237.763 92.623 21.560 0.423 0x01
OBS: 59457.42 g NULL  119.160 57.110 22.310 0.520 0x00
OBS: 59464.39 g NULL  5.769 56.700 25.597 10.671 0x00
OBS: 59467.34 g NULL  90.714 53.507 22.606 0.640 0x00
OBS: 59469.29 g NULL  7.155 55.714 25.363 8.454 0x00
OBS: 59485.28 g NULL  131.749 63.998 22.201 0.527 0x00
OBS: 59487.34 g NULL  -10.354 52.764 nan -5.533 0x00
OBS: 59493.23 g NULL  72.089 69.643 22.855 1.049 0x00
OBS: 59498.43 g NULL  10.566 52.335 24.940 5.378 0x00
OBS: 59515.22 g NULL  74.186 40.077 22.824 0.587 0x00
OBS: 59517.21 g NULL  52.716 69.907 23.195 1.440 0x00
OBS: 59525.26 g NULL  3.208 43.765 26.234 14.812 0x01
OBS: 59527.21 g NULL  128.555 82.585 22.227 0.697 0x00
OBS: 59036.57 r NULL  21.059 76.116 24.191 3.924 0x00
OBS: 59049.49 r NULL  -9.294 60.841 nan -7.108 0x00
OBS: 59053.48 r NULL  24.924 38.911 24.008 1.695 0x01
OBS: 59070.54 r NULL  -8.550 60.025 nan -7.622 0x00
OBS: 59079.43 r NULL  45.188 37.954 23.362 0.912 0x01
OBS: 59090.41 r NULL  -117.335 109.009 nan -1.009 0x00
OBS: 59097.42 r NULL  26.204 72.331 23.954 2.997 0x01
OBS: 59099.43 r NULL  -60.981 83.974 nan -1.495 0x00
OBS: 59105.38 r NULL  15.631 39.372 24.515 2.735 0x00
OBS: 59111.35 r NULL  87.915 400.137 22.640 4.942 0x00
OBS: 59126.36 r NULL  128.770 95.043 22.225 0.801 0x01
OBS: 59127.29 r NULL  -59.264 105.452 nan -1.932 0x00
OBS: 59130.31 r NULL  -106.398 50.162 nan -0.512 0x00
OBS: 59136.30 r NULL  -29.246 43.553 nan -1.617 0x00
OBS: 59140.23 r NULL  19.943 97.643 24.251 5.316 0x00
OBS: 59153.26 r NULL  -97.393 94.563 nan -1.054 0x00
OBS: 59155.21 r NULL  -120.288 94.902 nan -0.857 0x00
OBS: 59157.36 r NULL  27.388 69.654 23.906 2.761 0x00
OBS: 59159.24 r NULL  -691.279 920.986 nan -1.447 0x00
OBS: 59181.26 r NULL  -166.188 102.405 nan -0.669 0x00
OBS: 59183.31 r NULL  -0.696 241.642 nan -376.953 0x00
OBS: 59346.60 r NULL  52.849 66.880 23.192 1.374 0x00
OBS: 59357.60 r NULL  62.543 68.493 23.010 1.189 0x01
OBS: 59358.60 r NULL  29.998 59.763 23.807 2.163 0x01
OBS: 59359.57 r NULL  -25.520 89.496 nan -3.808 0x00
OBS: 59361.60 r NULL  -179.985 110.462 nan -0.666 0x00
OBS: 59371.57 r NULL  78.440 66.002 22.764 0.914 0x00
OBS: 59377.57 r NULL  32.891 44.379 23.707 1.465 0x00
OBS: 59385.50 r NULL  85.085 66.351 22.675 0.847 0x00
OBS: 59387.54 r NULL  72.750 69.903 22.845 1.043 0x00
OBS: 59389.55 r NULL  -40.618 92.267 nan -2.466 0x00
OBS: 59399.46 r NULL  39.810 69.803 23.500 1.904 0x00
OBS: 59409.44 r NULL  535.408 97.398 20.678 0.198 0x00
OBS: 59437.40 r NULL  320.002 59.317 21.237 0.201 0x00
OBS: 59445.39 r NULL  249.260 67.098 21.508 0.292 0x00
OBS: 59452.58 r NULL  263.491 119.694 21.448 0.493 0x00
OBS: 59454.57 r NULL  137.447 62.388 22.155 0.493 0x00
OBS: 59467.34 r NULL  18.379 45.135 24.339 2.666 0x00
OBS: 59479.48 r NULL  78.948 112.151 22.757 1.542 0x00
OBS: 59480.47 r NULL  54.765 80.967 23.154 1.605 0x00
OBS: 59481.45 r NULL  -29.704 170.801 nan -6.243 0x00
OBS: 59483.40 r NULL  59.435 99.068 23.065 1.810 0x00
OBS: 59507.29 r NULL  -116.893 83.548 nan -0.776 0x00
OBS: 59508.30 r NULL  118.973 170.902 22.311 1.560 0x09
OBS: 59509.26 r NULL  -63.041 170.085 nan -2.929 0x00
OBS: 59511.26 r NULL  -50.834 51.678 nan -1.104 0x00
OBS: 59512.29 r NULL  6.623 51.095 25.447 8.376 0x00
OBS: 59525.27 r NULL  -13.922 43.902 nan -3.424 0x00
OBS: 59014.56 i NULL  22.362 64.069 24.126 3.111 0x00
OBS: 59029.46 i NULL  29.094 47.027 23.840 1.755 0x00
OBS: 59036.57 i NULL  8.260 76.054 25.208 9.997 0x00
OBS: 59046.52 i NULL  2.627 89.357 26.451 36.931 0x00
OBS: 59050.50 i NULL  -91.359 83.525 nan -0.993 0x01
OBS: 59076.47 i NULL  6.572 40.359 25.456 6.668 0x00
OBS: 59097.42 i NULL  140.599 56.688 22.130 0.438 0x00
OBS: 59103.38 i NULL  -4.546 37.110 nan -8.863 0x00
OBS: 59130.31 i NULL  84.803 51.441 22.679 0.659 0x00
OBS: 59144.22 i NULL  7.793 76.275 25.271 10.627 0x00
OBS: 59155.22 i NULL  75.086 106.087 22.811 1.534 0x00
OBS: 59157.36 i NULL  12.175 63.269 24.786 5.642 0x00
OBS: 59170.22 i NULL  13.397 71.115 24.682 5.763 0x00
OBS: 59350.61 i NULL  -153.391 81.178 nan -0.575 0x00
OBS: 59357.60 i NULL  -144.279 146.575 nan -1.103 0x09
OBS: 59359.57 i NULL  -14.465 65.568 nan -4.922 0x00
OBS: 59374.58 i NULL  116.022 71.876 22.339 0.673 0x00
OBS: 59382.57 i NULL  -29.133 45.263 nan -1.687 0x00
OBS: 59385.49 i NULL  51.235 63.050 23.226 1.336 0x00
OBS: 59389.55 i NULL  201.496 87.793 21.739 0.473 0x00
