SURVEY:  PS1MD
SNID:  2021xgi
otherID: 
IAUC:    UNKNOWN
RA:        10.9026600  deg
DECL:       -20.5307270  deg
MWEBV:    0.018 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021xgi.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0035
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.442 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 64
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59083.55 g NULL  -104.963 83.330 nan -0.862 0x01
OBS: 59084.59 g NULL  76.697 58.415 22.788 0.827 0x00
OBS: 59102.54 g NULL  12.851 63.069 24.728 5.328 0x00
OBS: 59107.45 g NULL  30.403 41.589 23.793 1.485 0x00
OBS: 59110.45 g NULL  -7.691 58.735 nan -8.292 0x00
OBS: 59114.48 g NULL  62.196 49.057 23.016 0.856 0x00
OBS: 59137.44 g NULL  143.612 48.077 22.107 0.363 0x00
OBS: 59143.38 g NULL  -37.562 123.639 nan -3.574 0x00
OBS: 59146.47 g NULL  -45.627 50.701 nan -1.206 0x00
OBS: 59191.23 g NULL  30.171 69.970 23.801 2.518 0x00
OBS: 59428.58 g NULL  218.487 68.532 21.651 0.341 0x00
OBS: 59440.56 g NULL  -103.758 91.802 nan -0.961 0x00
OBS: 59455.60 g NULL  707.917 116.090 20.375 0.178 0x00
OBS: 59458.51 g NULL  1061.749 439.748 19.935 0.450 0x00
OBS: 59464.57 g NULL  192.737 107.399 21.788 0.605 0x00
OBS: 59466.55 g NULL  350.048 49.265 21.140 0.153 0x00
OBS: 59468.57 g NULL  309.261 67.804 21.274 0.238 0x01
OBS: 59470.40 g NULL  242.158 74.510 21.540 0.334 0x00
OBS: 59487.49 g NULL  232.645 70.827 21.583 0.331 0x00
OBS: 59500.45 g NULL  -201.967 99.862 nan -0.537 0x01
OBS: 59515.37 g NULL  49.224 60.451 23.270 1.333 0x00
OBS: 59518.42 g NULL  114.507 68.973 22.353 0.654 0x00
OBS: 59524.37 g NULL  157.439 65.021 22.007 0.448 0x01
OBS: 59083.56 r NULL  98.079 65.825 22.521 0.729 0x00
OBS: 59084.59 r NULL  57.129 48.457 23.108 0.921 0x00
OBS: 59093.48 r NULL  -49.630 126.085 nan -2.758 0x00
OBS: 59100.57 r NULL  -51.887 61.702 nan -1.291 0x00
OBS: 59107.45 r NULL  9.478 53.716 25.058 6.153 0x00
OBS: 59114.48 r NULL  -36.007 39.097 nan -1.179 0x00
OBS: 59127.46 r NULL  -270.069 182.439 nan -0.733 0x01
OBS: 59130.49 r NULL  101.105 79.657 22.488 0.855 0x00
OBS: 59143.38 r NULL  -19.516 114.922 nan -6.393 0x00
OBS: 59156.34 r NULL  9.951 55.511 25.005 6.057 0x00
OBS: 59160.37 r NULL  73.630 173.513 22.832 2.559 0x00
OBS: 59186.27 r NULL  75.601 69.973 22.804 1.005 0x00
OBS: 59189.32 r NULL  46.623 38.696 23.328 0.901 0x00
OBS: 59440.55 r NULL  125.738 77.027 22.251 0.665 0x00
OBS: 59445.56 r NULL  28.988 63.701 23.844 2.386 0x00
OBS: 59447.56 r NULL  58.209 87.652 23.088 1.635 0x00
OBS: 59464.57 r NULL  917.032 98.945 20.094 0.117 0x00
OBS: 59468.57 r NULL  790.242 65.727 20.256 0.090 0x00
OBS: 59484.47 r NULL  419.136 64.756 20.944 0.168 0x00
OBS: 59510.44 r NULL  -27.893 169.635 nan -6.603 0x00
OBS: 59513.50 r NULL  80.683 120.677 22.733 1.624 0x00
OBS: 59524.38 r NULL  120.565 80.451 22.297 0.724 0x01
OBS: 59093.49 i NULL  81.774 94.539 22.718 1.255 0x00
OBS: 59102.53 i NULL  33.861 67.435 23.676 2.162 0x00
OBS: 59110.45 i NULL  -7.173 52.447 nan -7.939 0x00
OBS: 59130.49 i NULL  123.898 75.124 22.267 0.658 0x00
OBS: 59137.44 i NULL  -48.699 71.910 nan -1.603 0x00
OBS: 59146.46 i NULL  -124.193 68.758 nan -0.601 0x00
OBS: 59156.33 i NULL  -32.571 59.247 nan -1.975 0x00
OBS: 59160.37 i NULL  -276.795 276.287 nan -1.084 0x00
OBS: 59189.33 i NULL  7.605 51.310 25.297 7.325 0x00
OBS: 59191.24 i NULL  -5.593 53.909 nan -10.465 0x00
OBS: 59447.56 i NULL  30.999 86.434 23.772 3.027 0x00
OBS: 59455.61 i NULL  643.710 97.708 20.478 0.165 0x00
OBS: 59466.55 i NULL  787.455 57.956 20.259 0.080 0x00
OBS: 59484.46 i NULL  595.848 80.388 20.562 0.146 0x00
OBS: 59487.49 i NULL  596.890 86.538 20.560 0.157 0x00
OBS: 59510.45 i NULL  82.391 185.643 22.710 2.446 0x01
OBS: 59513.50 i NULL  256.647 131.418 21.477 0.556 0x00
OBS: 59518.42 i NULL  107.893 62.739 22.418 0.631 0x00
OBS: 59100.57 z NULL  -74.490 102.971 nan -1.501 0x00
OBS: 59127.46 z NULL  -436.158 242.287 nan -0.603 0x00
OBS: 59186.27 z NULL  46.824 100.744 23.324 2.336 0x00
OBS: 59428.58 z NULL  181.967 100.679 21.850 0.601 0x00
OBS: 59445.56 z NULL  -188.221 111.355 nan -0.642 0x00
OBS: 59458.52 z NULL  287.708 279.550 21.353 1.055 0x00
OBS: 59470.40 z NULL  257.767 129.221 21.472 0.544 0x00
OBS: 59515.37 z NULL  -13.192 111.427 nan -9.171 0x00
END:
