SURVEY:  PS1MD
SNID:  2021xue
otherID: 
IAUC:    UNKNOWN
RA:        0.5526750  deg
DECL:       2.0226560  deg
MWEBV:    0.021 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021xue.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0015
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 0.795 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 29
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59429.58 g NULL  268.708 85.663 21.427 0.346 0x01
OBS: 59433.59 g NULL  540.863 83.918 20.667 0.168 0x00
OBS: 59434.50 g NULL  260.666 71.308 21.460 0.297 0x00
OBS: 59437.55 g NULL  608.791 78.098 20.539 0.139 0x01
OBS: 59440.48 g NULL  394.426 63.351 21.010 0.174 0x00
OBS: 59457.42 g NULL  362.991 72.324 21.100 0.216 0x00
OBS: 59464.54 g NULL  719.709 72.703 20.357 0.110 0x00
OBS: 59466.54 g NULL  410.112 60.046 20.968 0.159 0x00
OBS: 59468.45 g NULL  537.099 51.806 20.675 0.105 0x00
OBS: 59485.52 g NULL  282.054 102.803 21.374 0.396 0x00
OBS: 59492.49 g NULL  583.182 83.613 20.585 0.156 0x00
OBS: 59498.42 g NULL  611.083 55.087 20.535 0.098 0x00
OBS: 59501.36 g NULL  473.423 87.885 20.812 0.202 0x00
OBS: 59516.41 g NULL  289.390 336.047 21.346 1.261 0x00
OBS: 59434.51 r NULL  569.568 80.089 20.611 0.153 0x01
OBS: 59445.53 r NULL  431.633 77.646 20.912 0.195 0x00
OBS: 59464.54 r NULL  558.345 80.704 20.633 0.157 0x00
OBS: 59468.45 r NULL  466.238 79.365 20.828 0.185 0x00
OBS: 59483.40 r NULL  448.004 116.068 20.872 0.281 0x00
OBS: 59511.34 r NULL  458.777 123.317 20.846 0.292 0x00
OBS: 59514.41 r NULL  257.638 76.167 21.472 0.321 0x00
OBS: 59433.58 i NULL  560.479 116.119 20.629 0.225 0x00
OBS: 59437.55 i NULL  622.597 105.682 20.514 0.184 0x00
OBS: 59440.48 i NULL  164.448 82.987 21.960 0.548 0x00
OBS: 59466.55 i NULL  491.669 80.314 20.771 0.177 0x00
OBS: 59483.39 i NULL  547.802 109.443 20.653 0.217 0x01
OBS: 59485.52 i NULL  398.682 89.099 20.998 0.243 0x00
OBS: 59492.49 i NULL  478.077 99.825 20.801 0.227 0x00
OBS: 59498.42 i NULL  692.754 78.428 20.399 0.123 0x00
OBS: 59514.40 i NULL  695.726 188.881 20.394 0.295 0x09
OBS: 59445.53 z NULL  946.409 125.658 20.060 0.144 0x00
OBS: 59457.42 z NULL  840.452 117.489 20.189 0.152 0x00
OBS: 59501.36 z NULL  873.160 141.964 20.147 0.177 0x01
OBS: 59511.33 z NULL  540.153 169.598 20.669 0.341 0x00
OBS: 59516.41 z NULL  501.229 260.229 20.750 0.564 0x00
END:
