SURVEY:  PS1MD
SNID:  2021ybc
otherID: 
IAUC:    UNKNOWN
RA:        37.3292920  deg
DECL:       -4.6817630  deg
MWEBV:    0.026 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59516.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ybc.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0014
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2500
# DIST_FROM_CENTER_DEG: 1.172 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 32
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 58811.35 g NULL  17.624 72.609 24.385 4.473 0x00
OBS: 59047.60 g NULL  22.471 65.164 24.121 3.149 0x00
OBS: 59053.60 g NULL  -28.724 65.019 nan -2.458 0x00
OBS: 59058.61 g NULL  89.946 63.921 22.615 0.772 0x00
OBS: 59115.62 g NULL  81.728 61.146 22.719 0.812 0x00
OBS: 59140.41 g NULL  52.048 74.555 23.209 1.555 0x00
OBS: 59191.24 g NULL  94.907 99.877 22.557 1.143 0x00
OBS: 59193.26 g NULL  -38.296 68.289 nan -1.936 0x00
OBS: 59199.35 g NULL  182.755 99.759 21.845 0.593 0x00
OBS: 59457.58 g NULL  108.141 68.137 22.415 0.684 0x00
OBS: 59493.54 g NULL  870.225 63.346 20.151 0.079 0x00
OBS: 59500.51 g NULL  438.844 87.617 20.894 0.217 0x00
OBS: 58811.36 r NULL  17.483 84.403 24.393 5.242 0x00
OBS: 59062.58 r NULL  -60.274 64.070 nan -1.154 0x01
OBS: 59119.61 r NULL  -103.449 64.515 nan -0.677 0x00
OBS: 59140.41 r NULL  -41.892 60.252 nan -1.562 0x00
OBS: 59157.46 r NULL  -42.350 82.082 nan -2.104 0x00
OBS: 59193.26 r NULL  -130.853 53.598 nan -0.445 0x00
OBS: 59448.55 r NULL  -41.664 93.000 nan -2.424 0x00
OBS: 59493.54 r NULL  2309.167 60.233 19.091 0.028 0x00
OBS: 59504.42 r NULL  837.709 104.465 20.192 0.135 0x00
OBS: 59524.43 r NULL  426.124 97.073 20.926 0.247 0x01
OBS: 59047.61 i NULL  -65.669 65.776 nan -1.088 0x00
OBS: 59053.61 i NULL  -50.869 64.098 nan -1.368 0x00
OBS: 59062.58 i NULL  -39.058 54.980 nan -1.528 0x00
OBS: 59115.62 i NULL  -15.990 66.437 nan -4.511 0x00
OBS: 59157.47 i NULL  -41.666 86.252 nan -2.248 0x00
OBS: 59199.35 i NULL  14.809 129.584 24.574 9.501 0x00
OBS: 59448.55 i NULL  -1.996 104.877 nan -57.048 0x00
OBS: 59457.58 i NULL  122.351 90.229 22.281 0.801 0x00
OBS: 59504.42 i NULL  1301.452 142.070 19.714 0.119 0x00
OBS: 59058.61 z NULL  36.558 83.201 23.593 2.471 0x00
OBS: 59191.24 z NULL  27.603 133.066 23.898 5.234 0x00
OBS: 59500.51 z NULL  2468.253 177.867 19.019 0.078 0x00
END:
