SURVEY:  PS1MD
SNID:  2021ygy
otherID: 
IAUC:    UNKNOWN
RA:        4.8257000  deg
DECL:       24.6451080  deg
MWEBV:    0.031 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ygy.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0025
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.197 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 97
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59078.47 g NULL  -45.804 67.229 nan -1.594 0x01
OBS: 59082.43 g NULL  42.527 60.625 23.428 1.548 0x00
OBS: 59083.61 g NULL  -13.347 54.754 nan -4.454 0x00
OBS: 59103.39 g NULL  0.711 42.073 27.870 64.248 0x00
OBS: 59107.53 g NULL  50.391 46.882 23.244 1.010 0x00
OBS: 59109.35 g NULL  331.525 269.064 21.199 0.881 0x00
OBS: 59113.48 g NULL  -28.727 47.517 nan -1.796 0x00
OBS: 59117.37 g NULL  74.398 125.452 22.821 1.831 0x00
OBS: 59131.44 g NULL  50.736 96.083 23.237 2.056 0x00
OBS: 59133.48 g NULL  21.715 69.413 24.158 3.471 0x00
OBS: 59142.27 g NULL  -44.099 59.976 nan -1.477 0x00
OBS: 59146.45 g NULL  -7.743 53.821 nan -7.547 0x00
OBS: 59163.36 g NULL  -35.915 46.645 nan -1.410 0x00
OBS: 59169.23 g NULL  -27.462 65.857 nan -2.604 0x00
OBS: 59173.37 g NULL  103.649 78.478 22.461 0.822 0x00
OBS: 59190.28 g NULL  -1.407 66.463 nan -51.287 0x00
OBS: 59192.31 g NULL  100.520 57.407 22.494 0.620 0x00
OBS: 59194.32 g NULL  9.132 58.533 25.099 6.959 0x00
OBS: 59400.57 g NULL  55.883 45.271 23.132 0.880 0x00
OBS: 59410.56 g NULL  8.565 98.896 25.168 12.536 0x00
OBS: 59413.52 g NULL  3.302 37.232 26.203 12.242 0x00
OBS: 59428.52 g NULL  -14.823 40.120 nan -2.939 0x00
OBS: 59431.47 g NULL  75.599 48.671 22.804 0.699 0x00
OBS: 59435.45 g NULL  -46.066 42.235 nan -0.995 0x00
OBS: 59441.59 g NULL  93.922 51.858 22.568 0.599 0x00
OBS: 59443.45 g NULL  -16.312 77.864 nan -5.183 0x00
OBS: 59455.59 g NULL  871.830 97.343 20.149 0.121 0x00
OBS: 59458.59 g NULL  996.441 84.266 20.004 0.092 0x00
OBS: 59465.61 g NULL  820.858 58.442 20.214 0.077 0x00
OBS: 59493.49 g NULL  119.911 48.918 22.303 0.443 0x00
OBS: 59501.30 g NULL  320.307 94.060 21.236 0.319 0x00
OBS: 59517.27 g NULL  143.895 61.738 22.105 0.466 0x01
OBS: 59519.27 g NULL  22.667 35.357 24.112 1.694 0x00
OBS: 59526.21 g NULL  -1.766 46.918 nan -28.845 0x00
OBS: 59078.46 r NULL  54.393 46.023 23.161 0.919 0x00
OBS: 59082.43 r NULL  61.680 50.233 23.025 0.884 0x00
OBS: 59093.41 r NULL  165.816 85.375 21.951 0.559 0x00
OBS: 59100.42 r NULL  101.387 82.826 22.485 0.887 0x00
OBS: 59107.53 r NULL  53.171 39.180 23.186 0.800 0x00
OBS: 59113.48 r NULL  67.490 68.869 22.927 1.108 0x00
OBS: 59119.36 r NULL  78.855 52.802 22.758 0.727 0x01
OBS: 59121.52 r NULL  234.484 114.107 21.575 0.528 0x00
OBS: 59154.40 r NULL  169.775 88.925 21.925 0.569 0x00
OBS: 59156.37 r NULL  82.861 63.072 22.704 0.826 0x00
OBS: 59158.39 r NULL  67.428 53.813 22.928 0.867 0x00
OBS: 59169.23 r NULL  119.338 64.032 22.308 0.583 0x00
OBS: 59182.36 r NULL  67.546 120.879 22.926 1.943 0x00
OBS: 59184.31 r NULL  -9.896 69.190 nan -7.591 0x00
OBS: 59186.34 r NULL  88.501 81.788 22.633 1.003 0x00
OBS: 59194.32 r NULL  -10.213 39.885 nan -4.240 0x00
OBS: 59392.51 r NULL  40.821 84.444 23.473 2.246 0x00
OBS: 59410.56 r NULL  -0.714 85.190 nan -129.543 0x00
OBS: 59415.50 r NULL  -35.622 58.158 nan -1.773 0x00
OBS: 59421.52 r NULL  139.860 117.620 22.136 0.913 0x00
OBS: 59435.45 r NULL  41.775 40.514 23.448 1.053 0x00
OBS: 59447.43 r NULL  215.870 61.960 21.665 0.312 0x00
OBS: 59465.61 r NULL  1125.566 72.484 19.872 0.070 0x00
OBS: 59475.51 r NULL  534.730 350.152 20.680 0.711 0x01
OBS: 59482.50 r NULL  421.605 54.666 20.938 0.141 0x00
OBS: 59510.43 r NULL  137.731 79.713 22.152 0.628 0x00
OBS: 59514.42 r NULL  177.221 45.071 21.879 0.276 0x00
OBS: 59519.27 r NULL  123.861 37.014 22.268 0.324 0x00
OBS: 59083.60 i NULL  37.890 62.190 23.554 1.782 0x00
OBS: 59093.41 i NULL  -0.040 93.767 nan -2545.156 0x00
OBS: 59109.36 i NULL  -100.606 59.924 nan -0.647 0x00
OBS: 59117.37 i NULL  -112.498 90.389 nan -0.872 0x00
OBS: 59119.36 i NULL  -45.447 54.821 nan -1.310 0x00
OBS: 59128.47 i NULL  -237.192 92.356 nan -0.423 0x01
OBS: 59133.48 i NULL  5.148 77.895 25.721 16.428 0x00
OBS: 59142.26 i NULL  23.189 87.299 24.087 4.087 0x00
OBS: 59154.41 i NULL  111.996 89.285 22.377 0.866 0x00
OBS: 59158.39 i NULL  -66.205 58.028 nan -0.952 0x00
OBS: 59173.37 i NULL  91.221 63.433 22.600 0.755 0x00
OBS: 59184.30 i NULL  8.393 77.896 25.190 10.077 0x01
OBS: 59190.28 i NULL  -40.065 61.835 nan -1.676 0x00
OBS: 59400.57 i NULL  0.164 46.015 29.463 304.635 0x00
OBS: 59413.52 i NULL  -53.302 48.330 nan -0.984 0x00
OBS: 59415.50 i NULL  -84.001 74.653 nan -0.965 0x00
OBS: 59421.52 i NULL  -334.733 123.271 nan -0.400 0x00
OBS: 59431.47 i NULL  -44.469 45.897 nan -1.121 0x00
OBS: 59441.59 i NULL  69.739 54.156 22.891 0.843 0x00
OBS: 59447.44 i NULL  313.115 70.905 21.261 0.246 0x00
OBS: 59458.58 i NULL  826.394 79.982 20.207 0.105 0x00
OBS: 59482.50 i NULL  430.157 69.688 20.916 0.176 0x00
OBS: 59493.49 i NULL  521.455 62.445 20.707 0.130 0x00
OBS: 59514.42 i NULL  119.062 70.287 22.311 0.641 0x00
OBS: 59526.21 i NULL  -5.402 63.567 nan -12.776 0x00
OBS: 59100.42 z NULL  160.908 149.291 21.984 1.007 0x00
OBS: 59103.39 z NULL  -5.392 73.659 nan -14.832 0x00
OBS: 59121.51 z NULL  -219.797 240.576 nan -1.188 0x09
OBS: 59131.44 z NULL  -24.602 97.443 nan -4.300 0x00
OBS: 59146.45 z NULL  44.541 85.369 23.378 2.081 0x00
OBS: 59156.37 z NULL  16.812 88.258 24.436 5.700 0x00
OBS: 59163.36 z NULL  15.411 88.712 24.530 6.250 0x00
OBS: 59182.35 z NULL  -42.674 118.977 nan -3.027 0x00
OBS: 59186.34 z NULL  40.364 91.009 23.485 2.448 0x00
OBS: 59192.31 z NULL  14.705 86.686 24.581 6.400 0x00
OBS: 59392.51 z NULL  124.832 132.799 22.259 1.155 0x00
OBS: 59428.52 z NULL  114.928 81.783 22.349 0.773 0x00
OBS: 59443.44 z NULL  245.678 118.798 21.524 0.525 0x00
OBS: 59455.59 z NULL  757.398 101.441 20.302 0.145 0x00
OBS: 59475.51 z NULL  525.260 412.486 20.699 0.853 0x01
OBS: 59501.30 z NULL  341.188 162.462 21.168 0.517 0x00
OBS: 59510.43 z NULL  427.391 123.211 20.923 0.313 0x00
OBS: 59517.27 z NULL  203.058 110.237 21.731 0.589 0x00
END:
