SURVEY:  PS1MD
SNID:  2021ypt
otherID: 
IAUC:    UNKNOWN
RA:        16.7178420  deg
DECL:       1.0638480  deg
MWEBV:    0.020 +- 0.001 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021ypt.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0098
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 0.978 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 91
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59058.57 g NULL  63.247 57.902 22.997 0.994 0x00
OBS: 59073.55 g NULL  -76.841 37.107 nan -0.524 0x00
OBS: 59075.53 g NULL  20.143 29.225 24.240 1.575 0x00
OBS: 59079.50 g NULL  -49.660 43.203 nan -0.945 0x00
OBS: 59103.45 g NULL  -104.229 40.165 nan -0.418 0x00
OBS: 59107.54 g NULL  -45.593 54.709 nan -1.303 0x00
OBS: 59137.45 g NULL  86.608 37.048 22.656 0.464 0x00
OBS: 59142.28 g NULL  19.970 39.210 24.249 2.132 0x00
OBS: 59163.30 g NULL  13.548 58.688 24.670 4.703 0x00
OBS: 59173.39 g NULL  -10.610 68.071 nan -6.966 0x00
OBS: 59191.23 g NULL  2.753 57.816 26.400 22.802 0x00
OBS: 59193.26 g NULL  -65.262 48.951 nan -0.814 0x00
OBS: 59199.21 g NULL  -137.172 125.692 nan -0.995 0x00
OBS: 59219.22 g NULL  61.482 33.632 23.028 0.594 0x00
OBS: 59227.23 g NULL  -53.300 30.360 nan -0.618 0x00
OBS: 59229.23 g NULL  42.345 44.231 23.433 1.134 0x00
OBS: 59230.22 g NULL  10.955 48.588 24.901 4.815 0x00
OBS: 59254.23 g NULL  -47.645 110.244 nan -2.512 0x00
OBS: 59429.58 g NULL  40.491 54.350 23.482 1.457 0x00
OBS: 59433.59 g NULL  50.553 63.025 23.241 1.354 0x00
OBS: 59434.50 g NULL  -16.069 56.443 nan -3.814 0x00
OBS: 59437.55 g NULL  -47.272 65.852 nan -1.512 0x00
OBS: 59442.55 g NULL  74.442 47.857 22.820 0.698 0x00
OBS: 59457.42 g NULL  180.874 68.512 21.857 0.411 0x00
OBS: 59464.54 g NULL  366.599 45.259 21.090 0.134 0x00
OBS: 59466.54 g NULL  181.046 43.396 21.856 0.260 0x00
OBS: 59468.45 g NULL  241.330 60.823 21.543 0.274 0x00
OBS: 59485.52 g NULL  -10.793 82.163 nan -8.265 0x01
OBS: 59498.42 g NULL  -23.369 43.829 nan -2.036 0x00
OBS: 59501.36 g NULL  -47.827 74.938 nan -1.701 0x00
OBS: 59525.38 g NULL  -36.169 33.812 nan -1.015 0x00
OBS: 59060.51 r NULL  81.167 49.472 22.727 0.662 0x00
OBS: 59064.56 r NULL  86.540 71.163 22.657 0.893 0x00
OBS: 59079.50 r NULL  31.013 53.978 23.771 1.890 0x00
OBS: 59093.48 r NULL  230.896 111.051 21.591 0.522 0x00
OBS: 59137.45 r NULL  -41.026 39.352 nan -1.041 0x00
OBS: 59142.28 r NULL  -0.523 53.758 nan -111.600 0x00
OBS: 59158.30 r NULL  22.196 42.350 24.134 2.072 0x00
OBS: 59169.23 r NULL  2.220 40.592 26.634 19.852 0x00
OBS: 59182.29 r NULL  49.746 135.175 23.258 2.950 0x00
OBS: 59186.27 r NULL  -47.496 43.510 nan -0.995 0x00
OBS: 59188.33 r NULL  -25.843 58.007 nan -2.437 0x00
OBS: 59193.25 r NULL  15.222 45.537 24.544 3.248 0x00
OBS: 59199.21 r NULL  73.900 97.786 22.828 1.437 0x00
