SURVEY:  PS1MD
SNID:  2021yzm
otherID: 
IAUC:    UNKNOWN
RA:        6.5017570  deg
DECL:       28.9841460  deg
MWEBV:    0.032 +- 0.002 MW E(B-V)
REDSHIFT_FINAL:  -99.0000 +- -99.0000  (CMB)
HOST_LOGMASS: -99.0000 +- -99.0000
SEARCH_PEAKMJD: 59480.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: 2021yzm.0x1613.PS1_3piDR2.photcat
# CNTRD_FLUX_OFFSET: 0.0097
# HOSTNAME: fend02.cluster
# IMSIZE_PIX: 2000
# DIST_FROM_CENTER_DEG: 1.323 # dist from center of the focal plane

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 100
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR   FLAG

OBS: 59046.54 g NULL  -361.849 321.405 nan -0.964 0x00
OBS: 59049.58 g NULL  17.895 85.328 24.368 5.177 0x01
OBS: 59050.55 g NULL  -29.302 51.264 nan -1.900 0x00
OBS: 59072.62 g NULL  -58.687 51.912 nan -0.960 0x00
OBS: 59074.49 g NULL  -21.567 46.709 nan -2.351 0x00
OBS: 59078.47 g NULL  52.379 54.288 23.202 1.125 0x00
OBS: 59082.43 g NULL  72.356 48.748 22.851 0.731 0x00
OBS: 59083.61 g NULL  27.391 58.294 23.906 2.311 0x00
OBS: 59103.39 g NULL  99.545 44.643 22.505 0.487 0x00
OBS: 59107.53 g NULL  -116.991 64.208 nan -0.596 0x00
OBS: 59113.48 g NULL  31.027 54.147 23.771 1.895 0x00
OBS: 59117.37 g NULL  -135.665 83.009 nan -0.664 0x00
OBS: 59131.44 g NULL  129.682 76.317 22.218 0.639 0x00
OBS: 59133.48 g NULL  -12.638 74.538 nan -6.404 0x00
OBS: 59142.27 g NULL  29.453 58.443 23.827 2.154 0x01
OBS: 59163.36 g NULL  36.353 43.959 23.599 1.313 0x00
OBS: 59169.23 g NULL  -26.544 51.942 nan -2.125 0x00
OBS: 59173.37 g NULL  -22.986 68.932 nan -3.256 0x00
OBS: 59192.31 g NULL  17.128 47.340 24.416 3.001 0x00
OBS: 59194.32 g NULL  -2.111 45.292 nan -23.295 0x00
OBS: 59400.57 g NULL  -41.179 60.050 nan -1.583 0x01
OBS: 59408.55 g NULL  -14.821 37.835 nan -2.772 0x00
OBS: 59410.56 g NULL  -47.853 59.672 nan -1.354 0x00
